
[00:00:00.000 --> 00:00:04.280]  各位頂姐妹
[00:00:04.280 --> 00:00:07.120]  今天要和大家分享的是
[00:00:07.120 --> 00:00:12.480]  當夏娃犯罪離開神之後
[00:00:12.480 --> 00:00:14.880]  生出來的兒子
[00:00:14.880 --> 00:00:16.880]  大兒子叫做德仔
[00:00:16.880 --> 00:00:18.320]  殺了她的弟弟
[00:00:18.320 --> 00:00:21.760]  我們今天繼續和大家交代
[00:00:21.760 --> 00:00:24.800]  該人殺了她的弟弟
[00:00:24.800 --> 00:00:27.040]  我們看到最主要的原因
[00:00:27.040 --> 00:00:30.480]  就是因為家裏沒有家教
[00:00:30.480 --> 00:00:36.240]  從頭到尾觀察這兩個兒子的行為
[00:00:36.240 --> 00:00:38.240]  是耶和華
[00:00:38.240 --> 00:00:40.400]  看著他們犯錯
[00:00:40.400 --> 00:00:43.200]  看到的是耶和華
[00:00:43.200 --> 00:00:45.120]  該人錯的時候
[00:00:45.120 --> 00:00:49.520]  來向該人質詢的是耶和華
[00:00:49.520 --> 00:00:52.400]  責備的是耶和華
[00:00:52.400 --> 00:00:55.920]  然後管教的是耶和華
[00:00:55.920 --> 00:00:59.440]  而阿伯在他申訴的時候
[00:00:59.440 --> 00:01:03.360]  他唯一的申訴是向耶和華
[00:01:03.360 --> 00:01:04.880]  我們很多人都問
[00:01:04.880 --> 00:01:06.400]  爸爸去哪裏了?
[00:01:06.400 --> 00:01:08.000]  媽媽去哪裏了?
[00:01:08.000 --> 00:01:10.000]  很明顯地看得見
[00:01:10.000 --> 00:01:16.480]  該人為何會走向這樣一條路
[00:01:16.480 --> 00:01:18.160]  是沒有家教
[00:01:18.160 --> 00:01:21.040]  再加上我們曾經分享過
[00:01:21.120 --> 00:01:27.200]  父母都在不斷掙扎
[00:01:27.200 --> 00:01:29.200]  誰有話事權
[00:01:29.200 --> 00:01:32.000]  所以當這個大兒子出生的時候
[00:01:32.000 --> 00:01:35.280]  是夏娃替他改名
[00:01:35.280 --> 00:01:37.680]  叫做Kane
