
[00:00:00.000 --> 00:00:04.000]  我們一起思想主耶穌所說的一段說話
[00:00:04.000 --> 00:00:07.800]  就是剛才我們所讀的《馬太福音》第七章
[00:00:07.800 --> 00:00:11.400]  希望每個弟兄姊妹都打開《馬太福音》第七章
[00:00:11.400 --> 00:00:13.400]  如果你是用《唐用聖經》的話
[00:00:13.400 --> 00:00:17.400]  是我們的《唐用聖經》1464頁
[00:00:17.400 --> 00:00:20.400]  1464《馬太福音》第七章
[00:00:20.400 --> 00:00:22.400]  我們剛才讀第十五節
[00:00:22.400 --> 00:00:24.400]  一直讀到第十五節
[00:00:24.400 --> 00:00:26.400]  我們讀到第十六節
[00:00:26.400 --> 00:00:32.400]  我們讀到第十七節
[00:00:32.400 --> 00:00:37.400]  《馬太福音》第七章
[00:00:37.400 --> 00:00:40.400]  讀的時候我相信弟兄姊妹都很熟
[00:00:40.400 --> 00:00:43.400]  因為這一段聖經是屬於
[00:00:43.400 --> 00:00:47.400]  著名的耶穌基督的登山補訓裏面
[00:00:47.400 --> 00:00:50.400]  其實最後總結的地方
[00:00:50.400 --> 00:00:53.400]  登山補訓就是由《馬太福音》第五章
[00:00:53.400 --> 00:00:56.400]  到第七章大家都很熟悉
[00:00:56.400 --> 00:00:59.400]  是主耶穌開始出來傳道的時候
[00:00:59.400 --> 00:01:02.400]  頒佈天國的標準
[00:01:02.400 --> 00:01:07.400]  和在神心目中一個合他心意的信道
[00:01:07.400 --> 00:01:09.400]  應該是怎樣
[00:01:09.400 --> 00:01:11.400]  所以這是一個最重要的篇章
[00:01:11.400 --> 00:01:14.400]  在這個登山補訓裏面
[00:01:14.400 --> 00:01:16.400]  我相信大家都很多還記得
[00:01:16.400 --> 00:01:20.400]  耳熟能詳給你很多挑戰和提醒的地方
[00:01:20.400 --> 00:01:22.400]  譬如八福
[00:01:22.400 --> 00:01:24.400]  虛心的人有福
[00:01:24.400 --> 00:01:26.400]  因為天國是他們的
[00:01:26.400 --> 00:01:27.400]  不單止說到八福
[00:01:27.400 --> 00:01:29.400]  我們還記得在這個登山補訓裏面
[00:01:29.400 --> 00:01:31.400]  有很豐富的教導
[00:01:31.400 --> 00:01:32.400]  說到基督徒
[00:01:32.400 --> 00:01:33.400]  我們的信徒
[00:01:33.400 --> 00:01:35.400]  我們最重要的是說我們的內心
[00:01:35.400 --> 00:01:36.400]  無論我們禱告
[00:01:36.400 --> 00:01:38.400]  無論我們的行善
