
[00:00:00.000 --> 00:00:05.000]  很快我們來到中間這一堂
[00:00:05.000 --> 00:00:15.000]  過去兩個禮拜我們已經討論了十誡裡面開頭的四句說話
[00:00:15.000 --> 00:00:20.000]  這四句說話都是和上帝直接有關的
[00:00:20.000 --> 00:00:23.000]  稍微溫習一下
[00:00:23.000 --> 00:00:35.000]  第一句說話提到我們已經認識獨一的上帝耶和華上主
[00:00:35.000 --> 00:00:44.000]  我們不需要在我們的生命當中有其他的力量控制我們
[00:00:44.000 --> 00:00:48.000]  所以我們說這個是釋放不是禁止
[00:00:48.000 --> 00:00:53.000]  如果你分不出這兩件事,你做基督徒是很痛苦的
[00:00:53.000 --> 00:01:00.000]  很多重擔的,很多要求的,而不是輕省的
[00:01:00.000 --> 00:01:08.000]  第二句說話我們說過關鍵在於這些像代表誰
[00:01:08.000 --> 00:01:10.000]  當然我們不應該拜偶像
[00:01:10.000 --> 00:01:15.000]  但是十誡似乎和我們提的不是假神假偶
[00:01:15.000 --> 00:01:20.000]  而是我們敬拜耶和華的時候
[00:01:20.000 --> 00:01:26.000]  我們不要按照人的宗教本能
[00:01:26.000 --> 00:01:30.000]  以為我們的神獨一的真神
[00:01:30.000 --> 00:01:37.000]  和其他人宗教的本能所製造出來
[00:01:37.000 --> 00:01:44.000]  或者用十九世紀的說法所投射出來的偶像假神
[00:01:44.000 --> 00:01:48.000]  人創造的上帝是一樣的
[00:01:48.000 --> 00:01:57.000]  以為我們的神都是受制於我們自己的能力範圍
[00:01:57.000 --> 00:02:00.000]  最好的做出來就代表上帝了
[00:02:00.000 --> 00:02:02.000]  不是不是
[00:02:02.000 --> 00:02:04.000]  這一句說話很長
[00:02:04.000 --> 00:02:07.000]  後面提到上帝的慈愛
[00:02:07.000 --> 00:02:16.000]  上帝的愛是讓祂主動來祝福、拯救、改變我們
[00:02:16.000 --> 00:02:21.000]  不是我們將最好的拿出來和祂交換
[00:02:21.000 --> 00:02:23.000]  我們做好一點,祂又做好一點
[00:02:23.000 --> 00:02:25.000]  不是不是
[00:02:25.000 --> 00:02:30.000]  這是一般宗教最得罪上帝的地方
[00:02:30.000 --> 00:02:38.000]  將上帝的愛改變體為一個交換的條件
[00:02:38.000 --> 00:02:41.000]  上星期我們看過網稱神的名字
