
[00:00:00.000 --> 00:00:04.720]  各位影子平安
[00:00:04.720 --> 00:00:10.480]  今日我會繼續跟大家分享十誡內容
[00:00:10.480 --> 00:00:13.360]  上次跟大家分享時
[00:00:13.360 --> 00:00:16.960]  是分享到人生GPS
[00:00:16.960 --> 00:00:19.040]  家庭GPS
[00:00:19.040 --> 00:00:20.880]  社會GPS
[00:00:20.880 --> 00:00:23.040]  國家GPS
[00:00:23.040 --> 00:00:25.120]  甚至是世界GPS
[00:00:25.120 --> 00:00:27.360]  現在亂了
[00:00:27.360 --> 00:00:32.480]  實際上如果我們沒有一個健康的GPS
[00:00:32.480 --> 00:00:36.960]  來管理我們個人、家、國
[00:00:36.960 --> 00:00:41.120]  管理整個世界國與國之間的關係
[00:00:41.120 --> 00:00:43.760]  這個世界就沒得救了
[00:00:43.760 --> 00:00:46.880]  上次講完的
[00:00:46.880 --> 00:00:50.880]  特別是針對人本身的建立
[00:00:50.880 --> 00:00:52.880]  是由信仰開始
[00:00:52.880 --> 00:00:55.120]  因為這個信仰本身
[00:00:55.120 --> 00:00:59.600]  就是我們真正做到中國人所講的
[00:00:59.600 --> 00:01:03.440]  正心、誠意、修身
[00:01:03.440 --> 00:01:06.400]  這幾樣東西我們都能做到
[00:01:06.400 --> 00:01:09.600]  你說這個世界有沒有國際秩序呢?
[00:01:09.600 --> 00:01:11.920]  有沒有國家的秩序呢?
[00:01:11.920 --> 00:01:13.920]  有沒有社會的秩序呢?
[00:01:13.920 --> 00:01:16.400]  有沒有商貿的秩序呢?
[00:01:16.400 --> 00:01:19.200]  有沒有各種人與人之間
[00:01:19.200 --> 00:01:21.200]  互相尊重的秩序呢?
[00:01:21.200 --> 00:01:23.520]  全部都有
[00:01:23.520 --> 00:01:25.520]  但為什麼這麼亂呢?
[00:01:25.520 --> 00:01:31.200]  原因是根本上有法他們都不守
[00:01:31.200 --> 00:01:33.520]  自己就是自己的法
[00:01:33.520 --> 00:01:38.400]  而帶來的結果就是整個世界的局勢亂七八糟
[00:01:38.400 --> 00:01:42.000]  但今天我們打到靠近的
[00:01:42.000 --> 00:01:43.520]  就是我們自己
[00:01:43.520 --> 00:01:45.920]  我們的家又如何呢?
[00:01:45.920 --> 00:01:49.520]  所以我今天特別和大家來看一看
[00:01:49.520 --> 00:01:52.960]  中國古聖賢他們的想法
[00:01:52.960 --> 00:01:58.320]  和聖經的說法其實不謀而合
[00:01:58.320 --> 00:02:04.000]  中國古聖賢子書曾經說過
[00:02:04.000 --> 00:02:06.720]  道也者不可須以尼也
[00:02:06.720 --> 00:02:08.960]  可尼非道也
[00:02:08.960 --> 00:02:11.520]  老子的《道德經》也說
[00:02:11.520 --> 00:02:13.120]  失道而後德
[00:02:13.120 --> 00:02:14.720]  失德而後仁
[00:02:14.720 --> 00:02:16.480]  失仁而後義
[00:02:16.480 --> 00:02:18.160]  失義而後禮
[00:02:18.160 --> 00:02:22.160]  禮者道之華而亂之首也
[00:02:22.160 --> 00:02:25.920]  在這段《道德經》裏面
[00:02:25.920 --> 00:02:29.360]  他就說道是一個絕對的標準
[00:02:29.360 --> 00:02:31.120]  是天的標準
[00:02:31.120 --> 00:02:32.720]  沒有了
[00:02:32.720 --> 00:02:36.080]  然後人就開始用帝王的標準
[00:02:36.080 --> 00:02:38.160]  以德化天下
[00:02:38.160 --> 00:02:42.320]  但是帝王的標準都沒有了
[00:02:42.320 --> 00:02:45.200]  昏君都湧現出來了
[00:02:45.200 --> 00:02:46.800]  不可靠了
[00:02:46.800 --> 00:02:49.040]  失德而後仁
[00:02:49.040 --> 00:02:52.320]  人就開始追求聖賢的標準
[00:02:52.320 --> 00:02:58.000]  但是聖賢的標準不是每個聖賢都是這樣
[00:02:58.000 --> 00:02:59.440]  說的是什麼
[00:02:59.440 --> 00:03:00.720]  做的就是什麼
[00:03:00.720 --> 00:03:05.840]  導致老子道德裏面都說道
[00:03:05.840 --> 00:03:08.640]  聖賢不死大道不止
[00:03:08.640 --> 00:03:10.960]  原來聖賢教出來
[00:03:10.960 --> 00:03:15.920]  如果人的內心道德標準擺歪了的時候
[00:03:15.920 --> 00:03:18.160]  你教他的東西越多
[00:03:18.160 --> 00:03:21.760]  犯罪的手法就越高明
[00:03:21.760 --> 00:03:24.320]  失仁而後義
[00:03:24.320 --> 00:03:26.240]  聖賢的標準都不行了
[00:03:26.240 --> 00:03:27.680]  人就開始怎樣呢
[00:03:27.680 --> 00:03:29.040]  就定律禮了
[00:03:29.040 --> 00:03:30.960]  失義而後禮
[00:03:30.960 --> 00:03:33.040]  禮就是規矩
[00:03:33.040 --> 00:03:34.720]  是法律
[00:03:34.720 --> 00:03:39.440]  是各種不同的規條
[00:03:39.440 --> 00:03:46.480]  但是老子和他的門徒都看得很清楚
[00:03:46.480 --> 00:03:49.280]  當禮法越來越多的時候
[00:03:49.280 --> 00:03:54.400]  其實同樣是道之華而亂之秀
[00:03:54.400 --> 00:03:57.200]  道之華就是看字
[00:03:57.200 --> 00:03:58.560]  是好看的
[00:03:58.560 --> 00:03:59.760]  不好用的
[00:03:59.760 --> 00:04:04.880]  而實際上越多禮法各方面的東西出來
[00:04:04.880 --> 00:04:07.360]  其實亂就越多
[00:04:07.360 --> 00:04:09.120]  你同不同意呢
[00:04:09.120 --> 00:04:14.000]  這個社會裏面是越多的規矩、規則、法則
[00:04:14.000 --> 00:04:18.800]  各方面的東西產生出來
[00:04:18.800 --> 00:04:21.040]  其實就是因為這個世界的問題
[00:04:21.040 --> 00:04:29.360]  到底我們怎樣返回最早道的本源呢
[00:04:29.360 --> 00:04:35.520]  可惜老子只說道可道、非常道
[00:04:35.520 --> 00:04:38.320]  明可明、非常明
[00:04:38.320 --> 00:04:41.520]  無明天下之始
[00:04:41.520 --> 00:04:45.920]  有明萬物之無
[00:04:45.920 --> 00:04:49.520]  怎樣返回道的本源呢
[00:04:49.520 --> 00:04:51.920]  老子也沒有答案
[00:04:51.920 --> 00:04:54.880]  難怪孔子感嘆地說
[00:04:54.880 --> 00:04:59.120]  「朝聞道,絕死何人?」
[00:04:59.120 --> 00:05:03.120]  十大帶我們返回我們的本源
[00:05:03.120 --> 00:05:04.400]  三一真神
[00:05:04.400 --> 00:05:09.200]  他親自啟示他自己
[00:05:09.200 --> 00:05:12.480]  然後到主降生的時候
[00:05:12.480 --> 00:05:17.040]  主耶穌也親自活現道出來
[00:05:17.040 --> 00:05:19.440]  最初就有的道
[00:05:19.440 --> 00:05:21.040]  道與神同在
[00:05:21.040 --> 00:05:22.480]  道就是神
[00:05:22.480 --> 00:05:25.440]  道就是活生生的活在人格當中
[00:05:25.440 --> 00:05:29.200]  透過他的生命能夠活現道出來
[00:05:29.200 --> 00:05:30.640]  讓人看得見
[00:05:30.640 --> 00:05:32.800]  在他的裏面就有盼望
[00:05:32.800 --> 00:05:36.240]  不在他的裏面就沒有盼望
[00:05:36.240 --> 00:05:40.400]  可見基督教信仰獨特的地方
[00:05:40.400 --> 00:05:43.280]  就是他是一個看得見的
[00:05:43.280 --> 00:05:44.880]  不是看不見
[00:05:44.880 --> 00:05:49.840]  是神親自來向人啟示他自己
[00:05:49.840 --> 00:05:53.200]  我們現在返回十誡
[00:05:53.200 --> 00:05:57.840]  人對人的誡命又怎樣呢?
[00:05:57.840 --> 00:06:01.120]  我們上次說完人對神的誡命
[00:06:01.120 --> 00:06:03.680]  這是我們的生命的本源
[00:06:03.680 --> 00:06:06.240]  你沒有神在我們當中
[00:06:06.240 --> 00:06:11.120]  我們是無從有能力實踐十誡的
[00:06:11.120 --> 00:06:13.920]  人信仰的失落
[00:06:13.920 --> 00:06:16.800]  他跟人的關係
[00:06:16.800 --> 00:06:20.000]  甚至家裏跟父母的關係
[00:06:20.000 --> 00:06:21.200]  跟自己的關係
[00:06:21.200 --> 00:06:22.320]  跟妻子的關係
[00:06:22.320 --> 00:06:23.760]  跟兒女的關係
[00:06:23.760 --> 00:06:25.440]  全部都活不出來
[00:06:25.440 --> 00:06:30.320]  上次我們說完四誡
[00:06:30.320 --> 00:06:35.440]  就是人與神之間的關係的誡命
[00:06:35.440 --> 00:06:40.720]  今天我特別要和大家分享第五誡
[00:06:40.720 --> 00:06:44.640]  「當孝敬父母,使你的日子在
[00:06:44.640 --> 00:06:48.240]  也或說你神所賜你的地上得以長久。」
[00:06:48.240 --> 00:06:50.560]  關係在哪裏?
[00:06:50.560 --> 00:06:54.400]  為何我們要守人與人之間的誡命?
[00:06:54.400 --> 00:06:57.200]  接下來的詞我會和大家說
[00:06:57.200 --> 00:07:04.960]  不可姦淫、不可殺人、不可偷渡、不可作假見證、陷害人
