
[00:00:00.000 --> 00:00:10.840]  我們說 以弗所書保羅教我們每一個基督徒都應該被聖靈來充滿
[00:00:10.840 --> 00:00:13.320]  以弗所書的五章十八節
[00:00:13.320 --> 00:00:15.320]  當我們被聖靈充滿之後
[00:00:15.320 --> 00:00:18.600]  我們跟神跟人的關係都會很不同
[00:00:18.600 --> 00:00:25.280]  跟神我們會不斷歌頌神 讚美神 來感謝神
[00:00:25.280 --> 00:00:30.080]  跟人我們會得彼此的馴服
[00:00:30.080 --> 00:00:36.320]  上次說了第一個關係 就是夫妻之間的關係
[00:00:36.320 --> 00:00:41.720]  太太要馴服自己的丈夫 丈夫要愛太太
[00:00:41.720 --> 00:00:47.360]  今天會和大家說第六章以弗所書其餘的兩個關係
[00:00:47.360 --> 00:00:50.360]  就是父母和子女的關係
[00:00:50.360 --> 00:00:56.880]  和主人或老闆和僱人或員工的關係
[00:00:56.880 --> 00:01:02.200]  我們在說針研的時候其實都說過父母和子女的關係
[00:01:02.200 --> 00:01:07.000]  但主要的是經文的六章四節
[00:01:07.000 --> 00:01:09.640]  六章四節是給父母的
[00:01:09.640 --> 00:01:19.360]  但在書中也有六章一至三節是教子女如何馴服父母
[00:01:19.360 --> 00:01:22.360]  以弗所書的六章一至三節
[00:01:22.360 --> 00:01:29.240]  「你們作兒女的 要在主裡聽從父母 這是理所當然的
[00:01:29.240 --> 00:01:38.680]  要孝敬父母使你得福 在世長壽 這是第一條大有應許的誡命」
[00:01:38.680 --> 00:01:41.480]  今天保羅讓我們看到
[00:01:41.480 --> 00:01:47.200]  原來給子女的教導叫我們要馴服父母是有三點
[00:01:47.200 --> 00:01:51.200]  第一點是道德的真理
[00:01:51.200 --> 00:01:56.160]  現在世上有很多人都說沒有絕對的真理
[00:01:56.160 --> 00:02:01.120]  公有公理 婆有婆理 每個人都有自己的理由
[00:02:01.120 --> 00:02:05.720]  但不是的 聖經的真理是黑白的真理
[00:02:05.720 --> 00:02:08.520]  神的話語就是真理
[00:02:08.520 --> 00:02:11.080]  在以弗所書的六章一節
[00:02:11.080 --> 00:02:18.480]  經文說「你們作兒女的 要在主裡聽從父母 這是理所當然的」
[00:02:18.480 --> 00:02:21.440]  在哥羅西書的三章二十節也說
[00:02:21.440 --> 00:02:28.120]  「你們作兒女的 要凡事聽從父母 因為這是主所喜悅的」
[00:02:28.120 --> 00:02:32.000]  這就是聖經的真理是神的話語
[00:02:32.000 --> 00:02:35.400]  是神所喜悅的 是理所當然
[00:02:35.400 --> 00:02:39.480]  做子女是要馴服自己的父母
[00:02:39.480 --> 00:02:44.800]  其實耶穌基督也是馴服約瑟和瑪利亞
[00:02:44.800 --> 00:02:47.200]  在耶穌基督十二歲的時候
[00:02:47.200 --> 00:02:52.680]  約瑟和瑪利亞帶他去耶路撒冷參加如月節
[00:02:52.680 --> 00:02:57.680]  如月節完結後他們就回到拿撒勒
[00:02:57.680 --> 00:03:02.120]  但在路上發現不見了耶穌基督
[00:03:02.120 --> 00:03:04.520]  約瑟和瑪利亞都很擔心
