
[00:00:00.000 --> 00:00:06.400]  每年我們粵語部在秋季的時候
[00:00:06.400 --> 00:00:12.040]  都會和英文部和國語部同步講一樣的書本
[00:00:12.040 --> 00:00:15.620]  其中兩部全教會都講的書本
[00:00:15.620 --> 00:00:19.460]  就是《羅馬書》和《耶利米愛歌》
[00:00:19.460 --> 00:00:25.860]  幾個星期前我們完成了一個簡短的羅馬書的系列
[00:00:25.860 --> 00:00:30.860]  今天開始我們要講《耶利米愛歌》
[00:00:30.860 --> 00:00:36.620]  其實《耶利米愛歌》在我們粵語堂的主要學講過很多次
[00:00:36.620 --> 00:00:40.300]  我記得去年年尾才剛剛講過
[00:00:40.300 --> 00:00:42.740]  但是講到系列
[00:00:42.740 --> 00:00:47.620]  我相信我們粵語堂是第一次講《耶利米愛歌》
[00:00:47.620 --> 00:00:52.700]  《耶利米愛歌》是一部很少人讀的聖經裏面的書
[00:00:52.700 --> 00:00:54.940]  今年其實是很奇怪
[00:00:54.940 --> 00:01:00.060]  我們粵語堂是講了兩部很少人讀的書在聖經裏面
[00:01:00.060 --> 00:01:04.020]  一部就是《雅歌》 一部就是《愛歌》
[00:01:04.020 --> 00:01:06.580]  《雅歌》為甚麼這麼少人讀呢?
[00:01:06.580 --> 00:01:09.220]  我們說《雅歌》不是那麼容易明白
[00:01:09.220 --> 00:01:12.020]  很多解經家都解錯了
[00:01:12.020 --> 00:01:15.580]  是用寓意 用靈異來解經
[00:01:15.580 --> 00:01:20.540]  我們說《雅歌》其實是應該用字面來解釋
[00:01:20.540 --> 00:01:22.780]  其實《雅歌》不難明白
[00:01:22.780 --> 00:01:27.180]  是神給夫妻 給婚姻的一部手冊
[00:01:27.180 --> 00:01:30.700]  那《愛歌》呢?為甚麼這麼少人讀呢?
[00:01:30.700 --> 00:01:33.460]  《愛歌》是講到苦難
[00:01:33.460 --> 00:01:36.140]  我們都不喜歡接觸苦難
[00:01:36.140 --> 00:01:40.060]  我們都是喜歡開心的事 避開苦難
[00:01:40.060 --> 00:01:42.420]  我認識有很多的姐妹
[00:01:42.420 --> 00:01:46.180]  他們每逢讀一部書或者看電視片集
[00:01:46.180 --> 00:01:49.780]  都快速地先去看一下結尾
[00:01:49.780 --> 00:01:53.620]  看看是否喜劇 看看是否悲劇
[00:01:53.620 --> 00:01:57.340]  喜劇我就看 悲劇我就不看
[00:01:57.340 --> 00:01:59.820]  所以這個就是第一個原因
[00:01:59.820 --> 00:02:02.420]  為甚麼這麼少人讀《愛歌》
[00:02:02.420 --> 00:02:04.980]  第二個原因為甚麼這麼少人讀《愛歌》
[00:02:04.980 --> 00:02:10.140]  就是《愛歌》裏面的苦難始終都沒有被解除
[00:02:10.140 --> 00:02:14.620]  我們看到另一部有關苦難的書是《若白記》
[00:02:14.620 --> 00:02:18.380]  在《若白記》裏面 雖然若白是經歷苦難
[00:02:18.380 --> 00:02:22.180]  但最後神完全補償了他
[00:02:22.180 --> 00:02:26.820]  他得到的東西比他在苦難之前更加多
[00:02:26.820 --> 00:02:28.380]  耶利米愛歌呢?
[00:02:28.380 --> 00:02:34.500]  始終神好像沒有回答以色列人的禱告
[00:02:34.500 --> 00:02:38.580]  第三個原因就是我們剛才說
[00:02:38.580 --> 00:02:41.260]  《若白記》是個人的苦難
[00:02:41.260 --> 00:02:45.940]  我們都能夠和這部《若白記》有共鳴
[00:02:45.940 --> 00:02:49.020]  給個人的苦難 我們的苦難
[00:02:49.020 --> 00:02:52.220]  我們說就好像若白的苦難一樣
[00:02:52.220 --> 00:02:54.260]  但是耶利米愛歌呢
[00:02:54.260 --> 00:02:59.100]  是一部集體 是一部民族的苦難
[00:02:59.100 --> 00:03:02.060]  我們好像很難扯得上關題
[00:03:02.060 --> 00:03:06.540]  美國這麼強盛 有一段時間都沒有亡國
[00:03:06.540 --> 00:03:10.860]  所以我們覺得和我們完全沒有關係一樣
[00:03:10.860 --> 00:03:12.740]  但是我可以告訴你
[00:03:12.740 --> 00:03:16.500]  耶利米愛歌是一部很實用的書
[00:03:16.500 --> 00:03:19.580]  神透過耶利米愛歌教我們
[00:03:19.580 --> 00:03:24.100]  在個人當中怎樣能夠一步一步
[00:03:24.100 --> 00:03:30.540]  從憂鬱、黑暗當中能夠走出來
[00:03:30.540 --> 00:03:34.380]  我們先看看耶利米愛歌的作者
[00:03:34.380 --> 00:03:39.860]  在書裏面沒有告訴我們誰是作者
[00:03:39.860 --> 00:03:44.940]  但是從耶利米愛歌的內政或者是外政
[00:03:44.940 --> 00:03:50.420]  我們可以知道其實作者就是耶利米先知
[00:03:50.420 --> 00:03:52.420]  有三個原因
[00:03:52.420 --> 00:03:58.340]  為甚麼我們說內政讓我們知道是耶利米先知
[00:03:58.340 --> 00:04:03.220]  第一 耶利米先知是被譽為哭泣的先知
[00:04:03.220 --> 00:04:05.820]  耶利米書的九章一節
[00:04:05.820 --> 00:04:09.740]  有誰比耶利米更適合來寫愛歌
[00:04:09.740 --> 00:04:12.260]  他就是哭泣的先知
[00:04:12.260 --> 00:04:16.820]  第二點就是耶利米擅長寫愛歌
[00:04:16.820 --> 00:04:20.620]  在歷代治下的35章25節
[00:04:20.620 --> 00:04:25.580]  說他是為了約西亞來寫愛歌
[00:04:25.580 --> 00:04:27.740]  還有第三個原因
[00:04:27.740 --> 00:04:30.180]  就是神吩咐耶利米
[00:04:30.180 --> 00:04:34.260]  叫他要叫以色列人來哀悼
[00:04:34.260 --> 00:04:38.420]  在耶利米書的七章29節
[00:04:38.420 --> 00:04:44.780]  所以我們知道耶利米就是耶利米愛歌的作者
[00:04:44.780 --> 00:04:47.180]  另外如果你看的話
[00:04:47.180 --> 00:04:52.580]  耶利米書和耶利米愛歌是有很多相似的地方
[00:04:52.580 --> 00:04:56.620]  兩本書都說到以色列是被民國
[00:04:56.620 --> 00:04:58.740]  被民有來遺棄
[00:04:58.740 --> 00:05:02.420]  兩本書都說到受敵追殺他們
[00:05:02.420 --> 00:05:05.340]  就好像捕獵動物一樣
[00:05:05.340 --> 00:05:10.020]  兩本書也說到以色列人的苦楚
[00:05:10.020 --> 00:05:13.740]  他們赤身露體 他們哭泣流淚
[00:05:13.740 --> 00:05:15.900]  他們的子民受苦
[00:05:15.900 --> 00:05:22.220]  而兩本書都說他們的苦就好像飽嘗苦菜一樣
[00:05:22.220 --> 00:05:28.500]  我們看到也說到以色列好像遍地都是陷阱
[00:05:28.500 --> 00:05:31.340]  還被人摘下他們的冠冕
[00:05:31.340 --> 00:05:35.380]  而兩本書都是數算先知的罪
[00:05:35.380 --> 00:05:38.860]  兩本書都是說到有苦杯
[00:05:38.860 --> 00:05:43.140]  苦杯就是神的審判
[00:05:43.140 --> 00:05:46.540]  我們看到絕對內政
[00:05:46.540 --> 00:05:51.380]  我們看到耶利米就是耶利米愛歌的作者
[00:05:51.380 --> 00:05:52.900]  外政呢?
[00:05:52.900 --> 00:05:56.700]  外政我們可以看看七十事譯本
[00:05:56.700 --> 00:06:00.620]  就是第一本希臘文的聖經版本
[00:06:00.620 --> 00:06:05.020]  在耶利米愛歌的一章一節有一個序言
[00:06:05.020 --> 00:06:06.500]  這個序言說:
[00:06:06.500 --> 00:06:11.500]  「以色列民被擄之後 耶路撒冷變得荒涼
[00:06:11.500 --> 00:06:18.060]  耶利米坐下來哭泣 哀悼耶路撒冷說」
[00:06:18.060 --> 00:06:21.260]  這一段這樣的序言告訴我們
[00:06:21.260 --> 00:06:24.540]  耶利米先知就是作者
[00:06:24.540 --> 00:06:29.460]  這個這樣的序言在其他的聖經版本都沒有
