
[00:00:00.000 --> 00:00:07.000]  我們開始下半部,進入正題
[00:00:07.000 --> 00:00:16.000]  我們今天的主題是人的孤緣,與他者的超緣
[00:00:16.000 --> 00:00:22.000]  我最喜歡解這些題目,因為很好玩
[00:00:22.000 --> 00:00:28.000]  其實這個題目不是我想出來的,是陳家富博士幫我想出來的
[00:00:28.000 --> 00:00:33.000]  但我一聽到這個題目就覺得很有味道
[00:00:33.000 --> 00:00:42.000]  特別是孤緣這兩個字,中國哲學的味道相當突出
[00:00:42.000 --> 00:00:48.000]  有一種獨立蒼茫的韻味
[00:00:48.000 --> 00:00:51.000]  我為甚麼會說這個字呢?
[00:00:51.000 --> 00:01:01.000]  這個字令我想起一個很重要的當代的哲學家,牟宗三
[00:01:01.000 --> 00:01:04.000]  有沒有人聽過這個名字?
[00:01:04.000 --> 00:01:10.000]  1995年離開這個世界,1994年回到香港
[00:01:10.000 --> 00:01:14.000]  1995年知道他離開世界,我自己也很震驚
[00:01:14.000 --> 00:01:17.000]  其實他是我的老師
[00:01:17.000 --> 00:01:25.000]  我在研究所讀中國哲學的時候,我跟他寫了《碩士論文》
[00:01:25.000 --> 00:01:33.000]  但我從來不是謀門的弟子,我是一個背叛師門的人
[00:01:33.000 --> 00:01:39.000]  如果你看《奇刊》,你會發覺我寫了很多篇文章
[00:01:39.000 --> 00:01:43.000]  從潘伐克的角度來批評牟宗三
[00:01:43.000 --> 00:01:57.000]  我提他是因為他自己的生命和學問,正正可以用孤緣這兩個字來形容
[00:01:57.000 --> 00:02:07.000]  他是一種典範,這典範顯示出現代人的性格和精神面貌
[00:02:07.000 --> 00:02:13.000]  當代的愚者也走不出這種困局
[00:02:13.000 --> 00:02:19.000]  牟宗三離開這個世界之前,他給自己一個評語
[00:02:19.000 --> 00:02:22.000]  前無古人,後無來者
[00:02:22.000 --> 00:02:25.000]  夠不夠孤緣?
[00:02:25.000 --> 00:02:30.000]  如果從好的角度去想,他很獨特
[00:02:30.000 --> 00:02:35.000]  但如果從負面角度去看,他相當孤獨
[00:02:35.000 --> 00:02:39.000]  其實不是很多人了解他,他在香港相當長的時間
[00:02:39.000 --> 00:02:42.000]  但香港不是很多人懂得欣賞他
[00:02:42.000 --> 00:02:49.000]  他最好的學生在台灣,所以晚年他離開香港回台灣
[00:02:49.000 --> 00:02:57.000]  但他整個人的生命性格本身就是孤緣的狀態
[00:02:57.000 --> 00:03:03.000]  他死了不久,台灣的學術界就提出後牟宗三時代
[00:03:03.000 --> 00:03:06.000]  更加孤緣
[00:03:06.000 --> 00:03:14.000]  要超脫離開牟宗三的影響
[00:03:14.000 --> 00:03:20.000]  如果就學問的內容來說,他很喜歡說
[00:03:20.000 --> 00:03:27.000]  中國戰學最重要的特色就是四無一旁
[00:03:27.000 --> 00:03:30.000]  四無一旁,即是四處沒有東西撐起你
[00:03:30.000 --> 00:03:35.000]  他形容儒家是道德主體
