
[00:00:00.000 --> 00:00:06.000]  各位親愛的弟兄姊妹 平安
[00:00:06.000 --> 00:00:10.000]  今日我會繼續跟大家分享
[00:00:10.000 --> 00:00:13.000]  肥立比書第一章的訊息
[00:00:13.000 --> 00:00:17.000]  隨著疫症越來越肆虐
[00:00:17.000 --> 00:00:22.000]  網上各種不同的活動越來越多
[00:00:22.000 --> 00:00:25.000]  有假新聞出現
[00:00:25.000 --> 00:00:28.000]  亦有半真半假的新聞出現
[00:00:28.000 --> 00:00:33.000]  很多時候要分辨實在不容易
[00:00:33.000 --> 00:00:38.000]  因為這樣很多騙案就出現
[00:00:38.000 --> 00:00:42.000]  另外對基督徒來說
[00:00:42.000 --> 00:00:48.000]  越來越多的異端邪教更是無孔不入
[00:00:48.000 --> 00:00:53.000]  甚至有些成熟的基督徒也受騙
[00:00:53.000 --> 00:00:55.000]  我會問一個問題
[00:00:55.000 --> 00:01:04.000]  為何成熟的基督徒也會被異端騙呢?
[00:01:04.000 --> 00:01:14.000]  主要原因是他們對真理知其一不知其二
[00:01:14.000 --> 00:01:21.000]  知道有那一種但不知為何會有那一種
[00:01:21.000 --> 00:01:24.000]  然後對原文的認識
[00:01:24.000 --> 00:01:30.000]  對聖經的正義分辨能力比較弱
[00:01:30.000 --> 00:01:34.000]  平時只聽到神是三為一體
[00:01:34.000 --> 00:01:41.000]  但沒有深究為何要相信神是三為一體
[00:01:41.000 --> 00:01:45.000]  不信為何是異端沒有深究
[00:01:45.000 --> 00:01:49.000]  平時聽到耶穌基督是神又是人
[00:01:49.000 --> 00:01:53.000]  但沒有深究我們從何知道
[00:01:53.000 --> 00:01:58.000]  祂是百分之一百的神又是百分之一百的人
[00:01:58.000 --> 00:02:01.000]  為何兩者不是有矛盾呢?
[00:02:01.000 --> 00:02:03.000]  你是百分之一百的神
[00:02:03.000 --> 00:02:06.000]  怎可能又是百分之一百的人呢?
[00:02:06.000 --> 00:02:10.000]  因為這樣他們很容易受騙
[00:02:10.000 --> 00:02:15.000]  現在我想給大家看看幾幅圖
[00:02:15.000 --> 00:02:20.000]  你就會容易明白我剛剛說的是甚麼
[00:02:20.000 --> 00:02:23.000]  首先第一幅圖
[00:02:23.000 --> 00:02:26.000]  你見到這幅圖上有很多條線
[00:02:26.000 --> 00:02:28.000]  由上到下很多條線
[00:02:28.000 --> 00:02:30.000]  我想問你們
[00:02:30.000 --> 00:02:37.000]  你們可否告訴我這些線是直還是曲呢?
[00:02:37.000 --> 00:02:39.000]  你們可否寫下來
[00:02:39.000 --> 00:02:42.000]  是直線還是曲線
[00:02:42.000 --> 00:02:44.000]  寫下來
[00:02:44.000 --> 00:02:48.000]  然後第二幅圖
[00:02:48.000 --> 00:02:55.000]  我給大家看看圖中有很多一框一框的東西
[00:02:55.000 --> 00:02:57.000]  我想問大家
[00:02:57.000 --> 00:03:04.000]  你看到這幅圖全部是方形還是四方形
[00:03:04.000 --> 00:03:09.000]  還是除了方形外也有圓形呢?
[00:03:09.000 --> 00:03:11.000]  你們寫下來
