
[00:00:00.000 --> 00:00:08.700]  外面還有些人 大家都要進來了
[00:00:08.700 --> 00:00:11.700]  要開始考試了
[00:00:11.700 --> 00:00:18.900]  真的要溫習一下才行
[00:00:18.900 --> 00:00:22.900]  哥林多候書 剛才我很快地說了一次
[00:00:22.900 --> 00:00:30.900]  分成幾個部分 你們記得分成哪幾個部分嗎?
[00:00:30.900 --> 00:00:34.900]  四個 哪四個?
[00:00:34.900 --> 00:00:38.900]  1,2,3,4
[00:00:38.900 --> 00:00:42.900]  1,2,3,4 蘇師母很聰明
[00:00:42.900 --> 00:00:50.900]  一章一節 一直到二章 多少節?
[00:00:50.900 --> 00:00:55.900]  13節 用膠紙唸在哪裏?
[00:00:55.900 --> 00:01:00.900]  7章第5節 原因在哪裏?
[00:01:00.900 --> 00:01:06.900]  因為馬其頓提出多些描述字眼
[00:01:06.900 --> 00:01:11.900]  這樣一直到第7章 即是有一塊
[00:01:11.900 --> 00:01:14.900]  然後兩個夾在中間的又一塊
[00:01:14.900 --> 00:01:22.900]  14節開始 八章九章又一塊
[00:01:22.900 --> 00:01:25.900]  八章九章主要是說甚麼?
[00:01:25.900 --> 00:01:28.900]  是說錢
[00:01:28.900 --> 00:01:32.900]  好像許冠傑
[00:01:32.900 --> 00:01:38.900]  10節到最後一塊 火爆 罵人 說狂話
[00:01:38.900 --> 00:01:42.900]  其實是諷刺的說話 也不是罵人
[00:01:42.900 --> 00:01:53.900]  四個簡單容易記 其他學者的說話暫時放下不用理會
[00:01:53.900 --> 00:01:58.900]  保羅現在在哪裏呢?
[00:01:58.900 --> 00:02:04.900]  馬其頓 他說我從前到達羅亞的時候見不到提多
[00:02:04.900 --> 00:02:07.900]  所以走前都去馬其頓
[00:02:07.900 --> 00:02:11.900]  雖然我沒有用powerpoint 也沒有用圖表
[00:02:11.900 --> 00:02:14.900]  但大家可以嘗試去理解一下
[00:02:14.900 --> 00:02:19.900]  馬其頓 英文叫Macedonia
[00:02:19.900 --> 00:02:26.900]  在哥倫多的邊邊 大致上東南西北
[00:02:26.900 --> 00:02:29.900]  北 北邊
[00:02:29.900 --> 00:02:35.900]  馬其頓是城市名還是省份名?
[00:02:35.900 --> 00:02:41.900]  是騎場派來的 省份名
[00:02:41.900 --> 00:02:44.900]  當時的administration是怎樣呢?
[00:02:44.900 --> 00:02:50.900]  馬其頓裏面有個城市 都幾出名的
[00:02:50.900 --> 00:02:55.900]  當時在聖經裏面
[00:02:55.900 --> 00:03:02.900]  菲律賓 貼索羅尼加應該是
[00:03:02.900 --> 00:03:06.900]  然後到南部就是哥倫多
[00:03:06.900 --> 00:03:11.900]  哥倫多是城市還是省份名?
[00:03:11.900 --> 00:03:16.900]  哥倫多是省份名是哪個省?
[00:03:16.900 --> 00:03:18.900]  亞哥亞 沒錯
[00:03:18.900 --> 00:03:25.900]  都幾出名的 全部都是有實力的
[00:03:25.900 --> 00:03:28.900]  馬其頓省 亞哥亞省
[00:03:28.900 --> 00:03:32.900]  第八章的時候 馬其頓省在捐款
[00:03:32.900 --> 00:03:34.900]  亞哥亞省在捐款
[00:03:34.900 --> 00:03:36.900]  主要城市是哥倫多
[00:03:36.900 --> 00:03:38.900]  馬其頓上面不知道是哪個城市
[00:03:38.900 --> 00:03:40.900]  在菲律賓都不一定
[00:03:40.900 --> 00:03:43.900]  菲律賓是保羅書信裏面自己說
[00:03:43.900 --> 00:03:45.900]  從來沒有受過教會的資助
[00:03:45.900 --> 00:03:46.900]  唯一就是菲律賓
[00:03:46.900 --> 00:03:48.900]  由第一天到現在
[00:03:48.900 --> 00:03:50.900]  都是金錢上資助他
[00:03:50.900 --> 00:03:55.900]  菲律賓 哥倫多 上面那個是馬其頓省
[00:03:55.900 --> 00:03:56.900]  亞哥亞省
[00:03:56.900 --> 00:03:58.900]  他原本是在伊弗所的
[00:03:58.900 --> 00:04:01.900]  伊弗所去訪問哥倫多
[00:04:01.900 --> 00:04:04.900]  然後可能是罵得不愉快
[00:04:04.900 --> 00:04:06.900]  那些人憂愁
[00:04:06.900 --> 00:04:08.900]  他就走回菲律賓
[00:04:08.900 --> 00:04:10.900]  寫信
[00:04:10.900 --> 00:04:13.900]  寫信又令到那些人憂愁 教他怎樣
[00:04:13.900 --> 00:04:15.900]  然後就叫提多帶信
[00:04:15.900 --> 00:04:17.900]  然後他想著提多回來
[00:04:17.900 --> 00:04:19.900]  去到特羅馬又見不到提多
[00:04:19.900 --> 00:04:21.900]  糟了 給他一封信可能
[00:04:21.900 --> 00:04:23.900]  劑量太重了
[00:04:23.900 --> 00:04:25.900]  罵哥倫多人罵得太厲害了
[00:04:25.900 --> 00:04:27.900]  提多這麼久回不來
[00:04:27.900 --> 00:04:29.900]  馬其頓再走前一點
[00:04:29.900 --> 00:04:31.900]  馬其頓見到提多了
[00:04:31.900 --> 00:04:34.900]  現在就來到見到提多的時候了
[00:04:34.900 --> 00:04:39.900]  七章第五至十六節
[00:04:39.900 --> 00:04:41.900]  很短的經文
[00:04:41.900 --> 00:04:44.900]  如果我有時間我就偷步
[00:04:44.900 --> 00:04:46.900]  講完下面
[00:04:46.900 --> 00:04:50.900]  七章第五節
[00:04:50.900 --> 00:04:52.900]  我從前到馬其頓的時候
[00:04:52.900 --> 00:04:54.900]  外有爭執等等
[00:04:54.900 --> 00:04:56.900]  他就見到提多了
[00:04:56.900 --> 00:04:59.900]  然後聖經怎樣說呢
[00:04:59.900 --> 00:05:01.900]  見到提多之後
[00:05:01.900 --> 00:05:03.900]  你見到字眼
[00:05:03.900 --> 00:05:04.900]  你已經知道了
