
[00:00:00.000 --> 00:00:02.000]  丁姐妹平安
[00:00:02.000 --> 00:00:06.000]  我們今早一齊來敬拜神賜給我們的恩典
[00:00:06.000 --> 00:00:08.000]  我們一齊來思想一段經文
[00:00:08.000 --> 00:00:11.000]  就是剛才我們所讀的那段經文
[00:00:11.000 --> 00:00:13.000]  請大家再一次打開聖經
[00:00:13.000 --> 00:00:15.000]  我們一齊來看著
[00:00:15.000 --> 00:00:17.000]  來聆聽神自己的說話
[00:00:17.000 --> 00:00:19.000]  是《馬太福音》的二十四章
[00:00:19.000 --> 00:00:22.000]  《馬太福音》的二十四章
[00:00:22.000 --> 00:00:27.000]  剛才讀的時候
[00:00:27.000 --> 00:00:29.000]  我相信丁姐妹都會留意到
[00:00:29.000 --> 00:00:31.000]  主耶穌所說的
[00:00:31.000 --> 00:00:33.000]  是他末世再回來的時候
[00:00:33.000 --> 00:00:36.000]  很多的景象和預兆
[00:00:36.000 --> 00:00:39.000]  其實這段聖經是很重要的
[00:00:39.000 --> 00:00:41.000]  因為在主耶穌的講論裡
[00:00:41.000 --> 00:00:43.000]  罕有的
[00:00:43.000 --> 00:00:45.000]  《馬太福音》二十四章
[00:00:45.000 --> 00:00:48.000]  是記載了他比較全面的
[00:00:48.000 --> 00:00:49.000]  大量的
[00:00:49.000 --> 00:00:50.000]  深入的
[00:00:50.000 --> 00:00:52.000]  講到他將來再來
[00:00:52.000 --> 00:00:53.000]  就是末世的時候
[00:00:53.000 --> 00:00:55.000]  一些的景象和預言
[00:00:55.000 --> 00:00:57.000]  在這方面
[00:00:57.000 --> 00:00:59.000]  在聖經當然最多的
[00:00:59.000 --> 00:01:01.000]  是記載在啟示錄
[00:01:01.000 --> 00:01:04.000]  但是其他的地方
[00:01:04.000 --> 00:01:05.000]  都有記載
[00:01:05.000 --> 00:01:07.000]  但是比較零碎的
[00:01:07.000 --> 00:01:08.000]  集中的
[00:01:08.000 --> 00:01:10.000]  很多時候我們都要看回
[00:01:10.000 --> 00:01:13.000]  《馬太福音》第二十四章
[00:01:13.000 --> 00:01:14.000]  也都保羅
[00:01:14.000 --> 00:01:16.000]  如果你說保羅的書信裡
[00:01:16.000 --> 00:01:18.000]  通常我們說最重要的
[00:01:18.000 --> 00:01:20.000]  當然就是貼薩羅尼加前書
[00:01:20.000 --> 00:01:22.000]  尤其是第五章
[00:01:22.000 --> 00:01:24.000]  或者我們看他的
