
[00:00:00.000 --> 00:00:06.600]  2019年第一次聚會,新年
[00:00:06.600 --> 00:00:10.200]  今天講一個很特別的題目
[00:00:10.200 --> 00:00:12.400]  是新意象
[00:00:12.400 --> 00:00:16.200]  大家一聽到意象的時候
[00:00:16.200 --> 00:00:17.800]  我不知道你會想什麼
[00:00:17.800 --> 00:00:21.600]  意象,很特別的東西
[00:00:21.600 --> 00:00:23.800]  你叫我新年的時候
[00:00:23.800 --> 00:00:26.000]  我要看到一樣新的東西
[00:00:26.000 --> 00:00:31.800]  這麼神秘,我摸不到的
[00:00:31.800 --> 00:00:35.600]  意象的確在聖經裡面
[00:00:35.600 --> 00:00:38.600]  有用好幾個字
[00:00:38.600 --> 00:00:43.600]  有vision,見到一些特別的東西
[00:00:43.600 --> 00:00:48.800]  或者是signs,見到一些記號
[00:00:48.800 --> 00:00:52.200]  wonders,一些很奇怪的東西
[00:00:52.200 --> 00:00:56.600]  還有great sights,在聖經裡面
[00:00:56.600 --> 00:00:59.200]  我們翻譯做意象的時候
[00:00:59.200 --> 00:01:01.600]  英文是會用這幾個字
[00:01:01.600 --> 00:01:05.200]  great sights,這麼偉大看到的東西
[00:01:05.200 --> 00:01:08.200]  vision,signs,wonders,great sights
[00:01:08.200 --> 00:01:14.000]  在聖經裡面總共出現了88次
[00:01:14.000 --> 00:01:18.000]  聖經裡面第一次意象這兩個字出現
[00:01:18.000 --> 00:01:20.600]  在哪裡呢?很容易記的
[00:01:20.600 --> 00:01:25.600]  第一卷書,創世紀第十五章第一節
[00:01:25.600 --> 00:01:30.000]  在聖經裡面第一次出現意象這個字
[00:01:30.000 --> 00:01:32.600]  最後一次呢?也很容易記的
[00:01:32.600 --> 00:01:37.000]  最後一次在啟示錄,就是聖經最後一篇書
[00:01:37.000 --> 00:01:39.600]  又是第十五章,又是第一節
[00:01:39.600 --> 00:01:42.600]  那裡又是講到意象這兩個字
[00:01:42.600 --> 00:01:46.400]  一會兒我們都會看這兩節的經文
[00:01:46.400 --> 00:01:51.600]  意象這東西對神來說很重要
[00:01:51.600 --> 00:01:54.400]  神要我們看到意象
[00:01:54.400 --> 00:02:01.800]  聖經開始,聖經結尾都叫我們去明白意象
[00:02:01.800 --> 00:02:05.800]  正如我們讀的這段經文很重要
[00:02:05.800 --> 00:02:11.800]  沒有意象,有些翻譯做默示
[00:02:11.800 --> 00:02:15.800]  沒有意象,問就放肆
