
[00:00:00.000 --> 00:00:06.320]  各位姐妹好,在此再次歡迎Gary
[00:00:06.320 --> 00:00:11.120]  我們相隔一年多了
[00:00:11.120 --> 00:00:13.520]  再次歡迎你來到我們當中
[00:00:13.520 --> 00:00:17.600]  讓我們再次在聆聽主導的裏面學習的意思
[00:00:17.600 --> 00:00:19.440]  我們一起同心低頭禱告
[00:00:19.440 --> 00:00:20.720]  讓我們轉為神
[00:00:20.720 --> 00:00:23.680]  菩薩多謝你
[00:00:23.680 --> 00:00:26.080]  多謝你給我們生命的氣息
[00:00:26.080 --> 00:00:28.800]  讓我們能夠站立在地上
[00:00:28.800 --> 00:00:33.440]  走上帝鋪設在我們面前的道路
[00:00:33.440 --> 00:00:36.480]  我們知道在這個罪惡的世界當中
[00:00:36.480 --> 00:00:38.400]  這條道路並不容易跑
[00:00:38.400 --> 00:00:40.000]  但我們也知道
[00:00:40.000 --> 00:00:43.920]  這正正就是我們生命如何更加認識你
[00:00:43.920 --> 00:00:47.360]  在罪的裏面如何痛悔的緣由
[00:00:47.360 --> 00:00:50.640]  讓我們能夠在這條路上與你同行
[00:00:50.640 --> 00:00:53.040]  有你一直的拖大大力
[00:00:53.040 --> 00:00:54.800]  我們為此獻上感恩
[00:00:54.800 --> 00:00:56.880]  我們將以後聽道的時間
[00:00:56.880 --> 00:00:58.400]  再次懇求主你
[00:00:58.400 --> 00:01:02.000]  借助你的說話釋放出的能力
[00:01:02.000 --> 00:01:06.080]  讓我們能夠勇敢面對每一天的生命生活
[00:01:06.080 --> 00:01:11.360]  能夠成為一個合神心意的屬神子民
[00:01:11.360 --> 00:01:14.480]  活在上帝你所陳設的地方裏面
[00:01:14.480 --> 00:01:18.160]  作為上帝你的真理的顯明
[00:01:18.160 --> 00:01:19.360]  我們同心禱告
[00:01:19.360 --> 00:01:22.160]  奉靠主耶穌基督得勝名自如求
[00:01:22.160 --> 00:01:23.120]  阿們
[00:01:23.120 --> 00:01:26.640]  我曾經認識一個家長
[00:01:26.640 --> 00:01:30.640]  他為了秉承現在世界上最喜歡的一句話
[00:01:30.640 --> 00:01:34.320]  叫贏在起跑線的世界觀
[00:01:34.320 --> 00:01:40.400]  於是他對於他家裏的每一個子女
[00:01:40.400 --> 00:01:44.560]  都處於一種非常緊張的狀態
[00:01:44.560 --> 00:01:45.840]  緊張到一個地步
[00:01:45.840 --> 00:01:48.320]  變成了我們所稱之為的
[00:01:48.320 --> 00:01:52.480]  所謂的虎爸虎媽的這種情況
[00:01:52.480 --> 00:01:55.920]  但凡是有任何的問題出現了
[00:01:55.920 --> 00:01:58.160]  他都會為他們出頭解決
[00:01:58.160 --> 00:02:02.080]  而且很多時候
[00:02:02.080 --> 00:02:05.440]  不用子女有什麼思索也好
[00:02:05.440 --> 00:02:07.760]  他已經直接插手參與其中
[00:02:07.760 --> 00:02:09.600]  我記得曾經有一次
[00:02:09.600 --> 00:02:15.600]  他的子女在學校有一個聖誕卡的設計比賽
[00:02:15.600 --> 00:02:19.920]  他為了幫他的子女在那間學校裏面
[00:02:19.920 --> 00:02:24.320]  能夠得以出風頭或者去贏取獎項
[00:02:24.320 --> 00:02:26.320]  於是私下代工
[00:02:26.320 --> 00:02:28.320]  結果怎麼樣
[00:02:28.320 --> 00:02:35.360]  他的兒子把功課或參賽的製品拿去比賽
[00:02:35.360 --> 00:02:36.800]  得到獎牌
[00:02:36.800 --> 00:02:40.320]  但是因為這個緣故
[00:02:40.320 --> 00:02:44.320]  我可以說他逐步逐步將他的子女推向一個
[00:02:44.320 --> 00:02:51.120]  完全沒有自我能力解決困難的一種生命狀態
[00:02:52.000 --> 00:02:55.440]  而很多時候這種小朋友
[00:02:55.440 --> 00:03:00.480]  好像很多的成就包裹著他們
[00:03:00.480 --> 00:03:05.120]  但實質上其實他這些包裹著的
[00:03:05.120 --> 00:03:10.560]  裏面的生命是一個軟弱和無能的狀態
[00:03:10.560 --> 00:03:14.720]  我另外認識到一個年青人
[00:03:14.720 --> 00:03:17.680]  這個年青人不單是當年年青人
[00:03:17.680 --> 00:03:19.680]  其實他是我的同學
[00:03:19.680 --> 00:03:23.920]  我這個同學的父母出生在一個藍領階層
[00:03:23.920 --> 00:03:26.720]  我還記得他和我以前很熟
[00:03:26.720 --> 00:03:27.920]  很老友的
[00:03:27.920 --> 00:03:33.440]  爸爸媽媽真的要天天去做很多手作功夫
[00:03:33.440 --> 00:03:36.240]  其實以前我們在香港生活的時候
[00:03:36.240 --> 00:03:38.720]  你小時候想不到原來很多
[00:03:38.720 --> 00:03:44.320]  你想不到的產品仍然是用手作的
[00:03:44.320 --> 00:03:46.880]  譬如蒸籠
[00:03:47.600 --> 00:03:52.000]  大家想吃蝦餃燒賣的蒸籠
[00:03:52.000 --> 00:03:57.040]  原來到今時今日都沒有機器可以自動化去做
[00:03:57.040 --> 00:04:01.120]  仍然是用人手去參與其中去處理
[00:04:01.120 --> 00:04:04.880]  我這個朋友的父母很忙
[00:04:04.880 --> 00:04:08.000]  所以一天到晚要做這些手作工作
[00:04:08.000 --> 00:04:10.000]  來養活一家
[00:04:10.000 --> 00:04:12.000]  他沒有讀過什麼書
[00:04:12.400 --> 00:04:14.880]  但只知道一件事就是
[00:04:14.880 --> 00:04:18.080]  每逢有問題的時候
[00:04:18.080 --> 00:04:20.080]  都要去想方法解決
[00:04:20.080 --> 00:04:22.080]  因為他們很忙
[00:04:22.080 --> 00:04:26.720]  所以我的同學就變成了家裡很重要的元素
[00:04:26.720 --> 00:04:29.280]  但凡他家裡有什麼問題
[00:04:29.280 --> 00:04:31.280]  他父母都會說
[00:04:31.280 --> 00:04:34.880]  媽媽你幫我去處理
[00:04:34.880 --> 00:04:36.880]  處理他吧
[00:04:36.880 --> 00:04:39.360]  怎麼處理不說的
[00:04:39.360 --> 00:04:41.360]  也沒有詳細介紹
[00:04:41.360 --> 00:04:43.360]  總之家裡有一個問題
[00:04:43.360 --> 00:04:45.360]  你想方法去處理
[00:04:45.360 --> 00:04:49.360]  我只希望能夠解決問題
[00:04:49.360 --> 00:04:53.360]  我問我同學
[00:04:53.360 --> 00:04:55.360]  你通常是怎樣去遇見這些情況
[00:04:55.360 --> 00:04:57.360]  他就說
[00:04:57.360 --> 00:04:59.360]  沒有的
[00:04:59.360 --> 00:05:01.360]  不懂的就去問人
[00:05:01.360 --> 00:05:05.360]  再問不到的就去圖書館
[00:05:05.360 --> 00:05:09.360]  因為他家裡很近一個公立圖書館
[00:05:09.360 --> 00:05:11.360]  所以就去看書
[00:05:11.360 --> 00:05:13.360]  或者上學的時候
[00:05:13.360 --> 00:05:15.360]  在學校看其他不同的書籍
[00:05:15.360 --> 00:05:17.360]  累積自己的經驗
[00:05:17.360 --> 00:05:19.360]  或者學識
[00:05:19.360 --> 00:05:21.360]  所以他也有很多小知識
[00:05:21.360 --> 00:05:23.360]  其中一樣東西
[00:05:23.360 --> 00:05:25.360]  他還說家裡的水電
[00:05:25.360 --> 00:05:27.360]  其實都找他幫忙做的
[00:05:27.360 --> 00:05:29.360]  譬如以前
[00:05:29.360 --> 00:05:31.360]  我不知道大家的經驗是怎樣
[00:05:31.360 --> 00:05:33.360]  以前在香港的年代
[00:05:33.360 --> 00:05:37.360]  水電其實有個電錶盒
[00:05:37.360 --> 00:05:43.360]  但凡家裡的插頭多插兩件電器
[00:05:43.360 --> 00:05:47.360]  或者多用電的電器
[00:05:47.360 --> 00:05:49.360]  插進去就燒錶
[00:05:49.360 --> 00:05:51.360]  什麼叫燒錶
[00:05:51.360 --> 00:05:53.360]  現在的年輕人當然不懂
[00:05:53.360 --> 00:05:55.360]  燒什麼錶
[00:05:55.360 --> 00:05:57.360]  現在的年輕人就說買過
[00:05:57.360 --> 00:05:59.360]  整部買過
[00:05:59.360 --> 00:06:01.360]  燒錶以前真的要去電商那裡
[00:06:01.360 --> 00:06:03.360]  看一條錶線
[00:06:03.360 --> 00:06:11.360]  要將錶線的插頭拔出來
[00:06:11.360 --> 00:06:15.360]  然後再插進去
[00:06:15.360 --> 00:06:19.360]  我說這些對我來講是很高危的東西
[00:06:19.360 --> 00:06:21.360]  還沒搞過電的時候
[00:06:21.360 --> 00:06:25.360]  他就說你看書就知道怎樣做了
[00:06:25.360 --> 00:06:27.360]  關了大電錶就電你不死
