
[00:00:00.000 --> 00:00:05.000]  各位頂展會 早安
[00:00:05.000 --> 00:00:09.000]  今日主給我機會在大家當中分享神的話
[00:00:09.000 --> 00:00:11.000]  我記得上一次來的時間是十多年前
[00:00:11.000 --> 00:00:15.000]  大家仍然在教會聚會的地方
[00:00:15.000 --> 00:00:17.000]  今日我見到教會不斷地成長
[00:00:17.000 --> 00:00:21.000]  亦都需要更多地方在這裏敬拜主
[00:00:21.000 --> 00:00:26.000]  亦都知道即將你們會有展開抗唐的工作
[00:00:26.000 --> 00:00:27.000]  願神都帶領你們
[00:00:27.000 --> 00:00:31.000]  讓你們成為一間神所賜福 更蒙福的教會
[00:00:31.000 --> 00:00:34.000]  在這裏我都將我所侍奉的一個地方
[00:00:34.000 --> 00:00:37.000]  播道神學院 做師生的文安達給大家
[00:00:37.000 --> 00:00:40.000]  今日帶了我們最新的通訊
[00:00:40.000 --> 00:00:42.000]  其中一篇文章我想提出來
[00:00:42.000 --> 00:00:46.000]  希望你們散會的時候可以拿到神學院的軟訊
[00:00:46.000 --> 00:00:48.000]  這篇文章是我們一位新約的老師
[00:00:48.000 --> 00:00:53.000]  他用了很精簡 但卻是很徹底的方法
[00:00:53.000 --> 00:00:55.000]  跟我們分析一個問題
[00:00:55.000 --> 00:00:59.000]  就是從新約聖經看同性戀行為的問題
[00:00:59.000 --> 00:01:01.000]  我相信這也是一個很重要的議題
[00:01:01.000 --> 00:01:04.000]  亦都影響很多人的看法
[00:01:04.000 --> 00:01:07.000]  希望大家可以從這篇文章得到幫助
[00:01:07.000 --> 00:01:09.000]  想到大埔宣道會
[00:01:09.000 --> 00:01:12.000]  我都想起是一間蒙福的教會
[00:01:12.000 --> 00:01:16.000]  無論在傳福音 在猜傳
[00:01:16.000 --> 00:01:18.000]  特別在祈禱的事宮上
[00:01:18.000 --> 00:01:20.000]  我們有很多學習
[00:01:20.000 --> 00:01:23.000]  我們有很多值得欣賞的地方
[00:01:23.000 --> 00:01:26.000]  所以我想到新約聖經裏面的教會
[00:01:26.000 --> 00:01:27.000]  就是在菲律賓教會
[00:01:27.000 --> 00:01:30.000]  在保羅所建立的十多間教會當中
[00:01:30.000 --> 00:01:32.000]  似乎我們有的資料
[00:01:32.000 --> 00:01:35.000]  就是在菲律賓教會是一間最蒙福的教會
[00:01:35.000 --> 00:01:37.000]  是保羅最稱讚的教會
[00:01:37.000 --> 00:01:39.000]  所以今天很想從菲律賓這段經文
[00:01:39.000 --> 00:01:41.000]  和大家彼此的面對
[00:01:41.000 --> 00:01:46.000]  這段聖經是保羅在羅馬坐牢的時間
[00:01:46.000 --> 00:01:51.000]  寫給距離他大約一千里外的菲律賓教會
[00:01:51.000 --> 00:01:54.000]  這封書信 短短的四章
[00:01:54.000 --> 00:01:58.000]  保羅用了一個頗長的地方來做引言
[00:01:58.000 --> 00:01:59.000]  如果一個分發的話
[00:01:59.000 --> 00:02:01.000]  保羅差不多由第一章第一節
[00:02:01.000 --> 00:02:04.000]  一直到二章的第26節
[00:02:04.000 --> 00:02:06.000]  都是引言 一部分
[00:02:06.000 --> 00:02:08.000]  就是交代他的處境
[00:02:08.000 --> 00:02:12.000]  不過從一個比較寫信的格式來說
[00:02:12.000 --> 00:02:14.000]  保羅是用一章一節到十一節
[00:02:14.000 --> 00:02:18.000]  寫了他的一般寫信的格式
[00:02:18.000 --> 00:02:20.000]  來作為這封書信的引言
[00:02:20.000 --> 00:02:23.000]  其他格式包括了一章一節到二節
[00:02:23.000 --> 00:02:27.000]  是一個我們在西方聖經經常見到的
[00:02:27.000 --> 00:02:29.000]  一些文案的方式
[00:02:29.000 --> 00:02:32.000]  就是先寫他是誰 作者是誰
[00:02:32.000 --> 00:02:35.000]  然後寫給哪些人 受眾是誰
[00:02:35.000 --> 00:02:37.000]  接著有一個簡單的文案
[00:02:37.000 --> 00:02:39.000]  一章一到二節
[00:02:39.000 --> 00:02:43.000]  然後一章的第三節到第八節
[00:02:43.000 --> 00:02:46.000]  是保羅為菲律賓教會的感恩
[00:02:46.000 --> 00:02:51.000]  第三節說 我每逢想念你們就感謝我的神
[00:02:51.000 --> 00:02:54.000]  保羅在第三節到第八節
[00:02:54.000 --> 00:02:57.000]  說到為菲律賓教會感恩的原因
[00:02:57.000 --> 00:02:58.000]  為何感恩
[00:02:58.000 --> 00:03:01.000]  然後第三個段落就是第九節
[00:03:01.000 --> 00:03:04.000]  那裡聖經說 我所禱告的
[00:03:04.000 --> 00:03:09.000]  就是要你們的愛心在知識和個人見識上多而有多
[00:03:09.000 --> 00:03:11.000]  保羅為菲律賓教會禱告
[00:03:11.000 --> 00:03:15.000]  換言之這段經文很自然分成三個段落
[00:03:15.000 --> 00:03:20.000]  一個是問安 一個是感恩 一個是代禱
[00:03:20.000 --> 00:03:22.000]  我想從這三方面
[00:03:22.000 --> 00:03:26.000]  保羅對菲律賓教會的這封引言書信裡
[00:03:26.000 --> 00:03:29.000]  我們看看怎樣成為一間無夫的教會
[00:03:29.000 --> 00:03:31.000]  在這三個小段落裡
[00:03:31.000 --> 00:03:34.000]  都帶出一個無夫的教會有一個特徵
[00:03:34.000 --> 00:03:37.000]  我們先看第一個 一章一到二節
[00:03:37.000 --> 00:03:39.000]  一章一到二節
[00:03:39.000 --> 00:03:42.000]  保羅說 基督耶穌的僕人保羅和提摩泰
[00:03:42.000 --> 00:03:44.000]  寫信給菲律賓教會
[00:03:44.000 --> 00:03:47.000]  這句話有兩個地方需要解釋
[00:03:47.000 --> 00:03:50.000]  第一 基督耶穌的僕人
[00:03:50.000 --> 00:03:53.000]  僕人這個字在《聖經》裡
[00:03:53.000 --> 00:03:55.000]  保羅用到自己身上的時候
[00:03:55.000 --> 00:03:59.000]  其實用的當時的字眼就是奴僕 奴隸
[00:03:59.000 --> 00:04:03.000]  僕人不是我們一般的工人
[00:04:03.000 --> 00:04:06.000]  是說耶穌基督的奴隸
[00:04:06.000 --> 00:04:09.000]  一般的工人和奴隸當然有很大的分別
[00:04:09.000 --> 00:04:12.000]  一般的工人仍然有自己的自主權
[00:04:12.000 --> 00:04:16.000]  但是奴僕 奴隸就是屬於耶穌基督
[00:04:16.000 --> 00:04:20.000]  或者是一個沒有自主權 屬於主人的人
[00:04:20.000 --> 00:04:23.000]  保羅用這樣的心態去看他的侍奉
[00:04:23.000 --> 00:04:26.000]  所有侍奉主的人如果不是這樣的心態的話
[00:04:26.000 --> 00:04:30.000]  很難在侍奉主的路程上能夠持久
[00:04:30.000 --> 00:04:33.000]  因為侍奉主總有不如意 總有受氣
