
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹,午安!
[00:00:05.000 --> 00:00:11.000]  首先很抱歉,因為我剛才在屯門的教會
[00:00:11.000 --> 00:00:15.000]  講完主一學,被弟兄姊妹抓住我,問我很多問題
[00:00:15.000 --> 00:00:21.000]  所以今天大巷答細巷,剩下一分鐘就會遲到
[00:00:21.000 --> 00:00:24.000]  很感恩沒有遲到
[00:00:24.000 --> 00:00:29.000]  另外那邊廂,今天下午有我的一位學生結婚
[00:00:29.000 --> 00:00:34.000]  所以我要講完要馬上去元朗的婚禮
[00:00:34.000 --> 00:00:38.000]  所以很抱歉,等下我沒辦法完成整個崇拜
[00:00:38.000 --> 00:00:45.000]  我來到這裡很開心,因為每一次所指定的經文
[00:00:45.000 --> 00:00:48.000]  是北宣指定的經文
[00:00:48.000 --> 00:00:51.000]  所以來這裡這篇講章是沒講過的
[00:00:51.000 --> 00:00:53.000]  一定是全身預備
[00:00:53.000 --> 00:00:56.000]  所以我們就懷著恭敬的心
[00:00:56.000 --> 00:00:58.000]  一起聽尼加書這段訊息
[00:00:58.000 --> 00:01:00.000]  我們一起祈禱
[00:01:00.000 --> 00:01:03.000]  慈悲人愛的天父,多謝你
[00:01:03.000 --> 00:01:09.000]  讓我們能夠在這分亂的世代找到一絲的寧靜
[00:01:09.000 --> 00:01:12.000]  我們接觸到你的聖言
[00:01:12.000 --> 00:01:15.000]  星化、潔淨我們的心
[00:01:15.000 --> 00:01:19.000]  主啊,我們的心有憤怒,我們的心有失望
[00:01:19.000 --> 00:01:21.000]  我們的心有悲哀
[00:01:21.000 --> 00:01:24.000]  但其實求你,就在這一刻
[00:01:24.000 --> 00:01:29.000]  能夠讓我們在眾多情緒當中看到你的真實
[00:01:29.000 --> 00:01:31.000]  求主你帶領,幫助孩子
[00:01:31.000 --> 00:01:33.000]  宣講你的話語清楚
[00:01:33.000 --> 00:01:35.000]  我們同心去領受
[00:01:35.000 --> 00:01:38.000]  禱告,是奉耶穌基督命求
[00:01:38.000 --> 00:01:39.000]  阿們
[00:01:39.000 --> 00:01:41.000]  尼加書第七章一到七節
[00:01:41.000 --> 00:01:45.000]  今天的講題是比真實更真實
[00:01:45.000 --> 00:01:48.000]  以色列的先知尼加
[00:01:48.000 --> 00:01:51.000]  往往都是處於兩個真實裡面
[00:01:51.000 --> 00:01:56.000]  其中一個真實比另一個真實更真實
[00:01:56.000 --> 00:01:58.000]  首先第一個真實是什麼呢
[00:01:58.000 --> 00:02:02.000]  第一個真實就是眼前的黑暗光景
[00:02:02.000 --> 00:02:07.000]  先知被照去走去那些惡人虛偽的人面前
[00:02:07.000 --> 00:02:09.000]  傳講神而來的神諭
[00:02:09.000 --> 00:02:12.000]  他眼前的惡和罪惡都是真實
[00:02:12.000 --> 00:02:14.000]  他的眼睛非常銳利
[00:02:14.000 --> 00:02:18.000]  看到一個二人都沒有的實況
[00:02:18.000 --> 00:02:21.000]  全世界都是和真理對抗
[00:02:21.000 --> 00:02:24.000]  他甚至看到受到欺壓的人
[00:02:24.000 --> 00:02:26.000]  正正去到苦苦哀求
[00:02:26.000 --> 00:02:30.000]  也看到那些不公不義的官長和宗教領袖
[00:02:30.000 --> 00:02:36.000]  就知道這群百姓不可能會悔改和更新的情況
[00:02:36.000 --> 00:02:39.000]  所以我們看到前途一片黑暗
[00:02:39.000 --> 00:02:41.000]  在這樣的情況下
[00:02:41.000 --> 00:02:43.000]  先知被蒙照
[00:02:43.000 --> 00:02:46.000]  也都是由於一個這樣的真實
[00:02:46.000 --> 00:02:51.000]  蒙照是源自另一個真實
[00:02:51.000 --> 00:02:55.000]  這個真實比他眼前的黑暗更真實
[00:02:55.000 --> 00:02:58.000]  先知必須看到眼前的罪惡
[00:02:58.000 --> 00:03:00.000]  再大和再兇惡
[00:03:00.000 --> 00:03:03.000]  都總有一種滅絕的一天
[00:03:03.000 --> 00:03:06.000]  我們近來很喜歡滅絕這個字
[00:03:06.000 --> 00:03:08.000]  因為倚天同龍記
[00:03:08.000 --> 00:03:13.000]  所以我們看到先知在黑暗的真實裏
[00:03:13.000 --> 00:03:15.000]  宣講上帝而來的審判
[00:03:15.000 --> 00:03:20.000]  為受欺壓的人帶來平反和拯救的希望
[00:03:20.000 --> 00:03:24.000]  而他所宣講的盼望是一個真實的盼望
[00:03:24.000 --> 00:03:27.000]  由於先知所傳遞的盼望是由上帝而來的
[00:03:27.000 --> 00:03:31.000]  所以先知明白這個末日要兌現的福氣
[00:03:31.000 --> 00:03:34.000]  才是真正壓倒性的真實
[00:03:34.000 --> 00:03:38.000]  這個盼望的真實暫時還沒有到
[00:03:38.000 --> 00:03:41.000]  但他深信神的應許是永遠不會落空
[00:03:41.000 --> 00:03:46.000]  所以當下的黑暗就算有多大多壓倒性也好
[00:03:46.000 --> 00:03:50.000]  也不能否定將來的盼望和真實
[00:03:50.000 --> 00:03:54.000]  所以當下的真實屬於一種會過去的真實
[00:03:54.000 --> 00:03:57.000]  而所盼望的真實是一定會來
[00:03:57.000 --> 00:04:01.000]  但吊詭地還沒有來的真實
[00:04:01.000 --> 00:04:04.000]  後者的真實比前者的真實
[00:04:04.000 --> 00:04:07.000]  他五官感受到的真實是黑暗的真實
[00:04:07.000 --> 00:04:09.000]  但那個是會過去
[00:04:09.000 --> 00:04:11.000]  但他五官感受不到
[00:04:11.000 --> 00:04:14.000]  他憑信到相信的盼望
