
[00:00:00.000 --> 00:00:10.000]  真愛天父,多謝你的恩典,讓我們在香港沒有特別的天災,
[00:00:10.000 --> 00:00:18.000]  也沒有這麼多人禍,特別是沒有恐襲在我們當中。
[00:00:18.000 --> 00:00:26.000]  甚至當我們看回我們的天氣,雖然我們覺得這幾天有一點寒冷,
[00:00:26.000 --> 00:00:35.000]  但是比起那些下雪的地方,我們深深感覺到是幸福,是溫暖。
[00:00:35.000 --> 00:00:45.000]  求你幫助我們,就在這些和諧的、正常的日子當中,
[00:00:45.000 --> 00:00:51.000]  讓我們更加努力追求一些有永恆價值的東西,
[00:00:51.000 --> 00:00:57.000]  能夠更多的傳揚你的福音,見證你,將更多的人帶到你裡面。
[00:00:57.000 --> 00:01:01.000]  因為我們不知道什麼時候有逆境臨到的時候,
[00:01:01.000 --> 00:01:05.000]  那些其實就是我們救命的恩典。
[00:01:05.000 --> 00:01:10.000]  我們越是懂得依靠你,我們就好像在大海裡面,
[00:01:10.000 --> 00:01:15.000]  我們有了救生衣一樣,不需要怕那些風浪。
[00:01:15.000 --> 00:01:19.000]  帶領我們下面的時間,讓你的話出來的時候,
[00:01:19.000 --> 00:01:24.000]  我們聽到的,都是因為你的話,我們的心受激勵。
[00:01:24.000 --> 00:01:27.000]  奉耶穌基督的名禱,阿們。
[00:01:27.000 --> 00:01:32.000]  各位聽眾姐妹,讓大家看看這張照片,
[00:01:32.000 --> 00:01:37.000]  你認識他是誰嗎?是誰?
[00:01:37.000 --> 00:01:45.000]  金正男,這是最近全球各地新聞非常熱的一個人物,
[00:01:45.000 --> 00:01:53.000]  也是今天北韓的主席,同父異母的哥哥金正男。
[00:01:53.000 --> 00:02:01.000]  沒想到在吉隆坡大馬那個地方,不聲不響,
[00:02:01.000 --> 00:02:05.000]  沒有經過打鬥,也沒有經過很激烈的掙扎,
[00:02:05.000 --> 00:02:11.000]  只不過是一個美女走近他,可能是捉一捉,摸一摸。
[00:02:11.000 --> 00:02:16.000]  然後很短的時間,他就氣絕身亡。
[00:02:16.000 --> 00:02:22.000]  現在帶來的就是令到全球震驚的,原來他是中了毒的,
[00:02:22.000 --> 00:02:30.000]  是中了VX神經毒氣這種毒,是非常劇的一種毒。
[00:02:30.000 --> 00:02:39.000]  令到馬來西亞當局在整個機場,他們要進行一種消毒,
[00:02:39.000 --> 00:02:42.000]  免得會繼續影響其他的人。
[00:02:42.000 --> 00:02:49.000]  但我相信在今天來說,到現在為止,仍然是未叫做水落石出,
[00:02:49.000 --> 00:02:57.000]  但是絕大部分人都會相信殺他的,無論是外面也好,裏面也好,
[00:02:57.000 --> 00:03:02.000]  是隻狼來的,是不想他存在這個世界上。
[00:03:02.000 --> 00:03:09.000]  而他的焦點,大家都知道,都是指向他在北韓做領袖的,
[00:03:09.000 --> 00:03:11.000]  同父異母的弟弟。
[00:03:11.000 --> 00:03:20.000]  但另一方面,我也很想給大家看看,那些叫做裏面又是狼,外面又是狼。
[00:03:20.000 --> 00:03:24.000]  恐襲,你越是反恐,恐襲就越多,
[00:03:24.000 --> 00:03:32.000]  而且層出不窮,動不動一個貨車可以衝上去充滿人群的地方,
[00:03:32.000 --> 00:03:39.000]  令到幾十人喪命,動不動可以有炸彈,動不動有刀來斬,
[00:03:39.000 --> 00:03:43.000]  動不動有人亂槍掃射。
[00:03:43.000 --> 00:03:49.000]  最離譜的,就是有些生存者,其中有一個,
[00:03:49.000 --> 00:03:58.000]  傳出來的時間,就是一個人頭洶湧,非常密集的屎閘裏面,
[00:03:58.000 --> 00:04:03.000]  有一個人就是這樣引爆他身上的炸彈,
[00:04:03.000 --> 00:04:06.000]  你沒想到那個是女人來的,
[00:04:06.000 --> 00:04:11.000]  穿著長褸的衣服,突然間引爆,他自己血肉模糊,
[00:04:11.000 --> 00:04:16.000]  但接著幾十人就這樣喪生,百多人就是受傷。
[00:04:16.000 --> 00:04:20.000]  我們見到在這個世界裏面,很多地方很不安全,
[00:04:20.000 --> 00:04:27.000]  但另一方面,還有一些外面是像羊一樣,
[00:04:27.000 --> 00:04:32.000]  但裏面都是一樣,是狼來的。
[00:04:32.000 --> 00:04:35.000]  這個標誌有沒有人知道是什麼來的?
[00:04:35.000 --> 00:04:40.000]  你們不知道,我們如在夢中,不知道這些是什麼,
[00:04:40.000 --> 00:04:47.000]  但今日的韓國,今日的中國大陸,今日的台灣,已經叫我們提醒精神,
[00:04:47.000 --> 00:04:54.000]  認得這個標誌,因為當今在韓國,這是一個最危險的邪教,
[00:04:54.000 --> 00:04:59.000]  最危險的異端,在這裏繼續不斷滲透在各教會,
[00:04:59.000 --> 00:05:04.000]  這個異端叫做什麼呢?是叫做新天地。
[00:05:04.000 --> 00:05:14.000]  給大家知道,這個新天地是連今日的韓國總統都牽涉在當中,
[00:05:14.000 --> 00:05:24.000]  因為他最資深的,最接近的一個朋友,崔信實,他的爸爸,
[00:05:24.000 --> 00:05:28.000]  就是新天地的創辦人之一。
[00:05:28.000 --> 00:05:35.000]  是因為這樣,所以他們是接觸了很多政府高層,很多大企業的高層,
[00:05:35.000 --> 00:05:40.000]  而當中就是趁著這一班人,為他們這樣來宣傳,
[00:05:40.000 --> 00:05:48.000]  短短幾十年裏面,他們已經去到75個國家,非常多人加入他們當中。
[00:05:48.000 --> 00:05:53.000]  看多一張,這張我不知道大家有多少人有看到,
[00:05:53.000 --> 00:05:58.000]  下載不到的,就用手機拍了給大家看一看。
[00:05:58.000 --> 00:06:08.000]  這個是什麼呢?就是他們最擅長去用的一個宣傳的伎倆。
[00:06:08.000 --> 00:06:18.000]  這個伎倆是什麼呢?就是透過優質基督徒交友網站。
[00:06:18.000 --> 00:06:23.000]  優質,你要記得,優質。
[00:06:23.000 --> 00:06:28.000]  他們用的都是優質,什麼都是優質。
[00:06:28.000 --> 00:06:36.000]  給大家知道的,就是這個教派是由一個叫李孟熙的韓國人創立的。
[00:06:36.000 --> 00:06:41.000]  他說耶穌曾經向他顯然,就告訴他,
[00:06:41.000 --> 00:06:47.000]  他猜保衛斯來這個世界是要在地上建立新天新地,
[00:06:47.000 --> 00:06:50.000]  這個保衛斯是什麼呢?就是聖靈。
[00:06:50.000 --> 00:06:55.000]  那聖靈是誰呢?李孟熙說,聖靈就是他自己。
[00:06:55.000 --> 00:06:58.000]  所以他建立的新天新地是有神同在的,
[00:06:58.000 --> 00:07:02.000]  人是能夠面對面見到神的,因為他就是聖靈。
[00:07:02.000 --> 00:07:07.000]  他說三位一體是什麼意思呢?就是聖父在舊約的時候向人顯然,
[00:07:07.000 --> 00:07:10.000]  當他成為耶穌的時候就是耶穌了,
[00:07:10.000 --> 00:07:12.000]  就沒有聖父了,就是耶穌了。
[00:07:12.000 --> 00:07:16.000]  好了,耶穌升天之後,就再沒有了,
[00:07:16.000 --> 00:07:20.000]  結果化身成為聖靈,來到人的當中,
[00:07:20.000 --> 00:07:22.000]  而聖靈就是他自己。
[00:07:22.000 --> 00:07:27.000]  換句話來說,同出一轍,所有的邪教,所有的異端都是一樣,
[00:07:27.000 --> 00:07:35.000]  是將這個教派的創辦人描繪成是神,是救主。
[00:07:35.000 --> 00:07:40.000]  你看到在這個新天地裡面,他們的殿就是有十二個支派,
[00:07:40.000 --> 00:07:43.000]  他們有二十四個長老。
[00:07:43.000 --> 00:07:47.000]  換句話來說,啟示錄所說到的新天新地,
[00:07:47.000 --> 00:07:53.000]  那個境界,他們說現在已經實踐在他們的教會當中,
[00:07:53.000 --> 00:07:56.000]  就是這個帳幕,就是他們的殿。
[00:07:56.000 --> 00:08:01.000]  而在這個帳幕,他們的殿裡面,任何人能夠進到裡面的時間,
[00:08:01.000 --> 00:08:05.000]  就是面對面可以和神相交。
[00:08:05.000 --> 00:08:13.000]  幾十年,現在有七十五個國家,超過數百萬的人加入了他們的裡面,
[00:08:13.000 --> 00:08:20.000]  朴槿惟他現在渾身不適,就是因為牽涉在一個這樣的教派裡面。
[00:08:20.000 --> 00:08:25.000]  我現在給大家知道一下這個教派,他們用的標榜是什麼呢?
[00:08:25.000 --> 00:08:31.000]  全部是高級,高級的,你看完之後,
[00:08:31.000 --> 00:08:35.000]  是使很多的青年人趨之若鶩。
[00:08:35.000 --> 00:08:39.000]  這些組織,你要很小心。
[00:08:39.000 --> 00:08:45.000]  世界和平運動,馬拿志願者協會,
[00:08:45.000 --> 00:08:52.000]  國際青年和平組織,天上文化世界和平光復組織,
[00:08:52.000 --> 00:08:57.000]  然後優質藝術家研討會,
[00:08:57.000 --> 00:09:07.000]  優質時裝,優質學者交談,優質領袖培訓,
[00:09:07.000 --> 00:09:12.000]  全部都是優質卓越,優質卓越。
[00:09:12.000 --> 00:09:19.000]  然後透過這些活動,他們在一個地方不斷地用交友,
[00:09:19.000 --> 00:09:26.000]  來引一些人上鉤,特別是用女的鉤人,男的鉤男的上鉤,
[00:09:26.000 --> 00:09:29.000]  而上了鉤,他們發覺到已經定了,
[00:09:29.000 --> 00:09:32.000]  是願意覺得他們那套東西是對的,
[00:09:32.000 --> 00:09:39.000]  然後他們就給幾個月的培訓,給一些剛剛進去的人,
[00:09:39.000 --> 00:09:43.000]  幾個月的培訓裡面,經過考核,他們覺得他合適的時候,
