
[00:00:00.000 --> 00:00:11.000]  各位早晨 還有幾分鐘就午安了
[00:00:11.000 --> 00:00:15.560]  很開心今天可以跟大家分享一段
[00:00:15.560 --> 00:00:22.520]  我在很年輕的時候很受益的經文
[00:00:22.520 --> 00:00:27.800]  當時是胡恩德先生是港獨
[00:00:27.800 --> 00:00:31.700]  也在九龍城潮人生命堂那裡
[00:00:31.700 --> 00:00:37.720]  寫了「成為聖潔合乎主用」幾個字
[00:00:37.720 --> 00:00:41.000]  在十字架的兩旁
[00:00:41.000 --> 00:00:50.360]  是我非常敬重的陳慧文執事所寫的
[00:00:50.360 --> 00:00:54.640]  當時聽見這一段經文
[00:00:54.640 --> 00:01:01.000]  那個二十幾歲 應該未到二十六歲的年輕人
[00:01:01.000 --> 00:01:11.040]  就立志要按照經文所教導的去成為合主用的器皿
[00:01:11.040 --> 00:01:20.760]  很感恩來到今天 五十年之後
[00:01:20.760 --> 00:01:24.440]  這一段經文仍然對我說話
[00:01:24.440 --> 00:01:31.640]  所以我希望今天大家都接受我二老埋老
[00:01:31.640 --> 00:01:35.200]  當你是提摩太
[00:01:35.200 --> 00:01:37.760]  其實當然不是這樣
[00:01:37.760 --> 00:01:44.800]  經過這麼多年我發覺自己仍然是很需要主的年輪
[00:01:44.800 --> 00:01:49.200]  所以不如說跟大家一起
[00:01:49.200 --> 00:01:53.000]  再好像提摩太一樣聽保羅
[00:01:53.000 --> 00:02:01.320]  將他一生侍奉的秘笈傾囊傳授
[00:02:01.320 --> 00:02:07.480]  當然今天能夠說的只是其中很少的部分
[00:02:07.480 --> 00:02:15.960]  濃縮為服侍的生命裡面的一點
[00:02:15.960 --> 00:02:22.360]  就是成為貴重器皿的秘訣
[00:02:22.360 --> 00:02:30.400]  讓我們都能夠成為貴重的器皿
[00:02:30.400 --> 00:02:37.040]  我想沒有人願意做一個卑賤的
[00:02:37.040 --> 00:02:40.720]  或者是甚至被唾棄
[00:02:40.720 --> 00:02:44.640]  風塵的 沒用的
[00:02:44.640 --> 00:02:52.080]  或者忠漢不忠用的一種器皿
[00:02:52.080 --> 00:02:57.360]  六月份也是很多神學院舉行畢業禮
[00:02:57.360 --> 00:03:02.520]  可能你都出席過或者網上看過
[00:03:02.520 --> 00:03:07.960]  我們都應該記掛著新進入工場的教務同工
[00:03:07.960 --> 00:03:11.120]  特別是青年的一輩
[00:03:11.120 --> 00:03:16.800]  在香港今時今日要投入這個目的侍奉
[00:03:16.800 --> 00:03:19.920]  實在是不容易的事
[00:03:19.920 --> 00:03:26.200]  不過無論如何任何人願意學習追隨耶穌基督
[00:03:26.200 --> 00:03:32.440]  聖經告訴我們這個選擇是一定不容易的
[00:03:32.440 --> 00:03:34.520]  你預料到了沒有
[00:03:34.520 --> 00:03:36.440]  你有沒有這樣想
[00:03:36.440 --> 00:03:40.400]  你願不願意說主啊
[00:03:40.400 --> 00:03:46.320]  我希望我今天聽見這個人若自竭
[00:03:46.320 --> 00:03:49.240]  脫離卑賤的事
[00:03:49.240 --> 00:03:51.840]  就必作貴重的器皿
[00:03:51.840 --> 00:03:53.720]  成為聖潔
[00:03:53.720 --> 00:03:55.520]  合乎主用
[00:03:55.520 --> 00:03:58.280]  預備行各樣的善事
[00:03:58.280 --> 00:04:02.920]  主啊 我願意
[00:04:02.920 --> 00:04:04.720]  講完這個訊息的時候
[00:04:04.720 --> 00:04:10.080]  我會給大家一個回應的時間
[00:04:10.080 --> 00:04:15.680]  首先我們看保羅到底向提摩太提醒他什麼
[00:04:15.680 --> 00:04:18.000]  不是很直接在我們這段經文裡面
[00:04:18.000 --> 00:04:20.920]  但是包圍著整個上下文
[00:04:20.920 --> 00:04:23.080]  其實保羅是在告訴他
[00:04:23.080 --> 00:04:27.160]  提摩太你要大眼識人
[00:04:27.160 --> 00:04:30.440]  他接著舉了很多的人名
