
[00:00:00.000 --> 00:00:09.040]  禱告是基督徒生命當中非常重要的一件事
[00:00:09.040 --> 00:00:11.840]  基督徒都應該不住禱告
[00:00:11.840 --> 00:00:13.280]  所以在聖經裏面
[00:00:13.280 --> 00:00:16.880]  也有很多教我們禱告的經文
[00:00:16.880 --> 00:00:20.360]  我記得我在兩年前
[00:00:20.360 --> 00:00:23.720]  跟大家講過《馬太福音》第六章
[00:00:23.720 --> 00:00:26.400]  主教我們如何禱告
[00:00:26.400 --> 00:00:28.920]  我記得我上一個系列
[00:00:28.920 --> 00:00:30.240]  講《箏言》的時候
[00:00:30.240 --> 00:00:33.480]  也有一個訊息叫做《禱告的智慧》
[00:00:33.480 --> 00:00:35.480]  也是教我們禱告
[00:00:35.480 --> 00:00:38.520]  今天又有一個關於禱告的訊息
[00:00:38.520 --> 00:00:40.360]  就是保羅的禱告
[00:00:40.360 --> 00:00:44.360]  我叫他做使能力擴張的禱告
[00:00:44.360 --> 00:00:47.080]  經文是記載在這裏
[00:00:47.080 --> 00:00:51.680]  已不鎖書的一章十五至二十三節
[00:00:51.680 --> 00:00:53.600]  經文一開始就說
[00:00:53.600 --> 00:00:59.480]  因此既聽見你們信從主耶穌親愛眾聖徒
[00:00:59.480 --> 00:01:01.600]  一開始就說因此
[00:01:01.600 --> 00:01:04.120]  講到因此我們就知道了
[00:01:04.120 --> 00:01:07.200]  是和前面的經文息息相關
[00:01:07.200 --> 00:01:09.880]  前面就是我上一次跟大家講
[00:01:09.880 --> 00:01:13.120]  已不鎖書的一章三至十四節
[00:01:13.120 --> 00:01:14.400]  保羅告訴我們
[00:01:14.400 --> 00:01:16.720]  我們基督徒是多有福分
[00:01:16.720 --> 00:01:18.240]  是多有福氣
[00:01:18.240 --> 00:01:19.760]  他告訴我們
[00:01:19.800 --> 00:01:21.680]  是宇宙的開始
[00:01:21.680 --> 00:01:23.680]  神已經揀選了我們
[00:01:23.680 --> 00:01:25.280]  他還收養我們
[00:01:25.280 --> 00:01:27.560]  領養我們成為他的兒女
[00:01:27.560 --> 00:01:29.040]  他接受我們
[00:01:29.040 --> 00:01:33.320]  還猜拳耶穌基督來救贖我們
[00:01:33.320 --> 00:01:34.840]  還不單止這樣
[00:01:34.840 --> 00:01:38.560]  他還猜拳聖靈放在我們每個人的身上
[00:01:38.560 --> 00:01:42.320]  以致我們能夠明白神的話語
[00:01:42.320 --> 00:01:44.320]  神的旨意
[00:01:44.320 --> 00:01:48.600]  他還將天上一切的基業賜給了我們
[00:01:48.600 --> 00:01:50.760]  還將聖靈放在我們的身上
[00:01:50.760 --> 00:01:52.160]  我們有聖靈的恩基
[00:01:52.160 --> 00:01:55.000]  有聖靈的憑據在我們的身上
[00:01:55.000 --> 00:01:57.000]  你說我們是多有福氣
[00:01:57.000 --> 00:01:58.600]  但是很可惜
[00:01:58.600 --> 00:02:00.600]  可能有很多的基督徒
[00:02:00.600 --> 00:02:03.480]  都不知道原來我們是多有福氣
[00:02:03.480 --> 00:02:06.200]  當我們不知道我們是多有福氣的時候
[00:02:06.200 --> 00:02:08.320]  我們就不能夠去經歷
[00:02:08.320 --> 00:02:10.680]  不能夠去享受這些福氣
[00:02:10.680 --> 00:02:13.160]  其實真的非常之可惜
[00:02:13.160 --> 00:02:17.400]  有一個人叫做William Randolph Hearst
[00:02:17.400 --> 00:02:20.520]  這個人是非常之有名
[00:02:20.520 --> 00:02:22.520]  他在新聞界是發達的
[00:02:22.520 --> 00:02:25.560]  他被譽為是新聞界的希伯拉
[00:02:25.560 --> 00:02:29.000]  他被譽為是黃色新聞的大王
[00:02:29.000 --> 00:02:31.000]  在南加州
[00:02:31.000 --> 00:02:33.480]  如果我們開車上去北加州
[00:02:33.480 --> 00:02:34.920]  去探望Lorry
[00:02:34.920 --> 00:02:36.280]  我們在這裡
[00:02:36.280 --> 00:02:38.280]  如果開101公路的時候
[00:02:38.280 --> 00:02:41.000]  就一定會經過有個Castle
[00:02:41.000 --> 00:02:42.200]  叫做什麼Castle
[00:02:42.200 --> 00:02:43.480]  Hearst Castle
[00:02:43.560 --> 00:02:47.640]  就是William Hearst其中一個產業
[00:02:47.640 --> 00:02:51.720]  你去到裡面會發覺有很多很多的藝術品
[00:02:51.720 --> 00:02:54.200]  這個William Hearst是收藏藝術品
