
[00:00:00.000 --> 00:00:04.000]  好 我們低頭再討稿
[00:00:04.000 --> 00:00:06.000]  主耶穌我們求祢幫助我們
[00:00:06.000 --> 00:00:10.000]  知道這個世界有很多誇張的言論
[00:00:10.000 --> 00:00:13.000]  很多很奇怪的行為
[00:00:13.000 --> 00:00:15.000]  幫助我們面對這個有罪的世界
[00:00:15.000 --> 00:00:17.000]  我們不要害怕
[00:00:17.000 --> 00:00:20.000]  因為祢的經文原本就告訴我們
[00:00:20.000 --> 00:00:22.000]  世界是這樣的
[00:00:22.000 --> 00:00:25.000]  讓我們相信祢的福音的大能
[00:00:25.000 --> 00:00:28.000]  勝過一切誇張的道理
[00:00:28.000 --> 00:00:31.000]  讓我們真的能夠放膽忠心的
[00:00:31.000 --> 00:00:33.000]  作祢福音的使者
[00:00:33.000 --> 00:00:35.000]  將今天一段聽到的時間
[00:00:35.000 --> 00:00:37.000]  交託土庫奉耶穌基督
[00:00:37.000 --> 00:00:42.000]  好 我們就回到十八節
[00:00:42.000 --> 00:00:46.000]  十八節的主題就是神的憤怒
[00:00:46.000 --> 00:00:48.000]  首先要解釋一下
[00:00:48.000 --> 00:00:50.000]  為什麼會說神的憤怒
[00:00:50.000 --> 00:00:52.000]  因為十六節那裡
[00:00:52.000 --> 00:00:56.000]  我們上次的結尾就說到
[00:00:56.000 --> 00:00:58.000]  一章十六節
[00:00:58.000 --> 00:01:04.000]  就是說神的義已經在這福音上顯明出來
[00:01:04.000 --> 00:01:07.000]  這福音要叫一切相信的人
[00:01:07.000 --> 00:01:09.000]  先是猶太人後是希利人
[00:01:09.000 --> 00:01:11.000]  說到羅馬書
[00:01:11.000 --> 00:01:13.000]  是因為本來要介紹自己
[00:01:13.000 --> 00:01:16.000]  所以是最完備的講福音的一本書
[00:01:16.000 --> 00:01:18.000]  所以就說羅馬書
[00:01:18.000 --> 00:01:21.000]  基本上就要解釋整個福音
[00:01:21.000 --> 00:01:23.000]  就算我們不知道福音是什麼
[00:01:23.000 --> 00:01:26.000]  只聽名字的福音
[00:01:26.000 --> 00:01:28.000]  應該是好的東西
[00:01:28.000 --> 00:01:30.000]  祝福的東西
[00:01:30.000 --> 00:01:32.000]  為什麼從十六節說神的福音
[00:01:32.000 --> 00:01:37.000]  忽然間一跳就跳到說神的憤怒呢
[00:01:37.000 --> 00:01:40.000]  憤怒我們聽上去好像是不好的東西
[00:01:40.000 --> 00:01:42.000]  就是有人生氣了
[00:01:42.000 --> 00:01:44.000]  老闆很生氣你
[00:01:44.000 --> 00:01:46.000]  你不會覺得這是福音
[00:01:46.000 --> 00:01:49.000]  為什麼說完福音就要說憤怒呢
[00:01:49.000 --> 00:01:52.000]  當然也和福音的本質有關
[00:01:52.000 --> 00:01:57.000]  其實神的憤怒和福音不是兩種相反的東西
[00:01:57.000 --> 00:01:59.000]  要接受神的福音
[00:01:59.000 --> 00:02:02.000]  首先要明白我們的光景
[00:02:02.000 --> 00:02:06.000]  然後才明白福是什麼福
[00:02:06.000 --> 00:02:11.000]  就好像對於我的女兒來港
[00:02:11.000 --> 00:02:14.000]  三女我叫她去補習班
[00:02:14.000 --> 00:02:17.000]  她的中文和通識一般
[00:02:17.000 --> 00:02:19.000]  叫她去補習班
[00:02:19.000 --> 00:02:23.000]  她不會覺得去補習班是福音
[00:02:23.000 --> 00:02:25.000]  她覺得這是禍音
[00:02:25.000 --> 00:02:28.000]  爸爸媽媽又逼她去補習班
[00:02:28.000 --> 00:02:31.000]  當然我也很嘗試和她解釋
[00:02:31.000 --> 00:02:33.000]  你這些東西讀得不好
[00:02:33.000 --> 00:02:35.000]  如果你不是讀到肥佬的話
[00:02:35.000 --> 00:02:37.000]  就不用去補習班了
[00:02:37.000 --> 00:02:39.000]  如果你拿A就補什麼
[00:02:39.000 --> 00:02:41.000]  不如你玩玩吧
[00:02:41.000 --> 00:02:43.000]  如果你讀得好沒問題
[00:02:43.000 --> 00:02:45.000]  但你讀得不好的話
[00:02:45.000 --> 00:02:47.000]  將來的路難走很多
[00:02:47.000 --> 00:02:51.000]  當然這個世界怎樣也有神的祝福
[00:02:51.000 --> 00:02:53.000]  怎樣你會考零分
[00:02:53.000 --> 00:02:55.000]  你也有路可以走的
[00:02:55.000 --> 00:02:56.000]  神的看顧
[00:02:56.000 --> 00:02:58.000]  不過有些路就難走一些
[00:02:58.000 --> 00:03:00.000]  有些路就容易走一些
