
[00:00:00.000 --> 00:00:07.440]  Alice 說到我退休服事主好像很神秘
[00:00:07.440 --> 00:00:09.880]  其實我沒有很神秘的
[00:00:09.880 --> 00:00:12.280]  每件事都公開的
[00:00:12.280 --> 00:00:16.120]  上帝40歲開始呼召我
[00:00:16.120 --> 00:00:19.200]  我用了四年多的時間
[00:00:19.200 --> 00:00:22.680]  才決定離開商業社會
[00:00:22.680 --> 00:00:24.840]  我離開商業社會的時候
[00:00:24.840 --> 00:00:29.880]  我是一間銀行的總裁和董事會主席
[00:00:29.880 --> 00:00:33.160]  非常美好的事業
[00:00:33.160 --> 00:00:36.400]  但是上帝挑戰我說
[00:00:36.400 --> 00:00:40.400]  你的下半生是不是就這樣過呢?
[00:00:40.400 --> 00:00:43.840]  我用了幾年的時間來計劃
[00:00:43.840 --> 00:00:46.440]  最後還是要出來
[00:00:46.440 --> 00:00:48.920]  我45歲離開商業社會
[00:00:48.920 --> 00:00:53.000]  神帶領我走的是不壽身的
[00:00:53.000 --> 00:00:57.920]  我過去服事的這二十多年
[00:00:57.920 --> 00:01:00.480]  是沒有拿過一張收入証的
[00:01:00.480 --> 00:01:01.760]  是義務的
[00:01:01.760 --> 00:01:03.760]  那個給我很大的挑戰
[00:01:03.760 --> 00:01:05.920]  那個就是我們考慮了四年多
[00:01:05.920 --> 00:01:07.120]  接近五年
[00:01:07.120 --> 00:01:09.520]  因為我有兩個兒子
[00:01:09.520 --> 00:01:12.160]  當時一個讀中學一個讀小學
[00:01:12.160 --> 00:01:15.920]  我不是很明白神為什麼要我不壽身
[00:01:15.920 --> 00:01:17.360]  現在就明白了
[00:01:17.360 --> 00:01:21.200]  我不明白神為什麼要我離開商業社會
[00:01:21.200 --> 00:01:22.560]  現在我就明白了
[00:01:22.560 --> 00:01:25.840]  我是45歲退休
[00:01:25.840 --> 00:01:27.600]  現在服事了主
[00:01:27.600 --> 00:01:28.880]  25年
[00:01:28.880 --> 00:01:31.680]  大家加起來就知道
[00:01:31.680 --> 00:01:33.360]  我今年是70歲
[00:01:33.360 --> 00:01:36.960]  其實是去年10月開始70歲
[00:01:36.960 --> 00:01:38.480]  但是我可以告訴你
[00:01:38.480 --> 00:01:40.400]  我可以游水
[00:01:40.400 --> 00:01:43.760]  可以一口氣游五十多個塘
[00:01:43.760 --> 00:01:45.520]  我剛才說你們在這裡吃東西
[00:01:45.520 --> 00:01:47.600]  我出去走了幾米
[00:01:47.600 --> 00:01:51.920]  所以覺得無論我的腦筋
[00:01:51.920 --> 00:01:53.440]  無論體力
[00:01:53.440 --> 00:01:57.440]  都好像回到以前年輕二三十歲的時候
[00:01:57.440 --> 00:02:01.280]  一會兒在我講的時候
[00:02:01.280 --> 00:02:03.840]  也會稍微提一提
[00:02:03.840 --> 00:02:07.680]  為什麼可以這樣
[00:02:07.680 --> 00:02:10.240]  今天叫做無所不談
[00:02:10.240 --> 00:02:12.160]  但是所謂無所不談
[00:02:12.160 --> 00:02:15.360]  我只能夠說我認識的四樣東西
[00:02:15.360 --> 00:02:23.040]  神父召我用財務來接觸人
[00:02:23.040 --> 00:02:25.360]  所以我就認識一些財務
[00:02:25.360 --> 00:02:27.920]  因為經常要回答別人的問題
[00:02:27.920 --> 00:02:31.760]  我曾經每個星期有六七個電台的節目
[00:02:31.760 --> 00:02:33.040]  但是兩三年前
[00:02:33.040 --> 00:02:37.920]  我就改為每一個星期做一個電視節目
[00:02:37.920 --> 00:02:40.720]  可能有些人你們都上去看過
[00:02:40.720 --> 00:02:43.040]  就是26台KTF SF
[00:02:43.040 --> 00:02:44.800]  明晚八點鐘
[00:02:44.800 --> 00:02:46.640]  那個現場直播的節目
[00:02:46.640 --> 00:02:48.400]  我現在只是做一個
[00:02:48.400 --> 00:02:52.000]  不再花時間去做電台節目了
[00:02:52.000 --> 00:02:55.840]  但是我每天都回答大概100個電子郵件
[00:02:55.840 --> 00:02:57.040]  我剛才坐在這裡
[00:02:57.040 --> 00:03:00.400]  也有姐妹上來問我一些財務上的事情
[00:03:00.400 --> 00:03:03.600]  我過去這25年
[00:03:03.600 --> 00:03:05.440]  一直回答別人的問題
[00:03:05.440 --> 00:03:10.400]  希望在個人理財上幫助別人
[00:03:10.400 --> 00:03:14.000]  但我也接觸到很多未信的人
[00:03:14.000 --> 00:03:16.000]  希望在他最有需要的時候
[00:03:16.000 --> 00:03:18.560]  能夠在他旁邊幫助他
[00:03:18.560 --> 00:03:19.840]  我說最有需要
[00:03:19.840 --> 00:03:23.440]  有些已經走到生命的盡頭
[00:03:23.440 --> 00:03:27.200]  我會幫他做好他的信託
[00:03:27.200 --> 00:03:29.120]  我只幫兩類人做信託
[00:03:29.120 --> 00:03:32.000]  一類是目者
[00:03:32.000 --> 00:03:34.240]  不想他花錢去找律師做
