
[00:00:00.000 --> 00:00:03.880]  星期天是不可以這樣說的 這次是解釋聖經
[00:00:03.880 --> 00:00:09.200]  星期天說到 我不需要說服你的了
[00:00:09.200 --> 00:00:13.060]  星期天說到 這個是我盼望我能夠做到的
[00:00:13.060 --> 00:00:15.420]  所以今天說完15章
[00:00:15.420 --> 00:00:19.340]  我希望留一點時間給你們問問題
[00:00:19.340 --> 00:00:22.380]  在我吃飯之前 等人和你們談了很多
[00:00:22.380 --> 00:00:24.160]  我發覺原來我說得很不清楚
[00:00:24.160 --> 00:00:26.840]  所以有些人問問題幫我給個機會
[00:00:26.840 --> 00:00:32.000]  我再重新說多一次 澄清一下我混亂了的事情
[00:00:32.000 --> 00:00:37.120]  這次我們先從第19頁的14章那裡說
[00:00:37.120 --> 00:00:41.100]  我們說完12、13、14來到這裡
[00:00:41.100 --> 00:00:44.100]  你應該有一點點的印象
[00:00:44.100 --> 00:00:49.280]  就是保羅說處理的屬靈 因此這件事情上
[00:00:49.280 --> 00:00:54.160]  很大程度是和港方言
[00:00:54.160 --> 00:00:58.120]  和先知說到用嘴巴有關係的 是不是?
[00:00:58.120 --> 00:01:02.640]  很大程度 而且他們產生的問題
[00:01:02.640 --> 00:01:06.720]  就是因為他們不肯為對方 不肯用愛
[00:01:06.720 --> 00:01:09.660]  去運用他的恩賜 不肯為對方
[00:01:09.660 --> 00:01:13.440]  個個愛做一個 個個以為自己厲害
[00:01:13.440 --> 00:01:17.040]  特別是講方言的 他說我講靈的說話
[00:01:17.040 --> 00:01:20.640]  和先知的說話 什麼時候需要讓路呢?
[00:01:20.640 --> 00:01:23.160]  所以保羅就一直這樣說 來到14章
[00:01:23.160 --> 00:01:24.720]  我們剛剛才聽完的
[00:01:24.720 --> 00:01:27.520]  就是他說港方言都OK
[00:01:27.520 --> 00:01:30.860]  你自己說的絕對OK
[00:01:30.860 --> 00:01:35.740]  你在教會崇拜裡面說 沒有人和你翻譯
[00:01:35.740 --> 00:01:39.140]  一個是你自己去翻譯 或者找人和你翻譯
[00:01:39.140 --> 00:01:43.200]  那就好說 如果不是就最好不要說了
[00:01:43.200 --> 00:01:45.640]  總括去到這裡的一個小結
[00:01:45.640 --> 00:01:48.680]  保羅沒有禁止別人講方言
[00:01:48.680 --> 00:01:51.560]  絕對沒有禁止他私人和神用
[00:01:51.560 --> 00:01:56.000]  就是嘰哩咕咕的說話溝通 是不是?
