
[00:00:00.000 --> 00:00:05.120]  各位電視姐妹主禮平安
[00:00:05.120 --> 00:00:08.640]  我今日帶了一個PowerPoint來
[00:00:08.640 --> 00:00:11.600]  所以... 啊! 行了! 感謝主
[00:00:11.600 --> 00:00:17.120]  詩篇32篇
[00:00:17.120 --> 00:00:28.560]  是教會歷史上七首悔罪詩的當中一首
[00:00:28.560 --> 00:00:31.280]  我們不熟悉這些傳統
[00:00:31.280 --> 00:00:37.280]  認識御府祈、大齋祈已經不錯了
[00:00:37.280 --> 00:00:42.400]  七首懺悔詩我們比較熟悉的是
[00:00:42.400 --> 00:00:47.680]  譬如51篇大衛犯罪之後
[00:00:47.680 --> 00:00:52.160]  他向神認罪悔改
[00:00:52.160 --> 00:00:58.000]  所以在御府祈的主日崇拜
[00:00:58.000 --> 00:01:02.800]  一定會讀這幾篇詩篇
[00:01:02.800 --> 00:01:10.160]  幫助我們明白什麼是悔改
[00:01:10.160 --> 00:01:16.240]  32篇一共只有11節
[00:01:16.240 --> 00:01:19.200]  剛才已經讀了兩次
[00:01:19.200 --> 00:01:22.560]  不過我只記得第一節
[00:01:22.560 --> 00:01:27.040]  我們很少背這一篇詩篇
[00:01:27.040 --> 00:01:31.840]  其實32篇這篇詩篇很整齊
[00:01:31.840 --> 00:01:33.840]  很對稱
[00:01:33.840 --> 00:01:35.840]  簡單來說
[00:01:35.840 --> 00:01:40.000]  它有13句單數
[00:01:40.000 --> 00:01:44.640]  中間那一句可以說是一個焦點
[00:01:44.640 --> 00:01:47.200]  前面六句上半首
[00:01:47.200 --> 00:01:51.520]  下面六句又是下半首
[00:01:51.520 --> 00:01:53.920]  這樣的結構
[00:01:53.920 --> 00:01:59.680]  可惜在傳統的分章、分節上
[00:01:59.680 --> 00:02:02.560]  有點混亂了
[00:02:02.560 --> 00:02:06.320]  所以我嘗試再翻譯出來
[00:02:06.320 --> 00:02:09.840]  一方面可以讓弟兄姊妹容易掌握
[00:02:09.840 --> 00:02:14.720]  這篇詩篇作者如何分段
[00:02:14.720 --> 00:02:17.600]  每一段有一個重點
[00:02:17.600 --> 00:02:23.360]  其次有一些關鍵字眼
[00:02:23.360 --> 00:02:27.840]  中文和合本100年前都沒有翻譯出來
[00:02:27.840 --> 00:02:29.840]  不怪他
[00:02:29.840 --> 00:02:32.640]  因為當時和合本很艱難
[00:02:32.640 --> 00:02:40.480]  是西方的傳教士和中國的秀才合作
[00:02:40.480 --> 00:02:43.520]  有人懂英文有人懂中文
[00:02:43.520 --> 00:02:45.520]  這樣翻譯出來
[00:02:45.520 --> 00:02:50.800]  這翻譯聖經能夠完成並且通行
[00:02:50.800 --> 00:02:54.480]  到今天在華人教會成為了
[00:02:54.480 --> 00:02:56.480]  我們的音定本
[00:02:56.480 --> 00:02:59.760]  King James Version權威版本
[00:02:59.760 --> 00:03:01.360]  真是神的恩典
[00:03:01.360 --> 00:03:07.600]  我們嘗試重新小心聆聽
[00:03:07.600 --> 00:03:12.720]  這篇詩篇到底說什麼呢?
[00:03:12.720 --> 00:03:15.440]  一開始你還記得
[00:03:15.440 --> 00:03:18.320]  得赦免其過,遮蓋其罪的
[00:03:18.320 --> 00:03:20.320]  這人是有福的
[00:03:20.320 --> 00:03:22.640]  記不記得詩篇上一次說
[00:03:22.640 --> 00:03:25.360]  這人變為有福在哪裡
[00:03:25.360 --> 00:03:27.360]  第一篇
[00:03:27.360 --> 00:03:33.200]  所以由第一篇要等到32篇
[00:03:33.200 --> 00:03:36.000]  中間隔了31篇
[00:03:36.000 --> 00:03:39.840]  這樣的距離之後
[00:03:39.840 --> 00:03:46.160]  經文再一次和我們說有福
[00:03:46.160 --> 00:03:51.920]  這個主題前後呼應
[00:03:51.920 --> 00:03:57.840]  就算不記得第一篇
[00:03:57.840 --> 00:03:59.840]  你也會記得第一節
[00:03:59.840 --> 00:04:01.040]  閉上眼一起背
[00:04:01.040 --> 00:04:03.040]  不從惡人的計謀
[00:04:03.040 --> 00:04:05.040]  不站罪人的道路
[00:04:05.040 --> 00:04:07.040]  不助竊萬人的作為
[00:04:07.040 --> 00:04:09.840]  為喜愛耶和華的律法
[00:04:09.840 --> 00:04:11.840]  就有意的思想
[00:04:11.840 --> 00:04:14.640]  這人變為有福
[00:04:14.640 --> 00:04:17.840]  厲害啊!我沒有列到後面第二節
[00:04:17.840 --> 00:04:19.840]  你也背得到
[00:04:19.840 --> 00:04:23.680]  不愧是聚會中心的弟兄姊妹
[00:04:23.680 --> 00:04:25.680]  當然有福啦
[00:04:25.680 --> 00:04:29.680]  你心裏面馬上就會接下去
[00:04:29.680 --> 00:04:32.480]  遠離惡人惡事
[00:04:32.480 --> 00:04:36.000]  不同的罪人同流合污
[00:04:36.000 --> 00:04:38.800]  潔身自愛不但止
[00:04:38.800 --> 00:04:43.680]  喜愛神的話還懂得什麼?
[00:04:43.680 --> 00:04:47.520]  晝夜思想一定有福
[00:04:47.520 --> 00:04:52.480]  我們從來都不會有任何疑問
[00:04:52.480 --> 00:04:55.200]  不過我們接著那句
[00:04:55.200 --> 00:04:57.200]  你會不會說下去
[00:04:57.200 --> 00:05:01.200]  我不是這樣的人
[00:05:01.200 --> 00:05:04.960]  太高超了
[00:05:04.960 --> 00:05:07.520]  太完美了
[00:05:07.520 --> 00:05:09.520]  這是我的目標
[00:05:09.520 --> 00:05:12.800]  但是今天我不是這樣的人
[00:05:12.800 --> 00:05:17.600]  我們有時候讀完第一篇
[00:05:17.600 --> 00:05:21.360]  我們看到聖經宣佈
[00:05:21.360 --> 00:05:23.760]  這樣的人有福
[00:05:23.760 --> 00:05:27.360]  我們會覺得自卑
[00:05:27.360 --> 00:05:30.400]  我們會覺得不關我事
[00:05:30.400 --> 00:05:34.800]  在講台上當然是講到天花龍鳳
[00:05:34.800 --> 00:05:37.440]  現實生活當中
[00:05:37.440 --> 00:05:41.040]  我不是這樣的人
[00:05:41.040 --> 00:05:42.560]  感謝神
[00:05:42.560 --> 00:05:46.400]  祂聽見你的呼求
[00:05:46.400 --> 00:05:49.360]  所以第一篇講完之後
[00:05:49.360 --> 00:05:52.400]  三十二篇講什麼?
[00:05:52.400 --> 00:05:54.640]  我試試翻譯給你聽
[00:05:54.640 --> 00:05:56.960]  多麼有福!
[00:05:56.960 --> 00:06:00.000]  搏逆得蒙除掉
[00:06:00.000 --> 00:06:03.360]  過犯得蒙遮蓋
[00:06:03.360 --> 00:06:06.160]  多麼有福的人
[00:06:06.160 --> 00:06:11.360]  上主不向他追討罪孽
