
[00:00:00.000 --> 00:00:07.000]  好,我們先聽神的導演,我們重新討論
[00:00:07.000 --> 00:00:10.000]  好,請你準備,我們先聽神道,再重新討論
[00:00:10.000 --> 00:00:15.000]  慈悲父神多謝你,給我們再次打開你的說話
[00:00:15.000 --> 00:00:19.000]  去明白如何去侍奉你
[00:00:19.000 --> 00:00:23.000]  當我們打開你的說話的時候
[00:00:23.000 --> 00:00:32.000]  看到一幅圖畫,實在是與今天教會非常類似
[00:00:32.000 --> 00:00:37.000]  類似的地方是不是教會做得好
[00:00:37.000 --> 00:00:43.000]  而是教會裡面充滿許多虛假的事情
[00:00:43.000 --> 00:00:46.000]  接著我求你幫助
[00:00:46.000 --> 00:00:55.000]  讓我們藉著這段經文,再次學會如何拿起這些挑戰
[00:00:55.000 --> 00:01:01.000]  面對一個這麼扭曲的教會觀
[00:01:01.000 --> 00:01:07.000]  讓我們能夠好好面對,面對這一切的挑戰
[00:01:07.000 --> 00:01:09.000]  求你的幫助
[00:01:09.000 --> 00:01:13.000]  請你先聽神的導演,讓我們再次打開你的說話
[00:01:13.000 --> 00:01:19.000]  讓我們看到聖經裡面,我們所面對的真相是怎麼樣
[00:01:19.000 --> 00:01:26.000]  裡面所提到的教會,與今天的教會非常相似
[00:01:26.000 --> 00:01:32.000]  因為在當中,它會埋藏很多虛假的事
[00:01:32.000 --> 00:01:36.000]  使我們在當中面對更多的挑戰
[00:01:36.000 --> 00:01:47.000]  我們勇敢地面對這些假象,使我們能夠不離不棄的跟隨主義
[00:01:47.000 --> 00:01:52.000]  面前充滿好挑戰的一個師父原則
[00:01:52.000 --> 00:01:54.000]  大家好,恭祝耶穌的名著
[00:01:54.000 --> 00:01:56.000]  阿門
[00:01:56.000 --> 00:02:02.000]  師父神其實只有一個目的
[00:02:02.000 --> 00:02:08.000]  不過很可惜,今天的教會將師父神變成很多種不同的目的
[00:02:08.000 --> 00:02:12.000]  很可惜,今天的教會將師父神變成很多不同的目的
[00:02:12.000 --> 00:02:19.000]  根據在耶穌基督在師父神最初第一個的信息
[00:02:19.000 --> 00:02:23.000]  就根據耶穌基督師父神的第一個信息
[00:02:23.000 --> 00:02:26.000]  在《馬太福音》第四章裡面
[00:02:26.000 --> 00:02:28.000]  在《馬太福音》第四章裡面
[00:02:28.000 --> 00:02:33.000]  耶穌說:你們應當悔改
[00:02:33.000 --> 00:02:34.000]  你們應當悔改
[00:02:34.000 --> 00:02:36.000]  因為天國已經來了
[00:02:36.000 --> 00:02:38.000]  因為天國已經來了
[00:02:38.000 --> 00:02:43.000]  Repent! The kingdom of God is coming
[00:02:43.000 --> 00:02:49.000]  很多時候我們對這個信息很不懂得去掌握
[00:02:49.000 --> 00:02:52.000]  有很多時候我們對這個信息不知道怎麼去掌握
[00:02:52.000 --> 00:02:54.000]  結果就變成怎樣呢?
[00:02:54.000 --> 00:02:55.000]  結果變成怎樣呢?
[00:02:55.000 --> 00:02:57.000]  結果我們在教會裡面
[00:02:57.000 --> 00:02:58.000]  結果我們在教會裡面
[00:02:58.000 --> 00:03:01.000]  就形成了很多別樣的福音走出來
[00:03:01.000 --> 00:03:03.000]  就形成了很多別樣的福音走出來
[00:03:03.000 --> 00:03:04.000]  因為叫人悔改
[00:03:04.000 --> 00:03:05.000]  因為叫人悔改
[00:03:05.000 --> 00:03:07.000]  不是一件容易的事
[00:03:07.000 --> 00:03:08.000]  不是一件容易的事
[00:03:08.000 --> 00:03:10.000]  如果叫人去將自己的本性
[00:03:10.000 --> 00:03:12.000]  如果叫人的本性
[00:03:12.000 --> 00:03:14.000]  習慣扭轉過來的話
[00:03:14.000 --> 00:03:18.000]  習慣入席扭轉過來的話
[00:03:18.000 --> 00:03:20.000]  是非常困難的事
[00:03:20.000 --> 00:03:21.000]  是非常困難的事
[00:03:21.000 --> 00:03:26.000]  我記得以前當我去讀這個所謂性格研究的時候
[00:03:26.000 --> 00:03:28.000]  我記得以前當我去讀這個所謂性格研究的時候
[00:03:28.000 --> 00:03:32.000]  當我以前去讀性格認識的時候
[00:03:32.000 --> 00:03:35.000]  當時的教授講得很清楚
[00:03:35.000 --> 00:03:37.000]  當時的教授講得非常清楚
[00:03:37.000 --> 00:03:38.000]  當時的教授講得非常清楚
[00:03:38.000 --> 00:03:40.000]  其實這些所謂性格的研究
[00:03:40.000 --> 00:03:43.000]  只能夠分析出你是屬於什麼性格
[00:03:43.000 --> 00:03:47.000]  這個研究者能分析出你屬於什麼樣的性格
[00:03:47.000 --> 00:03:49.000]  你最多只能在行為上
[00:03:49.000 --> 00:03:52.000]  某程度上作出一些調教
[00:03:52.000 --> 00:03:56.000]  你最多只能在行為上作出一些調教
[00:03:56.000 --> 00:03:59.000]  但是實際上你自己的性格是不會改變的
[00:03:59.000 --> 00:04:01.000]  因為你的性格實際上不會改變
