
[00:00:00.000 --> 00:00:02.000]  靜止會平安
[00:00:02.000 --> 00:00:04.000]  多謝師伯們
[00:00:04.000 --> 00:00:06.000]  至愛激勵我們
[00:00:06.000 --> 00:00:08.000]  在聽的時候
[00:00:08.000 --> 00:00:10.000]  看著上面我們的十字架
[00:00:10.000 --> 00:00:12.000]  一個觀眠
[00:00:12.000 --> 00:00:14.000]  如果我們的主在掌權的話
[00:00:14.000 --> 00:00:16.000]  我們不會再懼怕
[00:00:16.000 --> 00:00:18.000]  今天我們一起思想
[00:00:18.000 --> 00:00:20.000]  剛才我們所讀的那段聖經
[00:00:20.000 --> 00:00:22.000]  我們在崇拜裡面看哥倫多前書的第九章
[00:00:22.000 --> 00:00:24.000]  請大家都打開聖經
[00:00:24.000 --> 00:00:26.000]  哥倫多前書的第九章
[00:00:26.000 --> 00:00:28.000]  如果是唐用聖經
[00:00:28.000 --> 00:00:30.000]  我們可以看到聖經裡面的1717頁
[00:00:30.000 --> 00:00:32.000]  1717頁
[00:00:32.000 --> 00:00:34.000]  我們剛才讀的第十二節
[00:00:34.000 --> 00:00:36.000]  開始讀到最後
[00:00:36.000 --> 00:00:38.000]  但是今天我想
[00:00:38.000 --> 00:00:40.000]  我想跟大家看整個哥倫多前書的第九章
[00:00:40.000 --> 00:00:42.000]  哥倫多前書第九章
[00:00:42.000 --> 00:00:44.000]  我們可以這樣形容
[00:00:44.000 --> 00:00:46.000]  保羅寫哥倫多前書第九章的時候
[00:00:46.000 --> 00:00:48.000]  是很激的
[00:00:48.000 --> 00:00:50.000]  有人數過
[00:00:50.000 --> 00:00:52.000]  他用了十八個問號
[00:00:52.000 --> 00:00:54.000]  來表達他自己那種
[00:00:54.000 --> 00:00:56.000]  心情的激盪
[00:00:56.000 --> 00:00:58.000]  的狂歡
[00:00:58.000 --> 00:01:00.000]  因為他要去
[00:01:00.000 --> 00:01:02.000]  分辨一個很重要的立場
[00:01:02.000 --> 00:01:04.000]  和做法
[00:01:04.000 --> 00:01:06.000]  我等一下再說什麼做法
[00:01:06.000 --> 00:01:08.000]  另外一樣東西我想留意
[00:01:08.000 --> 00:01:10.000]  跟大家一起思想的
[00:01:10.000 --> 00:01:12.000]  哥倫多前書是保羅在2000年前寫的
[00:01:12.000 --> 00:01:14.000]  但是
[00:01:14.000 --> 00:01:16.000]  其實他很in的
[00:01:16.000 --> 00:01:18.000]  不單是很激的
[00:01:18.000 --> 00:01:20.000]  很現代的
[00:01:20.000 --> 00:01:22.000]  那又怎麼現代
[00:01:22.000 --> 00:01:24.000]  如果你看21世紀
[00:01:24.000 --> 00:01:26.000]  如果我們選一些
[00:01:26.000 --> 00:01:28.000]  經常常用的
[00:01:28.000 --> 00:01:30.000]  關鍵字的時候
[00:01:30.000 --> 00:01:32.000]  你看報紙
[00:01:32.000 --> 00:01:34.000]  你聽計
[00:01:34.000 --> 00:01:36.000]  你可以在很多的場合裡面
[00:01:36.000 --> 00:01:38.000]  甚至在報告新聞
[00:01:38.000 --> 00:01:40.000]  時常聽見的是有兩個字眼
[00:01:40.000 --> 00:01:42.000]  一個就是自由
[00:01:42.000 --> 00:01:44.000]  大家說自由
[00:01:44.000 --> 00:01:46.000]  第二個
[00:01:46.000 --> 00:01:48.000]  是權利
[00:01:48.000 --> 00:01:50.000]  有沒有留意
[00:01:50.000 --> 00:01:52.000]  這張聖經裡面
[00:01:52.000 --> 00:01:54.000]  這張聖經裡面就是講的這兩樣東西
[00:01:54.000 --> 00:01:56.000]  你說是不是很現代
[00:01:56.000 --> 00:01:58.000]  自由權利
[00:01:58.000 --> 00:02:00.000]  18節19節可以說是整個第九章
[00:02:00.000 --> 00:02:02.000]  裡面的核心
[00:02:02.000 --> 00:02:04.000]  第18節說我的上次
[00:02:04.000 --> 00:02:06.000]  是什麼呢我傳福音的時候
[00:02:06.000 --> 00:02:08.000]  叫人免費得著福音這樣我就
[00:02:08.000 --> 00:02:10.000]  沒有用過傳福音可以
[00:02:10.000 --> 00:02:12.000]  享有的權利
[00:02:12.000 --> 00:02:14.000]  是吧
[00:02:14.000 --> 00:02:16.000]  很現代的說話其實權利這個字
[00:02:16.000 --> 00:02:18.000]  在第九章裡面不斷地出現的
[00:02:18.000 --> 00:02:20.000]  由第一節開始就一直
[00:02:20.000 --> 00:02:22.000]  下去到最後都說到權利
[00:02:22.000 --> 00:02:24.000]  還有19節
[00:02:24.000 --> 00:02:26.000]  我雖然
[00:02:26.000 --> 00:02:28.000]  自由
[00:02:28.000 --> 00:02:30.000]  兩節裡面就說了我們21世紀
[00:02:30.000 --> 00:02:32.000]  現在我們最流行的
[00:02:32.000 --> 00:02:34.000]  兩個字眼自由
[00:02:34.000 --> 00:02:36.000]  和權利
[00:02:36.000 --> 00:02:38.000]  我們說第三個
[00:02:38.000 --> 00:02:40.000]  當然是21世紀
[00:02:40.000 --> 00:02:42.000]  常用的關鍵字
[00:02:42.000 --> 00:02:44.000]  就是利潤
[00:02:44.000 --> 00:02:46.000]  拿到盡的利潤
[00:02:46.000 --> 00:02:48.000]  這個其實如果你研究好學術
[00:02:48.000 --> 00:02:50.000]  你就知道這個就是資本主義的精神
[00:02:50.000 --> 00:02:52.000]  自由權利
[00:02:52.000 --> 00:02:54.000]  盡量拿到盡的利潤
[00:02:54.000 --> 00:02:56.000]  這個就是資本主義
[00:02:56.000 --> 00:02:58.000]  也是我們現代世界裡面每日生活裡面
[00:02:58.000 --> 00:03:00.000]  周圍的人
[00:03:00.000 --> 00:03:02.000]  所公認的立場
[00:03:02.000 --> 00:03:04.000]  和應該有的態度
[00:03:04.000 --> 00:03:06.000]  不過我想今天再說的
[00:03:06.000 --> 00:03:08.000]  你看完這件聖經保羅
[00:03:08.000 --> 00:03:10.000]  不是停在21世紀還厲害
[00:03:10.000 --> 00:03:12.000]  如果用一些比較
