
[00:00:00.000 --> 00:00:07.000]  提摩太后書我們進入第四講
[00:00:07.000 --> 00:00:10.000]  提摩太后書的第三章
[00:00:10.000 --> 00:00:12.000]  我們給了一個題目
[00:00:12.000 --> 00:00:16.000]  叫做失控世界當中的逆流清泉
[00:00:16.000 --> 00:00:18.000]  我們剛才看聖經的時候
[00:00:18.000 --> 00:00:20.000]  你已經看到了
[00:00:20.000 --> 00:00:21.000]  在聖經裡面
[00:00:21.000 --> 00:00:23.000]  由第一節一直到第十節
[00:00:23.000 --> 00:00:25.000]  第九節是描述到
[00:00:25.000 --> 00:00:27.000]  關於末世的日子
[00:00:27.000 --> 00:00:29.000]  第一節所講的
[00:00:29.000 --> 00:00:33.000]  在末世必有危險的日子來到
[00:00:33.000 --> 00:00:36.000]  新義本可能更加直接
[00:00:36.000 --> 00:00:38.000]  他說在末後的日子
[00:00:38.000 --> 00:00:42.000]  必定會有這些艱難的時期
[00:00:42.000 --> 00:00:44.000]  末後的日子就是指著
[00:00:44.000 --> 00:00:48.000]  耶穌基督再回來之前那段日子
[00:00:48.000 --> 00:00:50.000]  當然保羅寫這段聖經的時候
[00:00:50.000 --> 00:00:52.000]  已經是公元前
[00:00:52.000 --> 00:00:54.000]  公元的第一年
[00:00:54.000 --> 00:00:57.000]  也是二千年前的時間
[00:00:57.000 --> 00:00:59.000]  經過了二千年
[00:00:59.000 --> 00:01:00.000]  究竟有什麼改變呢
[00:01:00.000 --> 00:01:02.000]  今天我們看回這段聖經
[00:01:02.000 --> 00:01:04.000]  我們發覺在這二千年裡面
[00:01:04.000 --> 00:01:06.000]  人類並沒有進步
[00:01:06.000 --> 00:01:11.000]  當日保羅所面對的亂七八糟的時間
[00:01:11.000 --> 00:01:13.000]  也是今天你和我
[00:01:13.000 --> 00:01:14.000]  每天在報紙
[00:01:14.000 --> 00:01:15.000]  在電台
[00:01:15.000 --> 00:01:16.000]  在電視
[00:01:16.000 --> 00:01:18.000]  新聞裡面所見到的
[00:01:18.000 --> 00:01:20.000]  第二節到第九節
[00:01:20.000 --> 00:01:22.000]  描述到這些情況
[00:01:22.000 --> 00:01:24.000]  很仔細的一樣一樣的列出來
[00:01:24.000 --> 00:01:26.000]  當然今天早上我們的時間限制
[00:01:26.000 --> 00:01:28.000]  沒有辦法每一個情況
[00:01:28.000 --> 00:01:30.000]  我們都加以慢慢的解釋
[00:01:30.000 --> 00:01:33.000]  我和大家做了一些研究
[00:01:33.000 --> 00:01:35.000]  研究了每一件事之後
[00:01:35.000 --> 00:01:39.000]  我將它歸納為四個大的類變
[00:01:39.000 --> 00:01:41.000]  當中所用到的字眼
[00:01:41.000 --> 00:01:43.000]  我也不是完全跟著和合本
[00:01:43.000 --> 00:01:45.000]  因為有些翻譯
[00:01:45.000 --> 00:01:46.000]  比如新譯本的翻譯
[00:01:46.000 --> 00:01:48.000]  可能比較全神
[00:01:48.000 --> 00:01:51.000]  所以我就很自由的借用不同的譯本
[00:01:51.000 --> 00:01:52.000]  不過我們可以看見
[00:01:52.000 --> 00:01:55.000]  有四個很典型的類變
[00:01:55.000 --> 00:02:00.000]  第一個A那裡是專愛自己
[00:02:00.000 --> 00:02:02.000]  一個很普遍的現象
[00:02:02.000 --> 00:02:04.000]  人是只是為了自己
[00:02:04.000 --> 00:02:05.000]  愛自己
[00:02:05.000 --> 00:02:06.000]  自私自利
[00:02:06.000 --> 00:02:09.000]  甚至用了很多不同的角度去描述這件事
[00:02:09.000 --> 00:02:11.000]  他說專愛自己
[00:02:11.000 --> 00:02:12.000]  自誇
[00:02:12.000 --> 00:02:13.000]  高傲
[00:02:13.000 --> 00:02:14.000]  旱毒
[00:02:14.000 --> 00:02:15.000]  英文譯作abusive
[00:02:15.000 --> 00:02:16.000]  比較清楚一點
[00:02:16.000 --> 00:02:19.000]  旱毒這個字比較古老的譯法
[00:02:19.000 --> 00:02:20.000]  攻擊性
[00:02:20.000 --> 00:02:22.000]  不單止自私自利
[00:02:22.000 --> 00:02:23.000]  還要攻擊其他人
[00:02:23.000 --> 00:02:25.000]  還有不聖潔
[00:02:25.000 --> 00:02:26.000]  不能自律
[00:02:26.000 --> 00:02:27.000]  放縱
[00:02:27.000 --> 00:02:31.000]  完全沒有一些自律
[00:02:31.000 --> 00:02:32.000]  橫盲
[00:02:32.000 --> 00:02:33.000]  空暴
[00:02:33.000 --> 00:02:34.000]  不愛良善
[00:02:34.000 --> 00:02:35.000]  任意妄為
[00:02:35.000 --> 00:02:37.000]  自高自大
[00:02:37.000 --> 00:02:42.000]  有一連串的字眼來描述那種自私自利
[00:02:42.000 --> 00:02:44.000]  只是看見自己
[00:02:44.000 --> 00:02:45.000]  專愛自己
[00:02:45.000 --> 00:02:47.000]  這樣的社會的現象
[00:02:47.000 --> 00:02:50.000]  不單止專愛自己
