
[00:00:00.000 --> 00:00:08.000]  大家好 讓我們再次在聆聽主的說話
[00:00:08.000 --> 00:00:11.400]  我們一起心低頭 禱報 仰望主 慧靈一神
[00:00:11.400 --> 00:00:15.400]  是美的祖神 多謝祢 讓我們能夠再次回來
[00:00:15.400 --> 00:00:19.400]  在祢的說話當中一起學習 求祢的帶領幫助
[00:00:19.400 --> 00:00:23.600]  讓我們能夠好地掌握 並且明白
[00:00:23.600 --> 00:00:27.400]  上主在你侍奉的過程當中
[00:00:27.400 --> 00:00:33.400]  祢的啟示如何誘導我們一步一步走向上主的永恆路上
[00:00:33.400 --> 00:00:36.400]  免得我們在整個信仰的路程上
[00:00:36.400 --> 00:00:40.400]  只是各按自己的己意而活 求祢的幫助和帶領
[00:00:40.400 --> 00:00:46.400]  讓我們每一個無論是聽的 說的 都同樣在主理中蒙福
[00:00:46.400 --> 00:00:50.400]  為了為到在網上的參與每一個弟兄姊妹代禱
[00:00:50.400 --> 00:00:55.400]  讓他們在自己所處的環境空間中
[00:00:55.400 --> 00:00:59.400]  那份對主不離不棄的敬拜心
[00:00:59.400 --> 00:01:03.400]  能夠得到上主的悅耳 求祢的幫助
[00:01:03.400 --> 00:01:11.400]  讓我們一起在線上線下 一同在真理上蒙受主的栽培
[00:01:11.400 --> 00:01:15.400]  禱告奉靠主耶穌基督得勝名自求 阿們
[00:01:15.400 --> 00:01:21.400]  不知道是什麼時日開始
[00:01:21.400 --> 00:01:27.400]  教會的信仰或傳遞的信息
[00:01:27.400 --> 00:01:33.400]  越來越開始個人化或私有化
[00:01:33.400 --> 00:01:39.400]  這種個人化和私有化分幾個層面出現
[00:01:39.400 --> 00:01:43.400]  可以是由一個小的群體出現
[00:01:43.400 --> 00:01:49.400]  嚴重到一個個人層次的地步
[00:01:49.400 --> 00:01:53.400]  什麼叫小的群體出現呢?
[00:01:53.400 --> 00:01:59.400]  不知道大家有沒有留意到最近在教會圈子裏
[00:01:59.400 --> 00:02:07.400]  越來越強調個別群體的個別擁有環境
[00:02:07.400 --> 00:02:17.400]  例如我最近有機會去聽聽其他教會的崇拜
[00:02:17.400 --> 00:02:19.400]  除了我自己的學習之外
[00:02:19.400 --> 00:02:27.400]  我自己也會謙虛多些在其他牧者身上學習
[00:02:27.400 --> 00:02:29.400]  去參加他們的崇拜
[00:02:29.400 --> 00:02:33.400]  有些東西使我覺得很不舒服
[00:02:33.400 --> 00:02:37.400]  例如他們經常說什麼什麼家
[00:02:37.400 --> 00:02:45.400]  例如把自己的教會強調成北家 南家 西家 東家
[00:02:45.400 --> 00:02:47.400]  就是我自己的家
[00:02:47.400 --> 00:02:55.400]  這種觀念難道你是這些家就不理會其他信徒嗎?
[00:02:55.400 --> 00:03:02.400]  這是一個小群體私有化的信仰觀念
[00:03:02.400 --> 00:03:05.400]  但在教會裏面傳揚開來的時候
[00:03:05.400 --> 00:03:07.400]  信徒很受落
[00:03:07.400 --> 00:03:11.400]  像自己一群信徒圍爐取暖
[00:03:11.400 --> 00:03:18.400]  在小群體裏開心過熟齡生活是多麼美好
[00:03:18.400 --> 00:03:26.400]  這種觀念差不多可以說是廣泛流行在教會圈子當中
[00:03:26.400 --> 00:03:28.400]  這是小群體的角度
[00:03:28.400 --> 00:03:32.400]  個人化的信仰
[00:03:32.400 --> 00:03:35.400]  這些說法還有很多
[00:03:35.400 --> 00:03:38.400]  例如自我信主的年代已經開始
[00:03:38.400 --> 00:03:40.400]  經常強調一件事
[00:03:40.400 --> 00:03:42.400]  你信不信耶穌? 信耶穌
[00:03:42.400 --> 00:03:47.400]  如果要信的就要將主耶穌成為你個人的救主
[00:03:47.400 --> 00:03:52.400]  為什麼要是我個人的救主而不是所有人的救主呢?
[00:03:52.400 --> 00:03:55.400]  為什麼要強調個人呢?
[00:03:55.400 --> 00:03:58.400]  是不是教會要高舉個人呢?
[00:03:58.400 --> 00:04:02.400]  另外當你去做牧羊的時候
[00:04:02.400 --> 00:04:05.400]  特別是我做牧羊的時候就開始遇到這個問題
[00:04:05.400 --> 00:04:09.400]  做牧者是不可以去問信徒的靈性的
[00:04:09.400 --> 00:04:15.400]  因為信主這個過程是一個很個人和上帝的關係
[00:04:15.400 --> 00:04:17.400]  牧者你不要參與
[00:04:17.400 --> 00:04:18.400]  你不要批評
[00:04:18.400 --> 00:04:19.400]  不要給評語
[00:04:19.400 --> 00:04:23.400]  甚至有信徒墮落跌倒的時候
[00:04:23.400 --> 00:04:26.400]  教會都不可以去過問
[00:04:26.400 --> 00:04:29.400]  因為這是一個個人和上帝的關係
[00:04:29.400 --> 00:04:31.400]  教會是無權過問的
[00:04:31.400 --> 00:04:33.400]  即是說他是教會的一份子
[00:04:33.400 --> 00:04:34.400]  是教會的會友
[00:04:34.400 --> 00:04:36.400]  甚至是他帶來的傷害
[00:04:36.400 --> 00:04:38.400]  在教會裏面出現
[00:04:38.400 --> 00:04:40.400]  我自己經歷過一件事件
[00:04:40.400 --> 00:04:43.400]  在我自己的牧羊過程當中
[00:04:43.400 --> 00:04:46.400]  曾經遇過一個難題
[00:04:46.400 --> 00:04:52.400]  當時我在主任牧師的帶領之下去侍奉
[00:04:52.400 --> 00:04:56.400]  當時教會曾經有一個信徒
[00:04:56.400 --> 00:05:02.400]  帶另一個信徒去買車
[00:05:02.400 --> 00:05:05.400]  誰不知原來在過程當中
[00:05:05.400 --> 00:05:08.400]  其中一個帶他去買車的人說
[00:05:08.400 --> 00:05:11.400]  我只是以愛心去招待這位弟兄
[00:05:11.400 --> 00:05:13.400]  他因為想買車而不懂
[00:05:13.400 --> 00:05:17.400]  我帶他去我相熟的車行裏面買車
[00:05:17.400 --> 00:05:21.400]  但誰不知最後說回來
[00:05:21.400 --> 00:05:23.400]  原來這位弟兄在教會裏面
[00:05:23.400 --> 00:05:27.400]  藉此機會去賺取一些佣金
[00:05:27.400 --> 00:05:31.400]  賺佣金這都是另一回事
[00:05:31.400 --> 00:05:33.400]  但他告訴別人他沒有賺錢
[00:05:33.400 --> 00:05:35.400]  沒有賺一分一毫
[00:05:35.400 --> 00:05:38.400]  後來教會發現這件事
[00:05:38.400 --> 00:05:41.400]  跟他談談為何要這樣做
[00:05:41.400 --> 00:05:43.400]  他說這是我個人的事
[00:05:43.400 --> 00:05:45.400]  不可以教會參與
[00:05:45.400 --> 00:05:49.400]  但我說這件事已經是教會裏面發生的事情
[00:05:50.400 --> 00:05:55.400]  於是又造成了一些很大的爭議
[00:05:55.400 --> 00:05:59.400]  我當時是傳道人
[00:05:59.400 --> 00:06:01.400]  當時的主任牧師就說
[00:06:01.400 --> 00:06:03.400]  算了算了不要吵了
[00:06:03.400 --> 00:06:05.400]  免得多吵多麻煩
[00:06:05.400 --> 00:06:07.400]  叫那位弟兄不要再買車
[00:06:07.400 --> 00:06:09.400]  他就繼續這樣做
[00:06:09.400 --> 00:06:12.400]  不單止這一類型
[00:06:12.400 --> 00:06:15.400]  旁人不能夠對我的信仰
[00:06:15.400 --> 00:06:17.400]  對我的錯誤有所批評
[00:06:17.400 --> 00:06:19.400]  或者提出意見
[00:06:19.400 --> 00:06:23.400]  甚至連《釋經》上也有扭曲的現象
[00:06:23.400 --> 00:06:25.400]  是屢次發生的
[00:06:25.400 --> 00:06:27.400]  最有名的一個人
[00:06:27.400 --> 00:06:30.400]  經常叫信徒多侍奉
[00:06:30.400 --> 00:06:32.400]  因為多侍奉是什麼呢
[00:06:32.400 --> 00:06:35.400]  就是積財寶在天
[00:06:35.400 --> 00:06:39.400]  為自己在天國積多些財寶
[00:06:39.400 --> 00:06:44.400]  我又從《聖經》的指授去想想
[00:06:44.400 --> 00:06:45.400]  如果是這樣的話
[00:06:45.400 --> 00:06:49.400]  每個信徒在天國裡面都有一個戶口
[00:06:49.400 --> 00:06:52.400]  到時有貧富懸殊
[00:06:52.400 --> 00:06:53.400]  你可能積多些
[00:06:53.400 --> 00:06:54.400]  我積少些
[00:06:54.400 --> 00:06:58.400]  所以為什麼後來很多信徒就去做傳道人
[00:06:58.400 --> 00:06:59.400]  是又做不是又做
[00:06:59.400 --> 00:07:00.400]  所以現在通街都是傳道人
[00:07:00.400 --> 00:07:02.400]  到處都是牧師
[00:07:02.400 --> 00:07:03.400]  女的又要做牧師
[00:07:03.400 --> 00:07:04.400]  男的又要做牧師
[00:07:04.400 --> 00:07:07.400]  為什麼呢
[00:07:07.400 --> 00:07:08.400]  因為有了這個名字
[00:07:08.400 --> 00:07:11.400]  可能就在天國裡面積多些財寶
[00:07:11.400 --> 00:07:15.400]  這種思想久而久之滲透在教會裡面
[00:07:15.400 --> 00:07:22.400]  其實在蠶食信徒對聖經的集體性
