
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹 願你們平安
[00:00:06.000 --> 00:00:10.000]  我想回到當主耶穌復活後
[00:00:10.000 --> 00:00:12.000]  祂向門徒顯現自己
[00:00:12.000 --> 00:00:16.000]  當時門徒不知道主耶穌已經復活了
[00:00:16.000 --> 00:00:19.000]  所以說他們很驚慌
[00:00:19.000 --> 00:00:22.000]  害怕被人捉拿 害怕猶太人
[00:00:22.000 --> 00:00:27.000]  因此他們躲藏在家中關上門 很驚慌
[00:00:27.000 --> 00:00:29.000]  但是當主去到他們中間的時候
[00:00:29.000 --> 00:00:31.000]  第一句說話就是跟他們說
[00:00:31.000 --> 00:00:34.000]  願你們平安
[00:00:34.000 --> 00:00:38.000]  我想我們今天都有很多驚慌的事情
[00:00:38.000 --> 00:00:41.000]  我們可能有不同的地方要躲藏
[00:00:41.000 --> 00:00:45.000]  但是你記得主耶穌來到你當中
[00:00:45.000 --> 00:00:49.000]  跟你說 願你平安
[00:00:49.000 --> 00:00:54.000]  我今天也是這樣來跟大家提出
[00:00:54.000 --> 00:00:58.000]  記得主耶穌的平安臨到你
[00:00:58.000 --> 00:01:03.000]  你帶著信心領受主對你的應許
[00:01:03.000 --> 00:01:05.000]  在開始的時候
[00:01:05.000 --> 00:01:09.000]  或者你身邊也有家人朋友一齊來崇拜
[00:01:09.000 --> 00:01:13.000]  你也跟他們說一聲 願你平安
[00:01:13.000 --> 00:01:15.000]  我們一齊來祈禱
[00:01:15.000 --> 00:01:18.000]  主我們感謝你
[00:01:18.000 --> 00:01:21.000]  因為你得勝一切
[00:01:21.000 --> 00:01:23.000]  你從死裡復活過來
[00:01:23.000 --> 00:01:27.000]  以大能顯明出你是永恆的上帝
[00:01:27.000 --> 00:01:30.000]  你是勝過死亡的主
[00:01:30.000 --> 00:01:32.000]  主因此你告訴我們知道
[00:01:32.000 --> 00:01:36.000]  天上地下一切的權柄都已經賜給你
[00:01:36.000 --> 00:01:38.000]  所以你吩咐我們
[00:01:38.000 --> 00:01:42.000]  在你裡面領受你的平安
[00:01:42.000 --> 00:01:45.000]  又吩咐我們在領受平安之餘
[00:01:45.000 --> 00:01:48.000]  我們出去作你自己的見證
[00:01:48.000 --> 00:01:51.000]  主啊 今天我們到你的面前一同敬拜你
[00:01:51.000 --> 00:01:52.000]  尊崇你
[00:01:52.000 --> 00:01:55.000]  求你將你的平安充滿我們的內心
