
[00:00:00.000 --> 00:00:04.320]  各位電影節目大家好
[00:00:04.320 --> 00:00:06.800]  我有一次去看房子的時候
[00:00:06.800 --> 00:00:09.360]  我就看到房子裡面掛著一個牌子
[00:00:09.360 --> 00:00:12.320]  那個牌子上面就寫著家規
[00:00:12.320 --> 00:00:20.480]  家規第一條是媽媽永遠是對的
[00:00:20.480 --> 00:00:23.120]  然後第二條就說
[00:00:23.120 --> 00:00:27.840]  If mom is ever wrong, see rule number one
[00:00:27.840 --> 00:00:35.040]  如果媽媽是錯的話請回去看家規第一條
[00:00:35.040 --> 00:00:37.440]  我覺得很有意思
[00:00:37.440 --> 00:00:42.720]  人生在世我們需要規矩
[00:00:42.720 --> 00:00:45.680]  如果沒有規矩就天下大亂
[00:00:45.680 --> 00:00:48.640]  而且我們不單單需要知道規矩
[00:00:48.640 --> 00:00:54.880]  我們還要知道規矩中的規矩
[00:00:54.880 --> 00:00:57.440]  孟子曾經說過一句話
[00:00:57.440 --> 00:01:00.960]  不以規矩不成方圓
[00:01:00.960 --> 00:01:03.360]  規就是圓規
[00:01:03.360 --> 00:01:05.440]  矩就是曲尺
[00:01:05.440 --> 00:01:10.720]  意思就是說一切做事都要按照一定的守則
[00:01:10.720 --> 00:01:14.720]  否則就會大亂
[00:01:14.720 --> 00:01:18.480]  我們知道以色列人出礦野
[00:01:18.480 --> 00:01:23.680]  然後在礦野的時候其實他們是浩浩蕩蕩的
[00:01:23.680 --> 00:01:31.040]  估計有100多萬人出埃及然後進入礦野
[00:01:31.040 --> 00:01:35.520]  雖然他們人多但卻是一盤散沙
[00:01:35.520 --> 00:01:38.000]  雖然他們有領袖有摩世
[00:01:38.000 --> 00:01:40.960]  但摩世只不過是一個人
[00:01:40.960 --> 00:01:44.080]  如果不訂一些規矩
[00:01:44.080 --> 00:01:49.920]  他們沒辦法可以整齊有效的行軍
[00:01:49.920 --> 00:01:55.440]  所以神就帶他們去到西乃山
[00:01:55.440 --> 00:01:57.920]  出埃及之後他們去到西乃山
[00:01:57.920 --> 00:02:07.200]  然後在西乃山宣佈了界命、律例和典章
[00:02:07.200 --> 00:02:11.200]  我們看出埃及記第十九章
[00:02:11.200 --> 00:02:16.000]  第十九章這個地方我們看到他們來到西乃山
[00:02:16.000 --> 00:02:18.240]  他們來到西乃山的時候
[00:02:18.240 --> 00:02:21.520]  神就在第三天的早晨
[00:02:21.520 --> 00:02:25.360]  在山上有雷光、閃電、蜜雲
[00:02:25.360 --> 00:02:27.440]  而且各星甚大
[00:02:27.440 --> 00:02:30.800]  營中的百姓進度發展
[00:02:30.800 --> 00:02:35.200]  摩世率領百姓出營迎接神
[00:02:35.200 --> 00:02:38.240]  都站在山下
[00:02:38.240 --> 00:02:40.800]  我們看25節那裡說
[00:02:40.800 --> 00:02:45.920]  於是摩世下到百姓那裡告訴他們
[00:02:45.920 --> 00:02:50.800]  摩世從神那裡領授了界命、律例和典章
[00:02:50.800 --> 00:02:54.880]  然後他到山下告訴百姓
[00:02:54.880 --> 00:02:57.440]  這班百姓聽到什麼呢
[00:02:57.440 --> 00:03:01.920]  就是從第20章開始
[00:03:01.920 --> 00:03:09.600]  我們看到神就吩咐摩世告訴他們一切的說話
[00:03:09.600 --> 00:03:11.760]  什麼說話呢
[00:03:11.760 --> 00:03:14.720]  就是第20章第一節
[00:03:14.720 --> 00:03:17.280]  我是耶和華你的神
[00:03:17.280 --> 00:03:21.600]  曾將你從埃及地慰勞之家領出來
[00:03:21.600 --> 00:03:26.880]  除了我以外你不可有別的神
[00:03:26.880 --> 00:03:30.400]  我們知道這是十誡裡的第一誡
[00:03:30.400 --> 00:03:34.160]  今天我要跟大家說十誡裡的第一誡
[00:03:34.160 --> 00:03:40.960]  就是界命、救贖和毀神
[00:03:40.960 --> 00:03:44.160]  救贖、界命和毀神
[00:03:44.160 --> 00:03:49.280]  我們先說十誡是什麼呢
[00:03:49.280 --> 00:03:53.120]  十誡原本就是十句說話
[00:03:53.120 --> 00:03:55.120]  十句說話
[00:03:55.120 --> 00:03:56.640]  所以很簡單
[00:03:56.640 --> 00:04:00.160]  七拉第20章記載了這十誡
[00:04:00.160 --> 00:04:01.920]  有些有幾節
[00:04:01.920 --> 00:04:04.160]  有些只有一節就搞定
[00:04:04.160 --> 00:04:05.920]  十誡是什麼呢
[00:04:05.920 --> 00:04:07.680]  不單單是十句說話
[00:04:07.680 --> 00:04:12.320]  而這十句說話其實就是普世的價值
[00:04:12.320 --> 00:04:14.880]  是十個的命令
[00:04:14.880 --> 00:04:17.120]  十個的普世價值
[00:04:17.120 --> 00:04:19.680]  是從對神的認知
[00:04:19.680 --> 00:04:21.280]  然後對神的毀身
[00:04:21.280 --> 00:04:27.280]  和個人價值觀和整個民族價值觀的建立
[00:04:27.280 --> 00:04:30.880]  包括了家庭、社會、國家
[00:04:30.880 --> 00:04:35.360]  甚至影響到整個創造生態
[00:04:35.360 --> 00:04:39.520]  這個叫做universal values
[00:04:39.520 --> 00:04:44.400]  中國人有一番說話叫做
[00:04:44.400 --> 00:04:48.480]  正心修身齊家治國平天下
[00:04:48.480 --> 00:04:53.360]  正心修身齊家治國平天下
[00:04:53.360 --> 00:05:01.040]  其實可能第一個正心是講好對自己
