
[00:00:00.000 --> 00:00:14.040]  我想我夜年沒有聽這首歌了 所以很有一種歸屬感聽這些當年的歌
[00:00:14.040 --> 00:00:21.100]  好 今天我們繼續講詩篇的一個系列
[00:00:21.100 --> 00:00:27.420]  今天就講詩篇73篇《世界真係唔公平》
[00:00:27.420 --> 00:00:33.500]  怎麼不公平呢?我們看看詩裡面的內容就知道了
[00:00:33.500 --> 00:00:39.520]  這首詩有17節 不是 有這個 sorry
[00:00:39.520 --> 00:00:42.400]  有這個夜8節這麼長的
[00:00:42.400 --> 00:00:48.880]  所以我們首先讀前面的部分 就是詩人投訴的部分
[00:00:48.880 --> 00:00:54.540]  所以如果你對神有些投訴 你讀的時候可能會特別有同感
[00:00:54.540 --> 00:01:03.380]  我們一起讀詩篇第一節到第十四節 預備來
[00:01:03.380 --> 00:01:07.800]  神實在恩待以色列那些清心的人
[00:01:07.800 --> 00:01:13.920]  至於我 我的腳幾乎失神 我的腳險些滑倒
[00:01:13.920 --> 00:01:19.680]  我見惡人和狂傲人享平安 就心懷不定
[00:01:19.680 --> 00:01:25.960]  他們死的時候沒有疼痛 他們的力氣卻也壯實
[00:01:25.960 --> 00:01:31.320]  他們不像別人受苦 也不像別人遭虐
[00:01:31.320 --> 00:01:36.120]  所以 群豪如面紙戴在他們的項上
[00:01:36.120 --> 00:01:40.420]  強暴像衣裳遮住他們的身體
[00:01:40.420 --> 00:01:44.060]  他們的眼睛因肥胖而凸出
[00:01:44.060 --> 00:01:48.080]  他們所得的 過於心裡所想的
[00:01:48.080 --> 00:01:52.680]  他們譏笑人 行惡而說欺壓人的話
[00:01:52.680 --> 00:01:57.680]  他們說話至高 他們的口舌讀上天
[00:01:57.680 --> 00:02:00.480]  他們的舌誹謗全地
[00:02:00.480 --> 00:02:06.480]  所以神的問:歸道者裡 喝盡了滿杯的苦水
[00:02:06.480 --> 00:02:12.080]  他們說:神怎能曉得 至高者豈有自識呢?
[00:02:12.080 --> 00:02:14.680]  看!這就是惡人
[00:02:14.680 --> 00:02:19.480]  他們既是常享安逸 財寶變加增
[00:02:19.480 --> 00:02:23.180]  我實在徒然結證了我的手
[00:02:23.180 --> 00:02:26.080]  徒然洗手 表明無辜
[00:02:26.080 --> 00:02:31.480]  因為我終日災虐 每早晨受懲治
[00:02:31.480 --> 00:02:33.480]  好 我們低頭做個禱告
[00:02:33.480 --> 00:02:37.080]  父神啊 我們感謝祢
[00:02:37.080 --> 00:02:39.580]  我們來到祢的殿中去敬拜祢
[00:02:39.580 --> 00:02:41.580]  我們不知道我們當中
[00:02:41.580 --> 00:02:46.180]  祢的兒女帶著甚麼心境來到今天的殿裡
[00:02:46.180 --> 00:02:48.880]  或許有些人是滿心的感謝
[00:02:48.880 --> 00:02:51.280]  很多的喜樂感恩的話
[00:02:51.280 --> 00:02:53.180]  我們為這些弟兄姊妹
[00:02:53.180 --> 00:02:55.980]  我們心裡也感到高興
[00:02:55.980 --> 00:02:58.780]  不過或許我們當中有一些弟兄姊妹
[00:02:58.780 --> 00:03:02.980]  這個時候心裡是缺乏感謝的話
[00:03:02.980 --> 00:03:07.380]  可能因為看到周圍人的順境
[00:03:07.380 --> 00:03:13.380]  而心裡感到苦澀 感到一股酸味
[00:03:13.380 --> 00:03:16.280]  假如我們當中有這樣的弟兄姊妹
[00:03:16.280 --> 00:03:18.480]  求祢去安慰他們
[00:03:18.480 --> 00:03:21.780]  求祢去接受我們每個人的軟弱
[00:03:21.780 --> 00:03:25.280]  讓他們在疑問之中
[00:03:25.280 --> 00:03:30.180]  特別能夠見到祢的慈愛 見到祢的真實
[00:03:30.180 --> 00:03:31.980]  今天一段聽到的時間
[00:03:31.980 --> 00:03:34.780]  求祢祝福 祈禱給耶穌基督的名
[00:03:34.780 --> 00:03:39.780]  好 我們回到第一節
[00:03:39.780 --> 00:03:46.080]  這篇73篇第一節
[00:03:46.080 --> 00:03:49.380]  其實講述了詩人整首詩想講的說話
[00:03:49.380 --> 00:03:52.480]  神實在恩待以色列那些清心的人
[00:03:52.480 --> 00:03:55.480]  他強調神是真是那位恩待的
[00:03:55.480 --> 00:03:57.780]  詩人亦用「實在」這個字
[00:03:57.780 --> 00:04:00.480]  有些精文字本中是truly
[00:04:00.480 --> 00:04:03.680]  或者是真是的 不是假的
[00:04:03.680 --> 00:04:07.080]  如果用今天香港人的口語
[00:04:07.080 --> 00:04:09.880]  就會說「真恩待」
[00:04:09.880 --> 00:04:13.980]  真是 不是假的 不是裝的
[00:04:13.980 --> 00:04:18.180]  不過雖然這個是整首詩的主題
[00:04:18.180 --> 00:04:19.980]  或者這個都是詩的總結
[00:04:19.980 --> 00:04:23.180]  不過詩人就讓你從第二節開始
[00:04:23.180 --> 00:04:25.680]  讓你經歷他的心路歷程
[00:04:25.680 --> 00:04:27.680]  他將他心裡想的東西
[00:04:27.680 --> 00:04:31.280]  來坦然和讀者分享
[00:04:31.280 --> 00:04:34.280]  讓讀者明白其實要講第一節
[00:04:34.280 --> 00:04:36.880]  神實在恩待那些清心的人
[00:04:36.880 --> 00:04:38.380]  恩待他的兒女
[00:04:38.380 --> 00:04:40.380]  有時講這句說話不簡單的
[00:04:40.380 --> 00:04:41.680]  不是好像唸口黃
[00:04:41.680 --> 00:04:43.080]  是啊 神恩待
[00:04:43.080 --> 00:04:47.280]  有時人生可能走到某一些階段
[00:04:47.280 --> 00:04:50.180]  我們覺得講這句說話很難講出口
[00:04:50.180 --> 00:04:53.680]  好像要掩著良心才講到這句說話
[00:04:53.680 --> 00:04:54.780]  為甚麼會這樣呢?
[00:04:54.780 --> 00:04:57.280]  詩人為甚麼會經歷這樣的光景呢?
[00:04:57.280 --> 00:05:00.180]  第二節開始是他的投訴
[00:05:00.180 --> 00:05:02.580]  第一節就講了他知道
[00:05:02.580 --> 00:05:05.580]  這個是他應該講的說話
[00:05:05.580 --> 00:05:07.880]  不過第二節開始他就說
[00:05:07.880 --> 00:05:09.480]  心裡實在為難
[00:05:09.480 --> 00:05:11.280]  他覺得很難講 為甚麼呢?
[00:05:11.280 --> 00:05:14.780]  第二節說「至於我 我的腳幾乎失閃」
[00:05:14.780 --> 00:05:17.780]  這個現在小容的中文
[00:05:17.780 --> 00:05:21.080]  總之我的腳幾乎跌倒
[00:05:21.080 --> 00:05:23.080]  我的腳險些滑倒
[00:05:23.080 --> 00:05:24.780]  他差點跌倒
[00:05:24.780 --> 00:05:28.280]  當然這個跌倒不是指真正身體的跌倒
[00:05:28.280 --> 00:05:31.380]  是指他信仰裏面的跌倒
[00:05:31.380 --> 00:05:34.180]  換句話來說 他差點想跟神說
[00:05:34.180 --> 00:05:36.880]  我不做了 我不做基督徒了
[00:05:36.880 --> 00:05:41.080]  不知道你有沒有試過經過這樣的階段呢?
[00:05:41.080 --> 00:05:43.680]  我真的聽過一些基督徒跟我說的
[00:05:43.680 --> 00:05:47.080]  包括一些可能很出名的講員
[00:05:47.080 --> 00:05:50.280]  他們曾經試過人生都走過一個階段
[00:05:50.280 --> 00:05:51.980]  去到一個地步跟神說
[00:05:51.980 --> 00:05:53.580]  神啊 我不做了
[00:05:53.580 --> 00:05:56.280]  我做了這個基督徒 我不做了
[00:05:56.280 --> 00:05:59.080]  因為有些事發生了
[00:05:59.080 --> 00:06:03.480]  不知道你有沒有試過這樣的情況
[00:06:03.480 --> 00:06:08.480]  如果你有的話 不需要覺得太內疚的
[00:06:08.480 --> 00:06:10.780]  連詩人都經歷過這個階段
[00:06:10.780 --> 00:06:14.780]  詩人說 神啊 我想做你的兒女了 不做了
[00:06:14.780 --> 00:06:15.780]  為甚麼會這樣呢?
[00:06:15.780 --> 00:06:17.580]  詩人為甚麼會有這樣的感覺呢?
[00:06:17.580 --> 00:06:18.980]  接著他就說
[00:06:18.980 --> 00:06:23.880]  「我見惡人和狂傲人享平安 就心懷不平」
[00:06:23.880 --> 00:06:27.680]  第三節一直開始到第十二節
[00:06:27.680 --> 00:06:34.580]  都是他在數他很不開心、很不喜歡的東西
[00:06:34.580 --> 00:06:36.780]  不是有Facebook Like的
[00:06:36.780 --> 00:06:40.480]  現在整個紅色的臉在Facebook
[00:06:40.480 --> 00:06:44.780]  他要發給神幾個紅色的臉
[00:06:44.780 --> 00:06:46.680]  告訴神發生了什麼事
[00:06:46.680 --> 00:06:50.080]  他主要有三個投訴
[00:06:50.080 --> 00:06:57.880]  第一個就是覺得惡人太幸運了 太享福了
[00:06:57.880 --> 00:07:00.980]  「我見惡人和狂傲人享平安 就心懷不平」
[00:07:00.980 --> 00:07:04.780]  「他們死的時候都沒有疼痛 他們力氣也裝實」
[00:07:04.780 --> 00:07:08.080]  第一就是他們平安 怎樣平安呢?
[00:07:08.080 --> 00:07:11.280]  詩人沒有詳細形容 但是你可以想像
