
[00:00:00.000 --> 00:00:05.000]   Hello, brothers and sisters.
[00:00:05.000 --> 00:00:08.500]   Welcome to my teaching today.
[00:00:08.500 --> 00:00:14.500]   Today I would like to share with you a topic called "Truth and Miracles".
[00:00:14.500 --> 00:00:22.000]   This topic is in Matthew 12, verses 22-42.
[00:00:22.000 --> 00:00:27.000]   In my last sermon, Jesus Christ asked me a question.
[00:00:27.000 --> 00:00:31.000]   "Have you ever read the book of Matthew?"
[00:00:31.000 --> 00:00:37.000]   The last sermon was in the first third of Matthew 12.
[00:00:37.000 --> 00:00:42.000]   Today's sermon is in the middle third of Matthew 12.
[00:00:42.000 --> 00:00:46.000]   First, please listen to the text I read today.
[00:00:46.000 --> 00:00:51.000]   Matthew 12, verses 22-42.
[00:00:51.000 --> 00:00:59.000]   It says, "At that time, a man led a blind and naked man to Jesus.
[00:00:59.000 --> 00:01:04.000]   Jesus healed him, and Abba spoke and saw.
[00:01:04.000 --> 00:01:09.000]   The people were amazed and said, "Is this not the Son of David?"
[00:01:09.000 --> 00:01:13.000]   But the Pharisees heard and said, "This man speaks of the devil,
[00:01:13.000 --> 00:01:17.000]   because he is wearing the robe of the devil.
[00:01:17.000 --> 00:01:21.000]   Jesus knew their thoughts and said to them,
[00:01:21.000 --> 00:01:25.000]   "A nation must be united by self-interest.
[00:01:25.000 --> 00:01:29.000]   One nation must be united by self-interest.
[00:01:29.000 --> 00:01:33.000]   If Satan drives out Satan, it is a matter of self-interest.
[00:01:33.000 --> 00:01:35.000]   How can his nation be united?
[00:01:35.000 --> 00:01:38.000]   I am wearing the robe of the devil.
[00:01:38.000 --> 00:01:41.000]   Who are you wearing, you sons of the devil?
[00:01:41.000 --> 00:01:45.000]   They will be your judges.
[00:01:45.000 --> 00:01:48.000]   I am wearing the robe of the devil.
[00:01:48.000 --> 00:01:52.000]   Then the kingdom of God has come to you.
[00:01:52.000 --> 00:01:57.000]   How can a man enter the house of his enemy and take his possessions?
[00:01:57.000 --> 00:02:00.000]   Unless he first binds the enemy,
[00:02:00.000 --> 00:02:03.000]   otherwise he cannot take his possessions.
[00:02:03.000 --> 00:02:07.000]   Those who do not follow me are against me.
[00:02:07.000 --> 00:02:10.000]   Those who do not repent with me are in the desert.
[00:02:10.000 --> 00:02:13.000]   So I tell you,
[00:02:13.000 --> 00:02:18.000]   all sins and blasphemy can be forgiven,
[00:02:18.000 --> 00:02:22.000]   but blasphemy cannot be forgiven.
[00:02:22.000 --> 00:02:26.000]   But blasphemy against the Son of Man cannot be forgiven,
[00:02:26.000 --> 00:02:33.000]   but blasphemy against the Holy Spirit cannot be forgiven.
[00:02:33.000 --> 00:02:36.000]   The second paragraph is in verse 33.
[00:02:36.000 --> 00:02:42.000]   You know what is good and what is bad.
[00:02:42.000 --> 00:02:46.000]   Because you see what is good, you know what is bad.
[00:02:46.000 --> 00:02:50.000]   You are the wicked.
[00:02:50.000 --> 00:02:52.000]   How can you speak good words?
[00:02:52.000 --> 00:02:56.000]   Because the mouth of the heart is full of good words.
