
[00:00:00.000 --> 00:00:03.560]  今日的題目是列國之光
[00:00:03.560 --> 00:00:08.520]  神的僕人他的性格和心智
[00:00:08.520 --> 00:00:13.800]  根據聖經是以賽亞書第42章
[00:00:13.800 --> 00:00:19.200]  今日我講道的題目和待會講的東西
[00:00:19.200 --> 00:00:22.000]  會比較敏感
[00:00:22.000 --> 00:00:28.400]  但是我三十多年的講道都是這樣的標準
[00:00:28.400 --> 00:00:30.400]  我就是看聖經
[00:00:30.400 --> 00:00:34.400]  神的話 神的話講什麼 我就講什麼
[00:00:34.400 --> 00:00:36.800]  所以我不是想著有些話想講
[00:00:36.800 --> 00:00:39.200]  就拿一段聖經來支持我的
[00:00:39.200 --> 00:00:40.800]  我是看聖經
[00:00:40.800 --> 00:00:44.200]  我看的時候我還沒有這個感動
[00:00:44.200 --> 00:00:47.000]  到我一邊看的時候 神的靈感動我
[00:00:47.000 --> 00:00:49.000]  那我就決定今天和大家
[00:00:49.000 --> 00:00:53.200]  分享一些我自己的看法
[00:00:53.200 --> 00:00:57.400]  和神給我的一些體會
[00:00:57.400 --> 00:00:59.600]  我是按照聖經來說
[00:00:59.600 --> 00:01:01.600]  我盡力去合乎聖經
[00:01:01.600 --> 00:01:03.400]  所以大家如果能夠的話
[00:01:03.400 --> 00:01:07.600]  打開這個以賽亞書第42章都是很好的
[00:01:07.600 --> 00:01:11.000]  以賽亞書42章我們看1至13節
[00:01:11.000 --> 00:01:15.600]  如果你打開以賽亞書42章1至13節
[00:01:15.600 --> 00:01:17.200]  如果你稍微知道以賽亞書
[00:01:17.200 --> 00:01:22.000]  你知道42章是一個很著名的所謂開始
[00:01:22.000 --> 00:01:24.600]  僕人之光
[00:01:24.600 --> 00:01:26.000]  Song of the Seven
[00:01:26.000 --> 00:01:27.200]  是僕人之光
[00:01:27.200 --> 00:01:30.800]  之光因為你看見第42章一開始的時候
[00:01:30.800 --> 00:01:34.800]  看 這是我的僕人
[00:01:34.800 --> 00:01:37.000]  這個就是我們的神
[00:01:37.000 --> 00:01:39.800]  去介紹這位僕人
[00:01:39.800 --> 00:01:43.400]  然後描述這位僕人的使命
[00:01:43.400 --> 00:01:45.400]  他的性格是怎麼樣
[00:01:45.400 --> 00:01:48.000]  這位僕人是誰呢
[00:01:48.000 --> 00:01:50.400]  當然在學術上 在歷史上
[00:01:50.400 --> 00:01:53.800]  或者在我們研經的各方面
[00:01:53.800 --> 00:01:56.400]  都有不同的很多的研究
[00:01:56.400 --> 00:01:59.000]  簡單來說比較綜合一點
[00:01:59.000 --> 00:02:01.400]  公允一點的看法就是
[00:02:01.400 --> 00:02:07.000]  你知道以賽亞書是舊約聖經的先知所說的書
[00:02:07.000 --> 00:02:11.200]  以賽亞書裡面一直比較前面的部分
[00:02:11.200 --> 00:02:15.000]  都是特別講到給以色列人的
[00:02:15.000 --> 00:02:18.600]  所以有些人認為我的僕人
[00:02:18.600 --> 00:02:22.600]  就是指以色列國和以色列這個民族
[00:02:22.600 --> 00:02:25.000]  當然這個不會完全是錯的
[00:02:25.000 --> 00:02:28.400]  因為他的對象根本就是所有都是以色列民
[00:02:28.400 --> 00:02:31.400]  但是你看到第42章一路看下去的時候
[00:02:31.400 --> 00:02:36.200]  那種描述你慢慢覺得好像不單單是以色列人
[00:02:36.200 --> 00:02:38.600]  因為以色列人的歷史跟著所講的
[00:02:38.600 --> 00:02:41.000]  壓傷的爐位他不截斷
[00:02:41.000 --> 00:02:43.600]  張禪的燈火他不催滅
[00:02:43.600 --> 00:02:46.800]  這些不像以色列人後來的歷史
[00:02:46.800 --> 00:02:49.600]  以色列人後來變成了張禪的燈火
[00:02:49.600 --> 00:02:51.400]  因為他滅了國
[00:02:51.400 --> 00:02:53.400]  他變成了壓傷的爐位
[00:02:53.400 --> 00:02:57.400]  所以肯定這個神的僕人
[00:02:57.400 --> 00:02:59.800]  他很認真的
[00:02:59.800 --> 00:03:01.800]  神說我扶持他
[00:03:01.800 --> 00:03:03.400]  我按立他
[00:03:03.400 --> 00:03:07.200]  還要我是那位宇宙天地海洋的主
[00:03:07.200 --> 00:03:10.800]  然後我去興起他
[00:03:10.800 --> 00:03:14.000]  這是一個很尊貴的僕人
[00:03:14.000 --> 00:03:18.400]  相信不應該單單只是普遍講的以色列人
[00:03:18.400 --> 00:03:20.200]  所以就算是舊約
[00:03:20.200 --> 00:03:22.200]  就算是猶太教他們自己的人
[00:03:22.200 --> 00:03:24.200]  看到這裡他都覺得不太好意思
[00:03:24.200 --> 00:03:25.600]  說只是我們這個民族
[00:03:25.600 --> 00:03:29.600]  他都知道是在講將來要來的那位尼塞亞
[00:03:29.600 --> 00:03:32.600]  我們果然在新約聖經就看到
[00:03:32.600 --> 00:03:36.400]  我們的主耶穌自己引用的聖經裏面
[00:03:36.400 --> 00:03:38.200]  有引用到這一段
[00:03:38.200 --> 00:03:40.800]  甚至聖經的作者譬如馬太福音
[00:03:40.800 --> 00:03:42.600]  那裏列了出來大家不需要看
[00:03:42.600 --> 00:03:44.200]  有機會回家慢慢看
[00:03:44.200 --> 00:03:46.000]  第十二章那裏很明顯
[00:03:46.000 --> 00:03:47.800]  是馬太福音都講到說
[00:03:47.800 --> 00:03:49.200]  其實他引了這裏
[00:03:49.200 --> 00:03:51.200]  是差不多五六節的聖經
[00:03:51.200 --> 00:03:53.200]  就是四十二章剛才我們所讀的那裏
[00:03:53.200 --> 00:03:55.800]  有些說話好像很熟悉
[00:03:55.800 --> 00:03:59.000]  因為其實是在新約聖經裏看到的
[00:03:59.000 --> 00:04:02.000]  在那裏聖經很清楚的說
[00:04:02.000 --> 00:04:06.200]  其實那位我們所認識的耶穌基督
[00:04:06.200 --> 00:04:07.400]  他就是尼塞亞
[00:04:07.400 --> 00:04:13.200]  就是四十二章所講的神的僕人
[00:04:13.200 --> 00:04:16.200]  所以我們說以色列可以這樣解釋
[00:04:16.200 --> 00:04:17.400]  但不停在以色列
[00:04:17.400 --> 00:04:19.000]  他是指到神的僕人
[00:04:19.000 --> 00:04:21.000]  特別是耶穌基督
[00:04:21.000 --> 00:04:23.200]  我們作為耶穌基督的門徒
[00:04:23.200 --> 00:04:26.800]  我相信這個要求的氣質
[00:04:26.800 --> 00:04:28.000]  由主耶穌基督
[00:04:28.000 --> 00:04:29.000]  我們的神
[00:04:29.000 --> 00:04:31.000]  我們的耶穌基督作為一個榜樣
[00:04:31.000 --> 00:04:33.200]  由我們跟隨祂的人
[00:04:33.200 --> 00:04:35.000]  都是神的僕人
[00:04:35.000 --> 00:04:38.200]  所以不只是教會的牧師傳道人
[00:04:38.200 --> 00:04:39.800]  才叫做神的僕人
[00:04:39.800 --> 00:04:43.200]  我們每一個人都是神的僕人
[00:04:43.200 --> 00:04:45.800]  你和我都是要去服侍神
[00:04:45.800 --> 00:04:49.200]  按照神的差遣去完成計劃的人
[00:04:49.200 --> 00:04:51.200]  所以我們都是神的僕人
[00:04:51.200 --> 00:04:53.400]  所以今天這個僕人之歌
[00:04:53.400 --> 00:04:55.200]  其實都是給我們聽
[00:04:55.200 --> 00:04:57.600]  由耶穌基督作為一個典範
[00:04:57.600 --> 00:04:58.800]  待會我們無論如何
[00:04:58.800 --> 00:05:00.600]  要在耶穌基督的身上
[00:05:00.600 --> 00:05:03.000]  看到一些標準
[00:05:03.000 --> 00:05:06.600]  然後我們在他的榜樣裏面
[00:05:06.600 --> 00:05:09.200]  我們都學做神的僕人
[00:05:09.200 --> 00:05:11.600]  這個就是今天我和大家
[00:05:11.600 --> 00:05:14.400]  去研究聖經的重點
[00:05:14.400 --> 00:05:16.000]  好了,有了這個重點
[00:05:16.000 --> 00:05:17.000]  方向的時候
[00:05:17.000 --> 00:05:18.800]  我們看看這段聖經
[00:05:18.800 --> 00:05:21.200]  今天我們這十三節聖經
[00:05:21.200 --> 00:05:22.000]  簡單來說
[00:05:22.000 --> 00:05:22.400]  你問我
[00:05:22.400 --> 00:05:25.200]  我覺得好像一個三文治
[00:05:25.200 --> 00:05:28.200]  就是兩塊麵包夾著餡
[00:05:28.200 --> 00:05:31.400]  什麼叫兩塊夾著呢?
[00:05:31.400 --> 00:05:33.400]  前面四節
[00:05:33.400 --> 00:05:35.200]  後面四節
[00:05:35.200 --> 00:05:39.000]  就是他的頭尾
[00:05:39.000 --> 00:05:43.400]  然後中間夾著一個很重要的因素
[00:05:43.400 --> 00:05:45.400]  為什麼會產生前面和後面
[00:05:45.400 --> 00:05:49.000]  我們就用一個這樣的角度去理解
[00:05:49.000 --> 00:05:50.400]  前面四節
[00:05:50.400 --> 00:05:51.400]  你剛才讀的時候
[00:05:51.400 --> 00:05:53.400]  我不知道你有沒有留意到
[00:05:53.400 --> 00:05:54.400]  簡單來說
[00:05:54.400 --> 00:05:55.800]  你看到我的大綱裏面
[00:05:55.800 --> 00:05:58.400]  都是這樣表達出來
[00:05:58.400 --> 00:06:00.200]  前面四節
[00:06:00.200 --> 00:06:01.400]  基本上你讀的時候
[00:06:01.400 --> 00:06:04.400]  感覺到這個神的僕人很靜的
[00:06:04.400 --> 00:06:05.200]  很靜的
[00:06:05.200 --> 00:06:06.600]  待會我們會再說多一點
[00:06:06.600 --> 00:06:07.800]  比較靜的
[00:06:07.800 --> 00:06:10.400]  比較不張揚的
[00:06:10.400 --> 00:06:11.800]  甚至的話
[00:06:11.800 --> 00:06:13.800]  街上聽不到他的聲音
[00:06:13.800 --> 00:06:15.400]  他不是叫喊的
[00:06:15.400 --> 00:06:17.600]  但是他很有韌力的
[00:06:17.600 --> 00:06:18.400]  他忍耐的
[00:06:18.400 --> 00:06:19.800]  他不灰心的
[00:06:19.800 --> 00:06:21.200]  他很柔和的
[00:06:21.200 --> 00:06:22.400]  壓傷了老人
[00:06:22.400 --> 00:06:24.400]  老人不會截斷的
[00:06:24.400 --> 00:06:25.000]  是不是?
[00:06:25.000 --> 00:06:26.600]  他是一種恩慈的
[00:06:26.600 --> 00:06:28.600]  很溫柔
[00:06:28.600 --> 00:06:29.800]  恩慈
[00:06:29.800 --> 00:06:31.400]  安靜的
[00:06:31.400 --> 00:06:33.800]  然後最後的四節
[00:06:33.800 --> 00:06:35.800]  十一節到十三節
[00:06:35.800 --> 00:06:37.200]  就很大聲的
[00:06:37.200 --> 00:06:38.800]  就很響的
[00:06:38.800 --> 00:06:41.400]  很多的讚美
[00:06:41.400 --> 00:06:44.000]  我和大家數過了
[00:06:44.000 --> 00:06:48.000]  加起來有九個形容詞
[00:06:48.000 --> 00:06:50.200]  不斷的有些重複的
[00:06:50.200 --> 00:06:53.800]  形容這個僕人所得到的
[00:06:53.800 --> 00:06:56.600]  和他對神所表達的
[00:06:56.600 --> 00:07:02.000]  是那種讚美、揚聲、高呼、吶喊
[00:07:02.000 --> 00:07:04.400]  甚至在海島裏面宣揚
[00:07:04.400 --> 00:07:06.400]  在山上吶喊
[00:07:06.400 --> 00:07:09.400]  在不同的城市裏面縱揚
[00:07:09.400 --> 00:07:11.400]  這種情況很嘈的
[00:07:11.400 --> 00:07:12.600]  很大聲的
[00:07:12.600 --> 00:07:13.800]  很多聲音的
