
[00:00:00.000 --> 00:00:06.680]  今天我們分享的題目是馬可不下的耶穌
[00:00:06.680 --> 00:00:08.200]  我們來到第十一講
[00:00:08.200 --> 00:00:12.400]  題目是耶穌和魔鬼
[00:00:12.400 --> 00:00:16.040]  如果提起耶穌 大家會想到些什麼呢?
[00:00:16.040 --> 00:00:17.200]  為什麼我會這樣問呢?
[00:00:17.200 --> 00:00:20.240]  就是我經常都很想我們成為基督徒
[00:00:20.240 --> 00:00:22.440]  我們隨時做好準備
[00:00:22.440 --> 00:00:23.480]  怎麼準備呢?
[00:00:23.480 --> 00:00:27.640]  就是當有人問你 其實耶穌是誰?
[00:00:27.640 --> 00:00:30.240]  你會怎麼回答呢?
[00:00:30.240 --> 00:00:31.640]  大家想一想
[00:00:31.640 --> 00:00:33.200]  如果我們現在在街上
[00:00:33.200 --> 00:00:35.160]  有人知道我們講廣東話
[00:00:35.160 --> 00:00:39.240]  然後問你 阿Ben 耶穌是誰?
[00:00:39.240 --> 00:00:40.960]  那怎麼辦呢?
[00:00:40.960 --> 00:00:44.600]  嗯 呃 呃
[00:00:44.600 --> 00:00:48.840]  女傳道在樓上 我介紹給你認識
[00:00:48.840 --> 00:00:50.560]  他知道的
[00:00:50.560 --> 00:00:52.120]  但你又知不知道呢?
[00:00:52.120 --> 00:00:53.480]  你怎麼回答呢?
[00:00:53.480 --> 00:00:55.400]  如果有人問你
[00:00:55.400 --> 00:00:57.920]  你信不信有鬼?
[00:00:57.920 --> 00:00:59.760]  大家怎麼回答呢?
[00:00:59.760 --> 00:01:00.920]  信
[00:01:00.920 --> 00:01:02.960]  信不信有鬼?
[00:01:02.960 --> 00:01:05.880]  這麼害怕
[00:01:05.880 --> 00:01:07.520]  一定要信 為什麼呢?
[00:01:07.520 --> 00:01:09.600]  是信有鬼
[00:01:09.600 --> 00:01:11.920]  因為聖經有講
[00:01:11.920 --> 00:01:15.000]  那耶穌和魔鬼有什麼關係呢?
[00:01:15.000 --> 00:01:16.480]  或者再問多一樣東西
[00:01:16.480 --> 00:01:19.280]  大家怕不怕鬼?
[00:01:19.280 --> 00:01:23.080]  哈哈 多謝有些人坦白
[00:01:23.080 --> 00:01:24.920]  有些人說怕
[00:01:24.920 --> 00:01:27.000]  我前陣子跟一個年輕人說
[00:01:27.000 --> 00:01:30.160]  他說 哇 呂Sir 我好怕鬼
[00:01:30.160 --> 00:01:32.120]  哇 你信耶穌了
[00:01:32.120 --> 00:01:32.880]  都怕
[00:01:32.880 --> 00:01:35.000]  我信耶穌都怕
