
[00:00:00.000 --> 00:00:12.880]  好 從今天開始我們會大約用一年至一年半的時間去看路加福音
[00:00:12.880 --> 00:00:19.880]  聽起來對於很多弟兄姊妹來說很可怕 說路加福音是一年多的
[00:00:19.880 --> 00:00:24.160]  不是很可怕的 因為馬太福音已經說了兩年了
[00:00:24.160 --> 00:00:32.560]  所以應該差不多了 我也不想水過鴨背地和大家去看一卷的福音書
[00:00:32.560 --> 00:00:38.240]  因為每一卷的福音書它本身都有一個寫作的原因
[00:00:38.240 --> 00:00:44.880]  這個也是我們在讀福音書的時候一個很重要的功課
[00:00:44.880 --> 00:00:48.400]  在讀福音書裏面有一個經常的錯誤
[00:00:48.400 --> 00:00:57.440]  很多人是將四卷的福音書炒在一起 然後成為一個單一的自創的福音
[00:00:57.440 --> 00:01:02.240]  那些有一點點神學的就說我們不會四卷的
[00:01:02.240 --> 00:01:09.440]  因為我們只知道是馬太、馬可和路加福音三卷
[00:01:09.440 --> 00:01:14.080]  叫做湖裏福音或者叫對觀福音Synoptic Gospel
[00:01:14.080 --> 00:01:21.360]  他們的內容其實是根據一個相同的軌跡和大綱去寫的
[00:01:21.360 --> 00:01:27.200]  所以我們就不會四卷 我們三卷將它合二為一炒成一碟
[00:01:27.200 --> 00:01:31.920]  其實也是錯誤的一個讀經的方式
[00:01:31.920 --> 00:01:39.840]  因為很多時候每一卷的福音書所寫的內容即使表面上是類似的事件
[00:01:39.840 --> 00:01:46.960]  但在聖經的研究裏面是確是兩件不同的事情
[00:01:46.960 --> 00:01:50.960]  不過在不同的地方有類似的推行
[00:01:50.960 --> 00:01:56.400]  在這方面我希望弟兄姊妹也都留意了 不要犯這些的錯誤
[00:01:56.400 --> 00:01:59.120]  所以當我們去看每一卷的福音書的時候
[00:01:59.120 --> 00:02:05.520]  我們最好的讀經的方法就是按照每一卷的福音書的內容
[00:02:05.520 --> 00:02:13.120]  它自己本身的本意去解釋 至於以湖裏福音的思想去研讀
[00:02:13.120 --> 00:02:20.080]  這個是另一個課題 在我們去讀聖經或者研究聖經的上面
[00:02:20.080 --> 00:02:26.000]  是有另一個原因 而主要原因就是正正要找出每一卷福音書
[00:02:26.000 --> 00:02:34.240]  即使可能同一件事件都好 我們都會去看到它寫作的動機的不同之處
[00:02:34.240 --> 00:02:40.880]  或者上帝是希望藉著全福音的傳導者或者福音的記載者
[00:02:40.880 --> 00:02:48.560]  讓我們去看到他所要看到的屬靈教導和上帝怎樣去生命上的督導
[00:02:48.560 --> 00:02:54.640]  這個是我想在講老家福音的前設的上面
[00:02:54.640 --> 00:03:03.360]  先和大家一起去看一下這個基本但很多信徒未必掌握的原則
[00:03:03.360 --> 00:03:10.880]  講少少為什麼會講老家福音 在過去日子 因著我們的網絡事工
[00:03:10.880 --> 00:03:18.080]  很多弟兄姊妹有一個很好的習慣 不一定是讀經的一個必然的做法
[00:03:18.080 --> 00:03:27.040]  不過其中一個做法就是按照我們教會講道的書卷來做它的靈修
[00:03:27.040 --> 00:03:32.160]  有不少弟兄姊妹都和我分享到這個做法很有幫助
[00:03:32.160 --> 00:03:44.160]  而最近有一個信徒問起我 福斯我現在準備去以老家福音去靈修
[00:03:44.160 --> 00:03:51.840]  不過我找不到你有講道 我說不是吧 老家福音我會不講
[00:03:51.840 --> 00:03:58.720]  誰知道自己一查發現原來這麼多年的老家福音都講得很零零碎碎
[00:03:58.720 --> 00:04:08.480]  不是整卷的福音書去講 我完成了的有馬太福音有馬可福音有約翰福音
[00:04:08.480 --> 00:04:16.560]  唯獨在老家福音裏面我是未完整地順序有系統地和大家去思想
[00:04:16.560 --> 00:04:24.640]  所以我覺得還了兩個心願 第一個心願就是福音書我可以完整地將它講完一次
[00:04:24.640 --> 00:04:30.240]  我不知道我人生還有沒有機會再講同一卷的書卷
[00:04:30.240 --> 00:04:38.640]  我希望在每一次我講的書卷裏面盡量將我在聖經裏面的學習和大家去講
[00:04:38.640 --> 00:04:43.600]  一切的思想 這是我的其中一個思心也好
[00:04:43.600 --> 00:04:55.280]  另一個我希望的就是至少可以幫助大兄姐妹在不同的方書裏面去透徹認識上帝的心思
[00:04:55.280 --> 00:05:03.200]  你說牧師講成年年幾這麼長的嗎? 要這麼長的 如果要細心去讀
[00:05:03.200 --> 00:05:12.640]  會不會讀著讀著聽著我會迷失的 只看到一棵樹上的一片葉或者一朵花看不到整棵樹
[00:05:12.640 --> 00:05:20.080]  我會不時和大家看一棵樹究竟講些什麼 所以大家不需要太過擔心
[00:05:20.080 --> 00:05:29.280]  今天我們會開始《路加福音》最開頭的第一章 我們會從第一節到第四節
[00:05:29.280 --> 00:05:35.440]  我們今天所看的題目就是「信主不可以求求其奇」
[00:05:35.440 --> 00:05:44.640]  我想世故很多人都不會想到這是這段聖經的題目 究竟講些什麼呢?讓我們去仔細去看一下
