
[00:00:00.000 --> 00:00:05.200]  好,謝謝趙全道
[00:00:05.200 --> 00:00:09.400]  歡迎大家,也很高興在這裡見面
[00:00:09.400 --> 00:00:12.200]  這是一個很特別的機會
[00:00:12.200 --> 00:00:16.400]  我也是第一次在Zoom跟大家分享
[00:00:16.400 --> 00:00:20.200]  教會很好,同步可以做streaming
[00:00:20.200 --> 00:00:22.400]  去很多不同的地方
[00:00:22.400 --> 00:00:25.400]  也知道有很多不同國家的朋友
[00:00:25.400 --> 00:00:28.200]  實在很高興這段時間在這裡
[00:00:28.200 --> 00:00:32.200]  在趙全道還沒幫我播那幾張powerpoint之前
[00:00:32.200 --> 00:00:36.200]  首先有幾件事要跟大家說
[00:00:36.200 --> 00:00:40.200]  第一件事就是當我一直幫這個聚會
[00:00:40.200 --> 00:00:42.200]  跟很多人分享的時候
[00:00:42.200 --> 00:00:44.200]  有些人問我一個問題
[00:00:44.200 --> 00:00:47.200]  「呃,呂全道,是不是有很多歌聽?」
[00:00:47.200 --> 00:00:50.200]  「是不是叫交響樂曲?」
[00:00:50.200 --> 00:00:53.200]  「有什麼歌聽?有什麼樂器?」
[00:00:53.200 --> 00:00:56.200]  如果大家是為了聽歌而來
[00:00:56.200 --> 00:00:57.200]  可能你會極度失望
[00:00:57.200 --> 00:01:01.200]  因為雖然有剛才那首歌這麼動聽
[00:01:01.200 --> 00:01:04.200]  最後也有我一首歌給大家聽
[00:01:04.200 --> 00:01:10.200]  但中間是說上帝在我身上的故事
[00:01:10.200 --> 00:01:13.200]  我真的覺得是一個交響曲
[00:01:13.200 --> 00:01:14.200]  什麼意思呢?
[00:01:14.200 --> 00:01:15.200]  因為交響曲如果你知道
[00:01:15.200 --> 00:01:17.200]  就有不同的movement
[00:01:17.200 --> 00:01:20.200]  有些可能是快的,有些可能是慢的
[00:01:20.200 --> 00:01:24.200]  就好像坐過山車,有高有低
[00:01:24.200 --> 00:01:26.200]  我覺得人生因為上帝
[00:01:26.200 --> 00:01:28.200]  我都有不同的
[00:01:28.200 --> 00:01:30.200]  可能你覺得很激昂的時候
[00:01:30.200 --> 00:01:32.200]  也可能有些很悲傷的時候
[00:01:32.200 --> 00:01:36.200]  今天就跟大家分享我這個生命的故事
[00:01:36.200 --> 00:01:39.200]  另外當我分享完之後
[00:01:39.200 --> 00:01:41.200]  我想我大概會分享45分鐘
[00:01:41.200 --> 00:01:42.200]  我分享完之後
[00:01:42.200 --> 00:01:44.200]  我會跟大家做一個祈禱
[00:01:44.200 --> 00:01:46.200]  因為我們今天是一個報道會
[00:01:46.200 --> 00:01:49.200]  而我一生有這麼大的轉變
[00:01:49.200 --> 00:01:50.200]  都是因為耶穌
[00:01:50.200 --> 00:01:54.200]  所以我很想邀請你去相信耶穌
[00:01:54.200 --> 00:01:57.200]  但這個邀請你不用跟我講
[00:01:57.200 --> 00:01:58.200]  你要跟耶穌講
[00:01:58.200 --> 00:02:01.200]  我待會帶你一起跟耶穌講
[00:02:01.200 --> 00:02:03.200]  你究竟願不願意去接受
[00:02:03.200 --> 00:02:05.200]  祂那份恩典、祂那份禮物
[00:02:05.200 --> 00:02:07.200]  剛才我立刻想到
[00:02:07.200 --> 00:02:09.200]  我也很想送禮物給大家
[00:02:09.200 --> 00:02:12.200]  如果大家真的最後跟我一起做
[00:02:12.200 --> 00:02:13.200]  決志祈禱之後
[00:02:13.200 --> 00:02:15.200]  希望你告訴教會
[00:02:15.200 --> 00:02:18.200]  無論你什麼時候聽到錄影錄音
[00:02:18.200 --> 00:02:20.200]  你告訴教會
[00:02:20.200 --> 00:02:22.200]  教會也會告訴我
[00:02:22.200 --> 00:02:26.200]  我會特意為你們錄一段
[00:02:26.200 --> 00:02:28.200]  究竟相信了耶穌之後
[00:02:28.200 --> 00:02:29.200]  其實做些什麼
