
[00:00:00.000 --> 00:00:06.000]  今晚是我們最後一次在一起
[00:00:06.000 --> 00:00:10.000]  有一些總結的說話
[00:00:10.000 --> 00:00:12.000]  希望跟大家說一下
[00:00:12.000 --> 00:00:16.000]  以色列是一個微不足道的國家
[00:00:16.000 --> 00:00:20.000]  在地球上你只是一點
[00:00:20.000 --> 00:00:22.000]  你很難找到它
[00:00:22.000 --> 00:00:27.000]  它的面積差不多是紐澤西州這麼大
[00:00:27.000 --> 00:00:32.000]  在加州來說差不多是十分之一的面積
[00:00:32.000 --> 00:00:35.000]  是一個這麼微小的國家
[00:00:35.000 --> 00:00:37.000]  為什麼值得我們這麼關注
[00:00:37.000 --> 00:00:40.000]  甚至是這麼關愛呢
[00:00:40.000 --> 00:00:45.000]  以至於你和我都放下了差不多十天的工作
[00:00:45.000 --> 00:00:48.000]  走來這裡看呢
[00:00:48.000 --> 00:00:53.000]  為什麼以色列值得我們這麼關心呢
[00:00:53.000 --> 00:00:58.000]  猶太人在全世界只有一千四百萬的猶太人
[00:00:58.000 --> 00:01:04.000]  其中大概有八百萬在以色列這裡
[00:01:04.000 --> 00:01:09.000]  其他還有好幾百萬是分散在世界的各地
[00:01:09.000 --> 00:01:12.000]  我們來到又不是認識有猶太人
[00:01:12.000 --> 00:01:14.000]  我們本身又不是猶太人
[00:01:14.000 --> 00:01:18.000]  為什麼我們這麼關注這麼關心呢
[00:01:18.000 --> 00:01:23.000]  這次我希望大家來到之後都對以色列有愛
[00:01:23.000 --> 00:01:25.000]  為什麼我們要這樣做呢
[00:01:25.000 --> 00:01:27.000]  我想有幾個理由
[00:01:27.000 --> 00:01:30.000]  第一個理由是上帝很愛以色列
[00:01:30.000 --> 00:01:33.000]  其實這個理由已經夠了
[00:01:33.000 --> 00:01:36.000]  上帝所愛的你和我就應該去愛
[00:01:36.000 --> 00:01:39.000]  上帝是很愛很愛以色列
[00:01:39.000 --> 00:01:41.000]  我讀幾節經文給大家聽
[00:01:41.000 --> 00:01:44.000]  詩篇第47篇第4節
[00:01:44.000 --> 00:01:48.000]  耶和華所愛之雅各
[00:01:48.000 --> 00:01:52.000]  那裡不只是說雅各這個歷史的人物
[00:01:52.000 --> 00:01:55.000]  雅各乃是代表以色列
[00:01:55.000 --> 00:01:59.000]  在烈王記上第十章第九節
[00:01:59.000 --> 00:02:03.000]  耶和華是永遠的愛以色列
[00:02:03.000 --> 00:02:05.000]  永遠的愛
[00:02:05.000 --> 00:02:09.000]  生命記第七章第七至第八節
[00:02:09.000 --> 00:02:14.000]  耶和華專愛你們以色列人
[00:02:14.000 --> 00:02:17.000]  揀選你們因為耶和華愛你們
[00:02:17.000 --> 00:02:22.000]  聖經裡上帝多次透過他的僕人
[00:02:22.000 --> 00:02:25.000]  和以色列人說我真的很愛你
[00:02:25.000 --> 00:02:28.000]  我專愛你我特別的愛你
[00:02:28.000 --> 00:02:31.000]  生命記第十章第十五節說
[00:02:31.000 --> 00:02:35.000]  耶和華喜悅你的列祖愛你們
[00:02:35.000 --> 00:02:38.000]  從萬民中揀選他的後裔
[00:02:38.000 --> 00:02:40.000]  就是你們這些猶太人
[00:02:40.000 --> 00:02:44.000]  是上帝特別揀選這些人
[00:02:44.000 --> 00:02:46.000]  荷西亞書第三章
[00:02:46.000 --> 00:02:48.000]  荷西亞我們知道
[00:02:48.000 --> 00:02:51.000]  先知神叫她去娶一個淫婦
[00:02:51.000 --> 00:02:53.000]  娶一個妓女
[00:02:53.000 --> 00:02:56.000]  這是對丈夫很不忠的女子
[00:02:56.000 --> 00:02:59.000]  但是神透過荷西亞說
