
[00:00:00.000 --> 00:00:05.440]  大胃卷第22章
[00:00:05.440 --> 00:00:08.760]  大胃卷一共有25章
[00:00:08.760 --> 00:00:10.760]  所以已經接近尾聲
[00:00:10.760 --> 00:00:13.840]  還有幾個星期我就會講完
[00:00:13.840 --> 00:00:18.320]  今天要講十五以下的十九章和二十章
[00:00:18.320 --> 00:00:20.320]  一共是兩章的經文
[00:00:20.320 --> 00:00:22.720]  那你說牧師
[00:00:22.720 --> 00:00:26.400]  為什麼你將十九章和二十章放在一起
[00:00:26.400 --> 00:00:28.400]  有什麼年代的關係
[00:00:28.400 --> 00:00:35.440]  其實這兩章的書我們能夠看到有很多自私自利的人
[00:00:35.440 --> 00:00:40.400]  他們都是為了自己而不是求別人的益處
[00:00:40.400 --> 00:00:44.320]  但也有一個人是我們意想不到的
[00:00:44.320 --> 00:00:49.280]  是一個無關重要的人居然不是自私自利
[00:00:49.280 --> 00:00:53.040]  居然他就是為了別人而活
[00:00:53.040 --> 00:00:56.080]  這是一個相反的寫照
[00:00:56.080 --> 00:00:59.520]  我們遲些就會看到這個人是誰
[00:00:59.520 --> 00:01:02.400]  所以我今天給他的題目就是
[00:01:02.400 --> 00:01:06.560]  自私制紛爭靠主蒙複雜
[00:01:06.560 --> 00:01:11.520]  這是針研的二十八章第25節
[00:01:11.520 --> 00:01:14.800]  等下我們講這個故事的時候
[00:01:14.800 --> 00:01:17.440]  大家可以留意一下這些故事裏面
[00:01:17.440 --> 00:01:19.760]  有哪些人是自私自利
[00:01:19.760 --> 00:01:22.960]  有哪些人是相反的呢
[00:01:22.960 --> 00:01:28.720]  第十九章很清楚的主題就是王的回來
[00:01:28.720 --> 00:01:30.320]  王的歸回
[00:01:30.320 --> 00:01:34.720]  我們知道大衛被他自己的兒子亞沙隆追殺
[00:01:34.720 --> 00:01:36.960]  追到他落荒而逃
[00:01:36.960 --> 00:01:42.320]  現在亞沙隆死了他應該可以回到耶路撒冷
[00:01:42.320 --> 00:01:46.960]  雖然當他被亞沙隆追殺的時候
[00:01:46.960 --> 00:01:51.120]  跑到約旦河對面馬哈廉這個地方
