
[00:00:00.000 --> 00:00:04.600]  各位大英姐妹 早晨
[00:00:04.600 --> 00:00:05.800]  早晨
[00:00:05.800 --> 00:00:09.400]  哇 剛才早了坐在前面
[00:00:09.400 --> 00:00:11.900]  跟著唱詩的時候一望後面
[00:00:11.900 --> 00:00:14.440]  看到很多的面孔 真是很感恩
[00:00:14.440 --> 00:00:17.800]  我們大家望一望周圍的大英姐妹 好嗎?
[00:00:17.800 --> 00:00:19.800]  有沒有一些你不認識的?
[00:00:19.800 --> 00:00:21.080]  有沒有一些年輕人
[00:00:21.080 --> 00:00:23.600]  你是不知道他叫什麼名字的?
[00:00:23.600 --> 00:00:25.240]  如果不知道你問一下他
[00:00:25.240 --> 00:00:27.600]  你說 我不知道你叫什麼名字
[00:00:27.600 --> 00:00:30.800]  Monica 你知不知道後面那兩個年輕人叫什麼名字?
[00:00:30.800 --> 00:00:32.200]  不知道吧?
[00:00:32.200 --> 00:00:34.200]  你問一下他吧
[00:00:34.200 --> 00:00:38.300]  又不想問他什麼的
[00:00:38.300 --> 00:00:41.700]  他有一個小朋友在後面兒童崇拜
[00:00:41.700 --> 00:00:45.400]  所以很開心見到大家
[00:00:45.400 --> 00:00:46.800]  剛才大家有沒有留意
[00:00:46.800 --> 00:00:50.200]  詩歌的PowerPoint其中有一張的背景
[00:00:50.200 --> 00:00:52.100]  是一個燈塔
[00:00:52.100 --> 00:00:54.000]  哇 這張照片很漂亮
[00:00:54.000 --> 00:00:57.600]  下一次我講到我們是炎和光
[00:00:57.600 --> 00:01:00.800]  我也想問各位弟兄借來再用
[00:01:00.800 --> 00:01:02.200]  因為燈塔
[00:01:02.200 --> 00:01:03.900]  不知道為什麼從小開始
[00:01:03.900 --> 00:01:05.600]  我就很喜歡燈塔
[00:01:05.600 --> 00:01:08.600]  說起燈塔
[00:01:08.600 --> 00:01:09.200]  怎麼說呢?
[00:01:09.200 --> 00:01:10.800]  一見到這個燈塔
[00:01:10.800 --> 00:01:15.500]  我就覺得人生真是有指引 有方向
[00:01:15.500 --> 00:01:18.400]  今天我們講到這個僕人領袖
[00:01:18.400 --> 00:01:19.800]  其實都一樣
[00:01:19.800 --> 00:01:22.500]  究竟當做僕人 當做領袖
[00:01:22.500 --> 00:01:24.900]  當做僕人領袖的時候
[00:01:24.900 --> 00:01:27.300]  哪一個是我們的主人
[00:01:27.300 --> 00:01:29.900]  哪一個是我們的燈塔
[00:01:29.900 --> 00:01:32.200]  今天就是僕人領袖
[00:01:32.200 --> 00:01:35.200]  下一個星期就是是敵是友
[00:01:35.200 --> 00:01:38.800]  其實可以說這兩次崇拜是同一個主題
[00:01:38.800 --> 00:01:41.500]  就是我們基督徒怎麼做見證
[00:01:41.500 --> 00:01:45.300]  我們基督徒怎麼做上帝的僕人
[00:01:45.300 --> 00:01:47.100]  想問一下大家
[00:01:47.100 --> 00:01:50.700]  哪一個是僕人?
[00:01:50.700 --> 00:01:53.700]  有人指著我 說你吧
[00:01:53.700 --> 00:01:57.400]  牧師我們做牧者的就要做僕人
[00:01:57.400 --> 00:02:00.400]  指自己 牧師說他自己
[00:02:00.400 --> 00:02:05.000]  那僕人做些什麼的呢?
[00:02:05.000 --> 00:02:06.300]  洗廁所
[00:02:06.300 --> 00:02:09.800]  我們很多廁所 牧師
