
[00:00:00.000 --> 00:00:07.360]  我們就回到第一節
[00:00:07.360 --> 00:00:11.920]  我們會整張去看的 OK
[00:00:11.920 --> 00:00:13.680]  好 羅馬書第四章 OK
[00:00:13.680 --> 00:00:16.460]  背景是什麼呢?做一點溫故知新
[00:00:16.460 --> 00:00:21.800]  羅馬書基本上整本書都有講恩信、清義的道理
[00:00:21.800 --> 00:00:27.200]  不過第一章它首先就講到世人都犯了罪
[00:00:27.200 --> 00:00:30.460]  第一章就特別講一些外邦人不乾不義
[00:00:30.460 --> 00:00:33.840]  一大堆罵人的說話 不知道大家記不記得
[00:00:33.840 --> 00:00:35.840]  所以那些外邦人很壞的
[00:00:35.840 --> 00:00:38.520]  所以唯有靠神的恩典
[00:00:38.520 --> 00:00:41.600]  接著去到第二章就不止外邦人壞
[00:00:41.600 --> 00:00:42.780]  猶太人也是這麼壞
[00:00:42.780 --> 00:00:44.800]  猶太人自己以為自己很好
[00:00:44.800 --> 00:00:48.360]  其實都是一些偽君子 第二章的主題
[00:00:48.360 --> 00:00:51.960]  第三章上半段其實都是繼續講這件事
[00:00:51.960 --> 00:00:54.520]  總結就是世人都犯了罪
[00:00:54.520 --> 00:00:58.160]  OK 虧欠了神的榮耀 三章三節總結
[00:00:58.160 --> 00:01:03.400]  OK 接著保羅在第三章結尾的時候
[00:01:03.400 --> 00:01:07.720]  就很簡短的講了所謂恩信、清義的道理
[00:01:07.720 --> 00:01:10.920]  就講到我們所有人能夠得救
[00:01:10.920 --> 00:01:15.600]  都是在律法以外的義 顯明出來了
[00:01:15.600 --> 00:01:20.160]  於是第三章講完在律法以外的義
[00:01:20.160 --> 00:01:23.520]  就是這種的恩信、清義 不是靠律法、清義
[00:01:23.520 --> 00:01:25.040]  講了這個主線之後
[00:01:25.040 --> 00:01:28.960]  第四章接著就講這個阿伯拉罕的故事
[00:01:28.960 --> 00:01:31.640]  為什麼要講阿伯拉罕呢?
[00:01:31.640 --> 00:01:36.120]  因為阿伯拉罕就是當時候的猶太人
[00:01:36.120 --> 00:01:38.720]  他們心目中的英雄
[00:01:38.720 --> 00:01:40.800]  如果你問猶太人
[00:01:40.800 --> 00:01:43.320]  誰是我們的典範人物呢?
[00:01:43.320 --> 00:01:44.920]  就是阿伯拉罕
[00:01:44.920 --> 00:01:46.440]  如果你問今天
[00:01:46.440 --> 00:01:49.600]  如果你在中國的共產黨教育、讀書
[00:01:49.600 --> 00:01:53.360]  誰是典範人物呢?就是雷鋒
[00:01:53.360 --> 00:01:56.120]  很厲害 我也是姓雷的 不過雷鋒
[00:01:56.120 --> 00:01:58.640]  無論如何 有個典範人物
[00:01:58.640 --> 00:02:00.840]  你是吃他的殼的
[00:02:00.840 --> 00:02:03.880]  阿伯拉罕就是個典範
[00:02:03.880 --> 00:02:08.200]  保羅在這裡做的事情是挺特別的
[00:02:08.200 --> 00:02:10.640]  保羅當然不知道什麼叫後現代主義
[00:02:10.640 --> 00:02:12.880]  不過他做的事情都挺後現代的
[00:02:12.880 --> 00:02:15.160]  其實他在做一件事就是解構
[00:02:15.160 --> 00:02:16.800]  所謂Deconstruct
[00:02:16.800 --> 00:02:18.400]  就是解構到底
