
[00:00:00.000 --> 00:00:05.000]  請你幫我打開新約聖經士道行傳第十章
[00:00:05.000 --> 00:00:08.000]  士道行傳第十章
[00:00:08.000 --> 00:00:17.000]  我們會由34節讀到43節
[00:00:17.000 --> 00:00:23.000]  士道行傳第十章34到43節我們一起讀
[00:00:23.000 --> 00:00:25.000]  彼得就開口說:
[00:00:25.000 --> 00:00:33.000]  我真看出神是不偏待人,原來各國敬畏主行義的人,遭為主所悅了。
[00:00:33.000 --> 00:00:41.000]  神藉著耶穌基督,他是萬有的主,傳和平的福音,將這道賜給以色列人。
[00:00:41.000 --> 00:00:48.000]  這話在約翰宣傳洗禮以後從加里利起傳遍了猶太。
[00:00:48.000 --> 00:00:55.000]  神怎樣以聖靈和能力高拿撒勒人耶穌,這都是你們知道的。
[00:00:55.000 --> 00:01:03.000]  他就留四方行善事,醫好凡被魔鬼壓制的人,因為神與他同在。
[00:01:03.000 --> 00:01:14.000]  他在猶太人之地,並耶路撒冷所行的一切事,由我們作見證,他們竟把他掛在木頭上殺了。
[00:01:14.000 --> 00:01:26.000]  第三天,神叫他復活,顯現出來,不是顯現給眾人看,乃是顯現給神預先所揀選為他作見證的人看。
[00:01:26.000 --> 00:01:32.000]  就是我們這些在他從死去復活以後和他同吃同喝的人。
[00:01:32.000 --> 00:01:41.000]  他吩咐我們全道給眾人,證明他是神所立定的,要作審判沒人死人的主。
[00:01:41.000 --> 00:01:50.000]  眾先知也為他作見證說凡信他的人必因他的名得蒙赦罪。
[00:01:50.000 --> 00:02:06.000]  留意彼得在這處向這位羅馬的官長戈利劉先生介紹福音,介紹主耶穌基督的時候。
[00:02:06.000 --> 00:02:20.000]  他是從耶穌怎樣來到這個世界,怎樣在世周流四方行善事,醫好凡被魔鬼壓制的人。
[00:02:20.000 --> 00:02:32.000]  又提到他怎樣死在十字架上,第三天神叫他復活,顯現給一班使徒看。
[00:02:32.000 --> 00:02:47.000]  但還未完,彼得在這處介紹主耶穌的身份和工作的時候,高潮在哪裡?
[00:02:47.000 --> 00:02:56.000]  就是他將來要再回來審判活人死人。
[00:02:56.000 --> 00:03:12.000]  我們對於聖經裡提及最後的審判,我們聽很多,不過我想給你一個警告,一個很嚴肅的警告,不是開玩笑的。
[00:03:12.000 --> 00:03:23.000]  這個警告就是很多時候我們只是將聖經說審判的外表從聖經裡拿過來,
[00:03:23.000 --> 00:03:34.000]  但內涵很多時候不是從聖經裡,好像包餃子包雲吞那樣,外皮是聖經的,
[00:03:34.000 --> 00:03:43.000]  但餡料裡面是韭菜豬肉還是肥豬肉鮮蝦還是什麼的,是我們自己塞進去的。
[00:03:43.000 --> 00:03:57.000]  我試著給你看看我們心目中的審判是什麼意思,然後我又試著給你看看聖經怎樣跟我們說審判。
[00:03:57.000 --> 00:04:08.000]  就算你沒機會去過法庭,有多少人去過法庭旁聽過審判?很多,是不是做陪審員?
[00:04:08.000 --> 00:04:25.000]  不是嗎?就算你沒機會去過,沒舉手的人,你都大概在電視機的什麼七號王庭,那些電視劇上,你都會見過法庭審案的場面,
[00:04:25.000 --> 00:04:36.000]  法官高高在上,叫大家起來,戴著假髮進來坐在那裡,檢察官還是主控官起來宣讀罪狀,
[00:04:36.000 --> 00:04:49.000]  被告站在犯人欄上,律師盤問證人,噴口水噴到你的鼻子那裡,侮辱你激怒你,你一定要回答。
[00:04:49.000 --> 00:05:05.000]  在一個法庭審判的過程當中,很自然你和我的注意力,就是集中在到最後陪審團要宣布被告有罪還是無罪。
[00:05:05.000 --> 00:05:15.000]  那個是最緊張的時刻,當陪審團回來了,法官問首席陪審員,被告有罪還是無罪?
[00:05:15.000 --> 00:05:21.000]  大家就忍著呼吸,不敢透氣,聽他說有罪還是無罪。
[00:05:21.000 --> 00:05:32.000]  今天這個司法的制度,其實在法律的歷史當中,我們當中有沒有人讀法律的?有沒有?沒有嗎?
[00:05:32.000 --> 00:05:42.000]  你知道嗎?我們今天這個觀念,審到最後才判他有罪無罪,這個其實是一個所謂海洋法的觀念。
[00:05:42.000 --> 00:05:49.000]  為什麼我們今天對於中國的審案這麼糊塗呢?
[00:05:49.000 --> 00:05:56.000]  不是一定因為是共產黨,因為是極權國家,其實是法律傳統的不同。
[00:05:56.000 --> 00:06:06.000]  你有沒有留意看包青天?包青天如果你當他是今天在英國法律制度下的法官,你錯了。
