
[00:00:00.000 --> 00:00:11.440]  今天和大家一起思想的經文是出自於加拉太書第四章第21至第26節
[00:00:11.440 --> 00:00:16.240]  今天所說的題目就是神應許的效力
[00:00:16.240 --> 00:00:20.080]  讓我們開始之前打開這段經文
[00:00:20.080 --> 00:00:25.120]  讓我們一起對聖經有更準確的了解
[00:00:25.120 --> 00:00:30.880]  我們打開之後一起讀加拉太書第四章第21節
[00:00:30.880 --> 00:00:36.640]  你們這願意在律法以下的人請告訴我
[00:00:36.640 --> 00:00:39.440]  你們豈沒有聽見律法嗎?
[00:00:39.440 --> 00:00:44.320]  因為律法上記著阿伯拉罕有兩個兒子
[00:00:44.320 --> 00:00:49.760]  一個是侍女生的一個是自主之婦人生的
[00:00:49.760 --> 00:00:54.640]  然而那侍女所生的是按著血氣生的
[00:00:54.640 --> 00:00:59.280]  那自主之婦人所生的是憑著應許生的
[00:00:59.280 --> 00:01:01.520]  這都是比方
[00:01:01.520 --> 00:01:04.800]  那兩個婦人就是兩躍
[00:01:04.800 --> 00:01:07.440]  一躍是出於西來山
[00:01:07.440 --> 00:01:10.960]  生子為奴乃是下甲
[00:01:10.960 --> 00:01:15.920]  這下甲二字是指著阿拉伯的西來山
[00:01:15.920 --> 00:01:19.440]  與現在的耶路撒冷同類
[00:01:19.440 --> 00:01:24.560]  因耶路撒冷和他的兒女都是為奴的
[00:01:24.560 --> 00:01:28.240]  那在上的耶路撒冷是自主的
[00:01:28.240 --> 00:01:30.720]  他是我們的母
[00:01:30.720 --> 00:01:33.680]  在新約聖經裏面
[00:01:33.680 --> 00:01:39.600]  作者馬太曾經在馬太福音第五章十七節裏面
[00:01:39.600 --> 00:01:41.360]  曾經說過一句這樣的說話
[00:01:41.360 --> 00:01:45.760]  他說:莫想我來要廢掉律法
[00:01:45.760 --> 00:01:50.400]  我才知我來不是要廢掉乃是要成全
[00:01:50.400 --> 00:01:54.080]  這句說話是主耶穌基督當時去回應
[00:01:54.080 --> 00:01:56.800]  當時有人去挑戰他
[00:01:56.800 --> 00:02:01.280]  甚至以為他是來要廢掉了舊約的聖經
[00:02:01.280 --> 00:02:06.800]  但其實耶穌在這句說話裏面寫得非常清楚
[00:02:06.800 --> 00:02:11.200]  他說:我來不是要廢掉律法王先知
[00:02:11.200 --> 00:02:15.760]  而是要將他完完全全的去將他履行
[00:02:15.760 --> 00:02:18.080]  甚至將他實現起來
[00:02:18.080 --> 00:02:22.160]  但這句經文對於很多基督徒來說
[00:02:22.160 --> 00:02:27.040]  可以說在神學上是感到很多疑惑
[00:02:27.040 --> 00:02:32.800]  到底他們認為信主是否只是憑著神的恩典
[00:02:32.800 --> 00:02:37.280]  或者簡單來說憑著上帝耶穌基督的救恩
[00:02:37.280 --> 00:02:43.040]  還是他們仍然是需要信守舊約的一切律法呢
[00:02:43.040 --> 00:02:50.400]  這句經文讓很多信徒解開了他們不少的疑惑
[00:02:50.400 --> 00:02:53.120]  但同時也導致一個情況
[00:02:53.120 --> 00:02:58.080]  是否我們需要再次去遷守律法呢
[00:02:58.080 --> 00:03:02.880]  我相信這種矛盾和這種疑竇
[00:03:02.880 --> 00:03:06.240]  對於很多今天的基督徒來說
[00:03:06.240 --> 00:03:08.960]  其實都在我們裏面
[00:03:08.960 --> 00:03:15.120]  因為我相信即使在當時的新約時期的加拉太教會
[00:03:15.120 --> 00:03:20.160]  正因為他們也有這種類似的懷疑或者疑惑
[00:03:20.160 --> 00:03:24.880]  導致當那些假教師、假師傅、假信徒
[00:03:24.880 --> 00:03:27.120]  甚至假的教會領袖
[00:03:27.120 --> 00:03:32.320]  他們隨著這一番話就很容易去乘虛而入
[00:03:32.320 --> 00:03:37.120]  使得他們能夠將他一甩一扯的拉回他們
[00:03:37.120 --> 00:03:41.440]  去遷守舊約的律法這個行動
[00:03:41.440 --> 00:03:46.560]  認為這樣他們才可以得著成為神的子民的身份
[00:03:46.560 --> 00:03:50.800]  其實這種情況是導致很多人
[00:03:50.800 --> 00:03:54.720]  掉入錯誤的福音律裡面
[00:03:54.720 --> 00:03:59.040]  所以今天我們藉著保羅在這段經文
[00:03:59.040 --> 00:04:03.040]  承著我們前頭已經說過第四章的開頭
[00:04:03.040 --> 00:04:06.480]  保羅帶著一份慈情懇切的態度
[00:04:06.480 --> 00:04:09.920]  去幫助加拉太的宗教會信徒
