
[00:00:00.000 --> 00:00:05.600]  接著我們一起來思想聖經的說話
[00:00:05.600 --> 00:00:08.200]  大家記得我們上星期是猜拳的主人
[00:00:08.200 --> 00:00:11.200]  而今天我們繼續思想有關猜拳的訊息
[00:00:11.200 --> 00:00:15.200]  但願神的心上重在我們裡面
[00:00:15.200 --> 00:00:17.800]  體會到祂關心猜拳的事
[00:00:17.800 --> 00:00:20.400]  而我們也關心祂所關心的事情
[00:00:20.400 --> 00:00:21.600]  大家再一起祈禱
[00:00:21.600 --> 00:00:23.000]  將時間加給主
[00:00:23.000 --> 00:00:25.200]  天父多謝祢
[00:00:25.200 --> 00:00:28.200]  因為祢不單止賜給我們救恩
[00:00:28.200 --> 00:00:33.000]  祢更加將叫人與祢和好的積分賜給我們
[00:00:33.000 --> 00:00:35.200]  讓我們可以在人生的路上
[00:00:35.200 --> 00:00:38.000]  竟然可以成為別人的祝福
[00:00:38.000 --> 00:00:40.200]  主啊求祢使用我們
[00:00:40.200 --> 00:00:42.000]  求祢激勵我們
[00:00:42.000 --> 00:00:44.000]  讓祢透過我們生命
[00:00:44.000 --> 00:00:47.000]  可以祝福其他的人
[00:00:47.000 --> 00:00:49.400]  求祢這樣帶領這段時間
[00:00:49.400 --> 00:00:50.800]  引導我們明白
[00:00:50.800 --> 00:00:52.600]  又領受真理
[00:00:52.600 --> 00:00:55.200]  我們祈禱奉耶穌聖名求
[00:00:55.200 --> 00:00:57.200]  阿們
[00:00:57.200 --> 00:00:59.200]  大家翻開聖經
[00:00:59.200 --> 00:01:02.200]  《藏世紀》第十二章的經文
[00:01:02.200 --> 00:01:03.800]  我們的題目是
[00:01:03.800 --> 00:01:08.200]  「所以你們要去叫別人得福」
[00:01:08.200 --> 00:01:09.600]  聖經提到
[00:01:09.600 --> 00:01:11.200]  神要我們去
[00:01:11.200 --> 00:01:15.200]  目的是要叫別人得福
[00:01:15.200 --> 00:01:17.200]  如果大家很多時候
[00:01:17.200 --> 00:01:18.600]  都會讀到一節聖經
[00:01:18.600 --> 00:01:20.600]  在我們基督徒常常會提及的
[00:01:20.600 --> 00:01:22.600]  「若有人在基督裡
[00:01:22.600 --> 00:01:25.200]  他就是新造的人
[00:01:25.200 --> 00:01:28.800]  舊事已過都變成新的了」
[00:01:28.800 --> 00:01:31.400]  「新造的人」這句話是很特別
[00:01:31.400 --> 00:01:32.800]  原來意思是
[00:01:32.800 --> 00:01:35.600]  「新的創造」
[00:01:35.600 --> 00:01:37.200]  誰在耶穌基督裡
[00:01:37.200 --> 00:01:40.200]  他成為了新的創造
[00:01:40.200 --> 00:01:41.800]  因此神給我們的救恩
[00:01:41.800 --> 00:01:44.200]  不單把我們舊的生命
[00:01:44.200 --> 00:01:46.400]  變成新的生命
[00:01:46.400 --> 00:01:49.800]  聖經用「重生」的字來描寫
[00:01:49.800 --> 00:01:52.200]  同時這個「創造」有特別的含義
