
[00:00:00.000 --> 00:00:05.000]  各位電影姐妹 主禮平安
[00:00:05.000 --> 00:00:11.000]  新的一年 我希望在今年的上半
[00:00:11.000 --> 00:00:14.000]  和大家一起在晚堂崇拜
[00:00:14.000 --> 00:00:22.000]  用六次的講道 來講解《瑪拉基書》
[00:00:22.000 --> 00:00:36.000]  希望能夠幫助你們明白這卷在舊約聖經壓軸最後的先知書
[00:00:36.000 --> 00:00:46.000]  不是很長的 這卷書總共有四章五十五節 分開六段
[00:00:46.000 --> 00:00:55.000]  重要不重要呢? 放在舊約聖經結束總結的一卷
[00:00:55.000 --> 00:01:01.000]  講什麼呢? 剛才多謝主席為我們開了頭
[00:01:01.000 --> 00:01:06.000]  不過《瑪拉基書》不可以停在一章二節 還沒有講完
[00:01:06.000 --> 00:01:12.000]  我們先讀一次第一段 我讀給大家聽
[00:01:12.000 --> 00:01:16.000]  請留心聽神的話
[00:01:16.000 --> 00:01:32.000]  我曾愛你們 你們卻說 你在何事上愛我們呢?
[00:01:32.000 --> 00:01:52.000]  耶和華說:以素不是雅各的哥哥嗎? 我卻愛雅各,護以素,使他的山嶺荒涼,把他的地業交給曠野的野狗。
[00:01:52.000 --> 00:02:08.000]  以東人說:我們現在雖被毀壞,卻要重建荒廢之處。萬君知耶和華如此說任他們建造,我必拆毀。
[00:02:08.000 --> 00:02:19.000]  人必稱他們的地為罪惡之境,稱他們的民為耶和華永遠老路之民。
[00:02:19.000 --> 00:02:32.000]  你們必親眼看見,也必說:願耶和華在以色列境界之外被尊為大人。
[00:02:32.000 --> 00:02:39.000]  每個字都懂得解釋 加在一起到底說了些什麼呢?
[00:02:39.000 --> 00:02:48.000]  聖經說道不是重覆一次 正如我以前的中學國文老師說的
[00:02:48.000 --> 00:02:53.000]  大家不明白嗎? 再讀一次 提高八度 又讀一次
[00:02:53.000 --> 00:02:57.000]  你還是不明白的 所以我們的責任在短短半個小時內
[00:02:57.000 --> 00:03:02.000]  我想你明白上帝說了些什麼 為什麼不明白?
[00:03:02.000 --> 00:03:16.000]  因為我們不是當時聽上帝說話的百姓 我們是偷聽的
[00:03:16.000 --> 00:03:25.000]  如果用耶穌的比喻 猶太人是哥哥 外邦人是弟弟
[00:03:25.000 --> 00:03:32.000]  耶穌的比喻有很多兄弟 浪子回頭 出去葡萄園工作
[00:03:32.000 --> 00:03:41.000]  你記得浪子回頭 爸爸和哥哥說話 弟弟不一定聽得懂
[00:03:41.000 --> 00:03:47.000]  因為有很多時候發生的事情 弟弟還沒有出生
[00:03:47.000 --> 00:03:52.000]  怎麼會有可能的? 可能 因為善後次序
[00:03:52.000 --> 00:04:03.000]  我們先明白一下當時的情況 馬拉基先知向神的子民說話
[00:04:03.000 --> 00:04:09.000]  是何時的事? 如果要說中國歷史 就是春秋戰國
[00:04:09.000 --> 00:04:15.000]  孔夫子很遙遠 也不知道是什麼 很簡單
[00:04:15.000 --> 00:04:24.000]  公元前586年猶大亡國 大魏王朝結束
[00:04:24.000 --> 00:04:30.000]  超過400年 很長的歷史
[00:04:30.000 --> 00:04:33.000]  我們中國歷史叫做「國祖」
[00:04:33.000 --> 00:04:39.000]  我和你差不多可以保證你不會寫「祖」字
[00:04:39.000 --> 00:04:56.000]  586年之後的50年左右 538年 巴比倫帝國亡於馬代波斯
[00:04:56.000 --> 00:05:02.000]  很古老的名字 伊拉克輸給了伊朗
