
[00:00:00.000 --> 00:00:06.080]  大家好 我們又回來了
[00:00:06.080 --> 00:00:09.280]  下午通常都會有些掙扎
[00:00:09.280 --> 00:00:11.280]  因為吃完飯 飯裡攻心
[00:00:11.280 --> 00:00:17.200]  就會是血 下到胃那裡
[00:00:17.200 --> 00:00:19.440]  腦就不是腦出血
[00:00:19.440 --> 00:00:22.000]  其實是沒有血出 全都下到
[00:00:22.000 --> 00:00:23.680]  所以會累一點的
[00:00:23.680 --> 00:00:28.480]  我們都看看老一代的
[00:00:28.480 --> 00:00:31.680]  即使我聽是我的建道
[00:00:31.680 --> 00:00:33.120]  我自己就不是建道出身
[00:00:33.120 --> 00:00:35.440]  所以我去建道教書之前
[00:00:35.440 --> 00:00:37.760]  我就跟建道完全沒有接觸
[00:00:37.760 --> 00:00:39.760]  但是進去教書
[00:00:39.760 --> 00:00:43.200]  始終都有我們同事當中的
[00:00:43.200 --> 00:00:46.720]  我的長輩 比較高級的同事
[00:00:46.720 --> 00:00:49.280]  他們都說以前建道怎麼跑
[00:00:49.280 --> 00:00:50.880]  真的都很嚴的
[00:00:50.880 --> 00:00:52.640]  如果你在上課時在欺負
[00:00:52.640 --> 00:00:56.000]  就未至於我讀中學的時候
[00:00:56.000 --> 00:00:57.120]  我們老師在這裡寫黑板
[00:00:57.120 --> 00:00:59.440]  那時候還在黑板 寫著寫著
[00:00:59.440 --> 00:01:01.520]  他聽到後面有人說話
[00:01:01.520 --> 00:01:03.200]  或者他有時轉一轉看
[00:01:03.200 --> 00:01:05.120]  有人睡覺 他一個不為神
[00:01:05.120 --> 00:01:07.680]  就砰一聲就把粉刷扔過來
[00:01:07.680 --> 00:01:09.520]  他又不是棒球手
[00:01:09.520 --> 00:01:13.520]  他扔身通常都是不中腹部的
[00:01:13.520 --> 00:01:16.800]  沒辦法了 砰一下就扔過來了
[00:01:16.800 --> 00:01:19.840]  我見到老師以前都很介意
[00:01:19.840 --> 00:01:24.000]  別人上課睡覺的
[00:01:24.000 --> 00:01:26.240]  叫做不專心的表現
[00:01:26.240 --> 00:01:30.240]  不過我覺得上帝賦予人
[00:01:30.240 --> 00:01:34.560]  給人一輩子有三分之一的時間要睡覺
[00:01:34.560 --> 00:01:37.200]  所以這個是上帝旨意
[00:01:37.200 --> 00:01:38.880]  睡覺比天大
[00:01:38.880 --> 00:01:43.360]  三分之一的時間花在休息上面
[00:01:43.360 --> 00:01:48.400]  吃飯 吃飯都是每天三個小時才算
[00:01:48.400 --> 00:01:49.920]  都是百分之一
[00:01:49.920 --> 00:01:51.120]  吃飯重要吧
[00:01:51.120 --> 00:01:53.520]  你坐牢你都要給他吃
[00:01:53.520 --> 00:01:56.000]  你做戰俘你都要給他吃
[00:01:56.000 --> 00:01:57.600]  何況睡覺呢
[00:01:57.600 --> 00:02:03.040]  所以我覺得睡覺是上帝天賦人權給我們的
[00:02:03.040 --> 00:02:06.160]  但是你從一個經濟學的角度看
[00:02:06.160 --> 00:02:08.320]  如果能夠稍微休息
[00:02:08.320 --> 00:02:11.280]  然後精神隨便有精
[00:02:11.280 --> 00:02:13.040]  我經常都和同學說
[00:02:13.040 --> 00:02:15.440]  我們上課見到上課又很害怕
[00:02:15.440 --> 00:02:19.280]  兩個小時九個字一課
[00:02:19.280 --> 00:02:22.160]  兩個小時九個字坐完都坐到暈了
[00:02:22.160 --> 00:02:26.000]  一課就一個星期一次上完
[00:02:26.000 --> 00:02:31.120]  大家都試過撐著不要睡覺
[00:02:31.120 --> 00:02:32.160]  對不起講完
[00:02:32.160 --> 00:02:33.040]  對不起老師
[00:02:33.040 --> 00:02:34.240]  不行我還要學
