
[00:00:00.000 --> 00:00:08.640]  今天看一本書 大家可能都熟悉的
[00:00:08.640 --> 00:00:15.440]  但不多會打開來看 因為很短 可能看一次就看完了
[00:00:15.440 --> 00:00:19.440]  就是《費利門書》 我很喜歡裡面的故事
[00:00:19.440 --> 00:00:25.200]  很短的 整個《費利門書》只有一章 只有25節
[00:00:25.200 --> 00:00:30.520]  今天在看這段經文之前 我們先讀15節
[00:00:30.520 --> 00:00:36.480]  有聖經的可以一起打開 有些不同的可以看我的PowerPoint上讀
[00:00:36.480 --> 00:00:45.600]  因為我用聖經的現代中文頁本 字變得很簡單
[00:00:45.600 --> 00:00:52.640]  我們一起讀這段經文 1、2、3 一章7節
[00:00:52.640 --> 00:00:56.960]  「親愛的弟兄!你的愛心給了我極大的喜樂和鼓勵
[00:00:56.960 --> 00:01:00.240]  所有的信徒也因你而覺得愉快
[00:01:00.240 --> 00:01:02.400]  既然我是你在基督裡的弟兄
[00:01:02.400 --> 00:01:06.240]  我本來可以大膽地吩咐你做應該做的事
[00:01:06.240 --> 00:01:10.240]  可是愛心催逼我向你提出請求
[00:01:10.240 --> 00:01:14.480]  雖然我保羅身為基督耶穌的大使
[00:01:14.480 --> 00:01:19.760]  現在又因他的緣故成為囚犯 還是願意這樣做
[00:01:19.760 --> 00:01:23.200]  我對你的請求是為了阿彌西姆
[00:01:23.200 --> 00:01:25.040]  他是我在基督裡的兒子
[00:01:25.040 --> 00:01:28.720]  我在監獄裡的時候 作了他靈性上的父親
[00:01:28.720 --> 00:01:31.280]  從前他對於你沒有什麼益處
[00:01:31.280 --> 00:01:34.400]  現在他對你對我都有用處
[00:01:34.400 --> 00:01:39.520]  現在我送他回到你那裡去 等於把我自己的心送去
[00:01:39.520 --> 00:01:41.840]  我本來想留他在我身邊
[00:01:41.840 --> 00:01:46.240]  讓他在我為福音助牢的時候替你侍候我
[00:01:46.240 --> 00:01:51.360]  不過我希望一切都是出於你甘心樂意 而不是勉強
[00:01:51.360 --> 00:01:53.920]  沒有你的同意 我什麼都不願意做
[00:01:53.920 --> 00:01:56.240]  阿彌西姆暫時離開了你
[00:01:56.240 --> 00:02:00.080]  也許是要使你永久留著他
[00:02:00.080 --> 00:02:03.840]  現在他不再是一個奴僕 而是遠高過奴僕
[00:02:03.840 --> 00:02:06.960]  因為他已經是基督裡親愛的弟兄
[00:02:06.960 --> 00:02:09.440]  對我來說 他確是如此
[00:02:09.440 --> 00:02:12.880]  何況對你 因為你們既有主僕的關係
[00:02:12.880 --> 00:02:15.120]  又是主內的弟兄
[00:02:15.120 --> 00:02:17.920]  所以如果你把我當作親密的朋友
[00:02:17.920 --> 00:02:22.800]  你就接他回去 像我 像接待我一樣
[00:02:22.800 --> 00:02:24.080]  第十八節
[00:02:24.080 --> 00:02:26.160]  要是他做了對不起你的事
[00:02:26.160 --> 00:02:30.320]  或者虧欠你什麼 都記在我的帳上好了
[00:02:30.320 --> 00:02:34.080]  我在這裡親筆寫下 我保羅負責償還
[00:02:34.080 --> 00:02:35.840]  當然我用筆著提醒你
[00:02:35.840 --> 00:02:39.120]  你欠我的僅是你自己的生命
[00:02:39.120 --> 00:02:41.120]  所以弟兄 為了主的緣故
[00:02:41.120 --> 00:02:43.120]  讓我向你求這個情
[00:02:43.120 --> 00:02:45.600]  好解除我精神上的負擔
[00:02:45.600 --> 00:02:48.560]  一切都是基督裡的弟兄
[00:02:48.560 --> 00:02:49.840]  好 我們先由祈禱開始
[00:02:49.840 --> 00:02:51.360]  基本上我們感謝讚美你
[00:02:51.360 --> 00:02:53.040]  你留下寶貴的訊息
[00:02:53.040 --> 00:02:55.920]  2000年之後我們再打開這個《肥理門》書去看的時間
[00:02:55.920 --> 00:02:58.480]  我們看到不單是團契 不單是愛
[00:02:58.480 --> 00:03:02.400]  不單是奴僕弟兄的一些關係的轉變
[00:03:02.400 --> 00:03:05.120]  我們更加看到是主你自己
[00:03:05.120 --> 00:03:07.840]  臨在每一個人的生命當中的時間
[00:03:07.840 --> 00:03:09.840]  在那個路徑裡面出現的時間
[00:03:09.840 --> 00:03:11.840]  在我們生命的路徑出現的時間
[00:03:11.840 --> 00:03:12.800]  看到主你的恩手
[00:03:12.800 --> 00:03:15.760]  就好像剛才如此認識我的師哥一樣
[00:03:15.760 --> 00:03:16.480]  你說什麼?
[00:03:16.480 --> 00:03:18.640]  你說我在地極與天涯
[00:03:18.640 --> 00:03:20.800]  仍舊看顧著我
[00:03:20.800 --> 00:03:22.640]  是主你真的很真實
[00:03:22.640 --> 00:03:23.920]  仰望主你自己的訊息
[00:03:23.920 --> 00:03:26.080]  今天成為我們每一個弟兄姐妹的激勵
[00:03:26.080 --> 00:03:28.640]  幫助我們打開我們的心 耳朵
[00:03:28.640 --> 00:03:29.840]  張開我們的眼睛
