
[00:00:00.000 --> 00:00:07.000]  在今天思想聖經信息之前,我想先提一件事情
[00:00:07.000 --> 00:00:11.000]  大家知道下個星期的主日是我們的福音主日
[00:00:11.000 --> 00:00:14.000]  也是我們一年大概一次兩次的機會
[00:00:14.000 --> 00:00:17.000]  在崇拜當中傳講福音的信息
[00:00:17.000 --> 00:00:19.000]  所以我想鼓勵第一天節目也把握機會
[00:00:19.000 --> 00:00:24.000]  去邀請一些未曾信主,無道緊的親友回來
[00:00:24.000 --> 00:00:29.000]  讓他們在當中聽到福音的信息,能夠可以領受福音
[00:00:29.000 --> 00:00:32.000]  之後也會安排一些陪談的服侍
[00:00:32.000 --> 00:00:37.000]  幫助一些有心缺志的朋友盡心認識耶穌
[00:00:37.000 --> 00:00:40.000]  所以下個星期大家回來之前記住祈禱
[00:00:40.000 --> 00:00:42.000]  求神養英國的福音主日
[00:00:42.000 --> 00:00:46.000]  我們都可以一起把福音帶給很多未曾認識的人
[00:00:46.000 --> 00:00:49.000]  我們今年繼續思想創世紀有關家庭的信息
[00:00:49.000 --> 00:00:52.000]  大家同心再一次讓望祈禱
[00:00:52.000 --> 00:00:55.000]  創造天地的主
[00:00:55.000 --> 00:00:59.000]  你不單止沒有能力,坐在天上的寶座
[00:00:59.000 --> 00:01:03.000]  掌管人類的歷史,掌管天地
[00:01:03.000 --> 00:01:09.000]  你同樣是那位沒有慈愛,看顧人的上帝
[00:01:09.000 --> 00:01:14.000]  住在一個很微小的人,住在你都不會輕寒
[00:01:14.000 --> 00:01:19.000]  人心中的一切意念,包括內心很多的苦困
[00:01:19.000 --> 00:01:22.000]  你都明白,你都了解
[00:01:22.000 --> 00:01:26.000]  正如聖經所說,無論我們坐下,我們起來
[00:01:26.000 --> 00:01:31.000]  你都會知道,你從遠處就知道我們的意念
[00:01:31.000 --> 00:01:35.000]  因此我們敬拜你,為了你的慈愛,我們尊崇你
[00:01:35.000 --> 00:01:41.000]  我們今天同心到你的面前來,再一次仰望天上的主
[00:01:41.000 --> 00:01:43.000]  賜下你聖經的真理
[00:01:43.000 --> 00:01:46.000]  讓我們心靈領受你的道
[00:01:46.000 --> 00:01:50.000]  是永恆的道,是永遠不改變的道
[00:01:50.000 --> 00:01:54.000]  主啊,讓我們在其中再次蒙恩領受
[00:01:54.000 --> 00:01:56.000]  求你遮蓋人的不足
