
[00:00:00.000 --> 00:00:05.120]  各位親愛的電影節目,我們很想問問大家
[00:00:05.120 --> 00:00:10.000]  有多少人相信好人一定有好報的?
[00:00:10.000 --> 00:00:13.840]  舉高一點看看有多少個
[00:00:13.840 --> 00:00:22.400]  有多少人不相信好人一定有好報的?
[00:00:22.400 --> 00:00:28.480]  大部分都是,是不是你們都經歷過呢?
[00:00:28.480 --> 00:00:33.600]  各位親愛的電影節目,當然首先要說說什麼叫好報什麼叫不好報
[00:00:33.600 --> 00:00:40.560]  最近我女兒買了一本書叫人生哲理故事的集數,給我參考做預導
[00:00:40.560 --> 00:00:50.960]  我看了一半左右,其中有一個故事,我相信這是一個民間信仰的人所寫的故事
[00:00:50.960 --> 00:00:58.640]  但我看到其實不是故事,是講現實人生的事情,所以我都要引給大家看一看
[00:00:58.640 --> 00:01:07.200]  他們講到一個故事叫妓女小偷和醫生,有三個人死了之後被押在陰曹地府當中
[00:01:07.200 --> 00:01:11.200]  這三個人分別是一個妓女,一個小偷和一個醫生
[00:01:11.200 --> 00:01:17.600]  陰府的主管閻羅王首先問妓女你在陽間做什麼呢?
[00:01:17.600 --> 00:01:32.320]  妓女說我在陽世間專門收留無家可歸的可憐男人,讓他們享受一下情愛,不用那麼苦悶
[00:01:32.320 --> 00:01:44.320]  閻羅王聽了之後,這麼好人,讓你投胎回到陽世,可以去到一個富貴人家享受
[00:01:44.320 --> 00:01:55.840]  然後到第二個小偷,他問你在陽世做什麼呢?小偷說我在陽世專門幫人拿東西
[00:01:55.840 --> 00:02:03.920]  別人的口袋太重拿不動,我就幫他分擔一些,分一些出來拿
[00:02:03.920 --> 00:02:10.240]  有些人的東西沒有放好,沒有藏好,我就幫他收藏
[00:02:10.240 --> 00:02:17.520]  還有一些人家裡富貴的東西太多,我又怕他家門失火,毀於一旦
[00:02:17.520 --> 00:02:25.360]  所以我就把他的東西搬到我家暫時幫他託管
[00:02:25.360 --> 00:02:36.480]  閻羅王聽了之後,這麼好人都有,讓他再投胎的時候,陽壽增多三倍,超過一百歲
[00:02:36.480 --> 00:02:47.360]  小偷就去了,誰知道醫生在旁邊忍不住說大王你中計了,你知不知道他們兩個人做盡傷天害理的事情
[00:02:47.360 --> 00:02:56.320]  你沒理由被他騙到的,閻羅王聽了之後就拍枱罵他,閉嘴,誰叫他在這裡說人,扯人後腿
[00:02:56.320 --> 00:03:09.600]  那你做什麼的,醫生就說醫生來的,醫生做什麼的,我就左手拿藥,右手拿刀,小病的人來我這裡我就給藥他
[00:03:09.600 --> 00:03:18.800]  大病的人來我這裡我就幫他開刀,如果巨病的人要死我就幫他簽字,還沒說完就被閻羅王拍枱大罵
[00:03:18.800 --> 00:03:31.920]  你這個人劊子手原來就是死的人最多就是在這裡,終於就說將他打入十八層地獄,永不超生,就打了他
[00:03:31.920 --> 00:03:42.640]  這個故事其實沒什麼,只有個笑字,但我欣賞的就是結論,這個作者很感嘆你說出這個結論
[00:03:42.640 --> 00:04:00.880]  花言巧語的惡人得到好報,實說實話的好人卻得不到善終,雖然這是地獄事,但人世間難道不是經常發生這樣的事嗎
[00:04:00.880 --> 00:04:14.960]  各位聽過頂智慧,我不知道大家同不同意作者這種觀察,在今天的人間,好人未必真的有好報,惡人未必真的有惡報
[00:04:14.960 --> 00:04:32.240]  而實際上我們在這個世界上顛倒是非的事情是經常層出不窮,如果我們說你要在這個世界上找一個絕對的客觀的公正和公義的時間,你很難找得到
[00:04:32.240 --> 00:04:45.120]  聖經怎麼說這件事,聖經怎麼回應這件事呢,聖經就用了一個很典型的例子就是約伯的例子,讓我們看看到底好人是不是一定有好報呢
[00:04:45.120 --> 00:04:59.120]  首先讓我們看到約伯是一個受苦的典型的無辜受苦者,你可以這麼說,從聖經的記載讓我們看到在一個很短的時間裡面,他是家散人亡
[00:04:59.120 --> 00:05:07.300]  如果你說苦難,我們絕對沒有一個人的苦難比約伯還多,或者我們試試看他的苦難多成什麼樣子呢
[00:05:07.300 --> 00:05:20.180]  請大家打開你們的港督大綱,我們印了一些經文給大家看,約伯記的第一章13至19節,大家找到的時候我請弟兄讀一節,姐妹讀一節
[00:05:20.180 --> 00:05:34.500]  弟兄讀單數節,有一天,約伯的兒女正在他們長兄的家裡吃飯喝酒,有報信的來見約伯說:牛正耕地,路在旁邊喝酒
[00:05:34.500 --> 00:05:52.100]  士拜人忽然闖來,把牲畜擄去,並用刀殺了僕人,惟有我一人逃脫來報信給你。他還說話的時候,又有人來說:神從天上降下火來,將群羊和僕人都消滅了,惟有我一人逃脫來報信給你。
