
[00:00:00.000 --> 00:00:04.400]  這次我想從創作的角度來說
[00:00:04.400 --> 00:00:05.800]  就是想大家想一下
[00:00:05.800 --> 00:00:08.680]  究竟我的信仰和我現在的職場
[00:00:08.680 --> 00:00:10.440]  其實職場可以很闊的
[00:00:10.440 --> 00:00:13.040]  與你做的事情有什麼關係
[00:00:13.040 --> 00:00:15.960]  我很怕我們只是
[00:00:15.960 --> 00:00:19.720]  上禮拜堂、侍奉這些都跟信仰有關係
[00:00:19.720 --> 00:00:21.720]  其他的事情就好像沒有的
[00:00:21.720 --> 00:00:25.120]  其實這個就是我們今天的問題
[00:00:25.120 --> 00:00:29.520]  我想介紹一下這個point
[00:00:29.520 --> 00:00:33.800]  所以我說的話不是給大家一個簡單的答案
[00:00:33.800 --> 00:00:35.320]  我經常跟別人說
[00:00:35.320 --> 00:00:39.720]  我不當自己是屬於典型的職場
[00:00:39.720 --> 00:00:43.920]  所以我不可以告訴你應該怎麼做
[00:00:43.920 --> 00:00:45.720]  或者每一個處境都不同
[00:00:45.720 --> 00:00:48.120]  每一個工作、崗位都不同
[00:00:48.120 --> 00:00:52.120]  你要自己想清楚
[00:00:52.120 --> 00:00:55.920]  在你的崗位上怎麼做一個基督徒
[00:00:55.920 --> 00:00:58.640]  我其實是教聖經的
[00:00:58.640 --> 00:01:01.320]  我就是在說聖經說了什麼
[00:01:01.320 --> 00:01:04.600]  是你才知道我說的話有什麼用
[00:01:04.600 --> 00:01:07.840]  我不能給大家一個簡單的答案
[00:01:07.840 --> 00:01:10.040]  所以我想大家這是一個互動
[00:01:10.040 --> 00:01:11.240]  譬如我說一些事情
[00:01:11.240 --> 00:01:14.440]  你可能馬上想到
[00:01:14.440 --> 00:01:17.160]  你可能會有很多問題
[00:01:17.160 --> 00:01:18.240]  或者不知道該怎麼做
[00:01:18.240 --> 00:01:20.120]  大家要商量的
[00:01:20.120 --> 00:01:22.440]  我希望商量的過程能幫到你
[00:01:22.440 --> 00:01:24.360]  但我不可以幫你做的
[00:01:24.360 --> 00:01:27.040]  所以我有一點聲明
[00:01:27.040 --> 00:01:32.040]  所以我希望大家不要想著
[00:01:32.040 --> 00:01:33.240]  給大家很多資料
[00:01:33.240 --> 00:01:34.240]  你照樣收就行了
[00:01:34.240 --> 00:01:36.240]  你要想
[00:01:36.240 --> 00:01:37.840]  你要自己形容
[00:01:37.840 --> 00:01:39.040]  可能你有很多問題
[00:01:39.040 --> 00:01:43.840]  其實這樣大家互動才會明白
[00:01:43.840 --> 00:01:47.040]  因為這些不是簡單的答案
[00:01:47.040 --> 00:01:52.720]  我想首先介紹創造一點東西
[00:01:52.720 --> 00:01:54.720]  我覺得問題可能是
[00:01:54.720 --> 00:01:59.720]  我們對創造的觀念很陌生
[00:01:59.720 --> 00:02:02.720]  為什麼我們在工作
[00:02:02.720 --> 00:02:04.720]  甚至在家庭
[00:02:04.720 --> 00:02:06.720]  我們跟一個非基督徒沒有分別
[00:02:06.720 --> 00:02:10.720]  就是因為我們只顧著救贖
[00:02:10.720 --> 00:02:13.720]  或者我們一直以來都沒有想創造
[00:02:13.720 --> 00:02:17.720]  其實創造才和我們的工作有關係
[00:02:17.720 --> 00:02:18.720]  救贖沒有的
[00:02:18.720 --> 00:02:21.720]  我誇張一點來說
[00:02:21.720 --> 00:02:24.720]  聖經有兩個主題
[00:02:24.720 --> 00:02:25.720]  救贖和創造
[00:02:25.720 --> 00:02:28.720]  我們聽得太多是救贖這方面
[00:02:28.720 --> 00:02:30.720]  救贖是你知道的
[00:02:30.720 --> 00:02:32.720]  就是我們跟神的關係
[00:02:32.720 --> 00:02:33.720]  就是我犯了罪
[00:02:33.720 --> 00:02:34.720]  離開了神
[00:02:34.720 --> 00:02:36.720]  要修補這個關係
[00:02:36.720 --> 00:02:38.720]  我們很熟悉的
[00:02:38.720 --> 00:02:40.720]  靠耶穌基督的補血
[00:02:40.720 --> 00:02:42.720]  我們玩這個關係
[00:02:42.720 --> 00:02:44.720]  但到了職場
[00:02:44.720 --> 00:02:46.720]  到了工作
[00:02:46.720 --> 00:02:49.720]  其實這個沒有直接關係
[00:02:49.720 --> 00:02:51.720]  我們都覺得和其他人一樣
[00:02:51.720 --> 00:02:54.720]  信耶穌都不信耶穌
[00:02:54.720 --> 00:02:56.720]  你做一個醫生
[00:02:56.720 --> 00:03:00.720]  不是說基督徒的醫生一定是好一點的醫生
[00:03:00.720 --> 00:03:01.720]  也不一定
[00:03:01.720 --> 00:03:05.720]  表面上好像沒有分別
[00:03:05.720 --> 00:03:07.720]  當然你可以說我乖一點
[00:03:07.720 --> 00:03:09.720]  很多非基督徒都很乖
[00:03:09.720 --> 00:03:12.720]  很多非基督徒都做得很好
[00:03:12.720 --> 00:03:14.720]  甚至比基督徒好
[00:03:14.720 --> 00:03:19.720]  所以很多時候我們從救贖的角度來看
[00:03:19.720 --> 00:03:20.720]  只說一件事
[00:03:20.720 --> 00:03:22.720]  我們傳福音
[00:03:22.720 --> 00:03:25.720]  甚至有些人會覺得
[00:03:25.720 --> 00:03:27.720]  在工作裡面最重要的是傳福音
[00:03:27.720 --> 00:03:29.720]  這樣你就錯過了
[00:03:29.720 --> 00:03:33.720]  你做工作的角色應該是怎樣
