
[00:00:00.000 --> 00:00:05.240]  大胃傳的第五講
[00:00:05.240 --> 00:00:11.080]  我們上次說了三號以上的20章至22章
[00:00:11.080 --> 00:00:13.840]  其實我們還沒說完22章
[00:00:13.840 --> 00:00:18.800]  還有22章的1至5節和20至23節
[00:00:18.800 --> 00:00:20.800]  我們是要今天來講
[00:00:20.800 --> 00:00:24.160]  而我們今天也不單止會講22章
[00:00:24.160 --> 00:00:29.240]  也會涉及到23章25、27和30
[00:00:29.240 --> 00:00:34.760]  因為有些經文說有些人加入了大胃的隊伍
[00:00:34.760 --> 00:00:37.880]  我們也會說這些經文
[00:00:37.880 --> 00:00:40.560]  我們說我們讀大胃傳
[00:00:40.560 --> 00:00:44.560]  一個很重要的目的就是要欣賞大胃的詩歌
[00:00:44.560 --> 00:00:48.160]  我們其實已經讀了有五篇大胃的詩歌
[00:00:48.160 --> 00:00:54.840]  34篇、52篇、56篇、59篇和63篇
[00:00:54.840 --> 00:01:00.080]  今天我們還要看57篇和142篇
[00:01:00.080 --> 00:01:02.080]  就是和今天的經文有關
[00:01:02.080 --> 00:01:06.040]  我們說我們要在大胃身上學習
[00:01:06.040 --> 00:01:08.840]  怎樣做一個合神心意的人
[00:01:08.840 --> 00:01:12.400]  其實在詩篇裏我們學到很多東西
[00:01:12.400 --> 00:01:15.760]  記不記得上次在詩篇的56篇
[00:01:15.760 --> 00:01:17.760]  大胃最後怎麼說
[00:01:17.760 --> 00:01:21.160]  他說人能打我怎樣呢
[00:01:21.160 --> 00:01:26.040]  他最後發現原來神才是他的保守
[00:01:26.040 --> 00:01:28.040]  才是他的避難所
[00:01:28.040 --> 00:01:30.720]  如果他早點發現的話
[00:01:30.720 --> 00:01:32.720]  他就不會離開拉瑪
[00:01:32.720 --> 00:01:34.720]  不會離開撒慕爾
[00:01:34.720 --> 00:01:37.440]  離開神的保佑離開祝福
[00:01:37.440 --> 00:01:41.000]  他就是因為信心不足所以離開了
[00:01:41.000 --> 00:01:45.640]  而在34篇他又教到我們一些東西
[00:01:45.640 --> 00:01:47.640]  他離開拉瑪之後
[00:01:47.640 --> 00:01:50.880]  一連串的說了三個謊言
[00:01:50.880 --> 00:01:53.840]  而且他的謊言是越來越嚴重
[00:01:53.840 --> 00:01:56.640]  而去到詩篇的34篇
[00:01:56.640 --> 00:01:59.280]  他說一個屬靈的人應該怎樣呢
[00:01:59.280 --> 00:02:01.840]  嘴唇不說鬼詐的話
[00:02:01.840 --> 00:02:05.000]  所以我們真的從這些詩篇能夠學習到
[00:02:05.000 --> 00:02:08.760]  怎樣能夠成為一個合神心意的人
[00:02:08.760 --> 00:02:12.440]  今天的主題是什麼
[00:02:12.440 --> 00:02:16.200]  走出幽屈黑暗的秘訣
[00:02:16.200 --> 00:02:19.680]  是說到大胃去到一個山洞裏面
[00:02:19.680 --> 00:02:22.160]  這個就是亞渡難動
[00:02:22.160 --> 00:02:26.000]  有很多時候我們都好像走進了山洞裏面
[00:02:26.000 --> 00:02:28.400]  漆黑一片前路茫茫
