
[00:00:00.000 --> 00:00:04.000]  各位頂主妹平安
[00:00:04.000 --> 00:00:08.000]  今日要分享的題目是
[00:00:08.000 --> 00:00:10.000]  鬼都怕了耶穌
[00:00:10.000 --> 00:00:12.000]  但首先我想問大家
[00:00:12.000 --> 00:00:16.000]  你們信不信有鬼?
[00:00:16.000 --> 00:00:18.000]  信
[00:00:18.000 --> 00:00:20.000]  不信就很大件事
[00:00:20.000 --> 00:00:24.000]  因為我們現在說的是耶穌趕鬼
[00:00:24.000 --> 00:00:29.000]  當然我們身為基督徒絕對相信有鬼
[00:00:29.000 --> 00:00:34.000]  而身為基督徒應該都不怕鬼
[00:00:34.000 --> 00:00:38.000]  但實情是有些人都怕鬼
[00:00:38.000 --> 00:00:41.000]  怕鬼可能是怕黑
[00:00:41.000 --> 00:00:44.000]  怕黑不知道會發生什麼情況
[00:00:44.000 --> 00:00:48.000]  事實上鬼的確存在
[00:00:48.000 --> 00:00:53.000]  而事實上鬼的確影響著我們身邊的人
[00:00:53.000 --> 00:00:55.000]  我們身邊的事
[00:00:55.000 --> 00:00:59.000]  鬼可否影響基督徒呢?
[00:00:59.000 --> 00:01:01.000]  可否?
[00:01:01.000 --> 00:01:04.000]  可否影響基督徒?
[00:01:04.000 --> 00:01:05.000]  有些人答不可以
[00:01:05.000 --> 00:01:07.000]  有些人答可以
[00:01:07.000 --> 00:01:10.000]  我們一會透過聖經舊約和新約
[00:01:10.000 --> 00:01:14.000]  我們了解多一些魔鬼的事情
[00:01:14.000 --> 00:01:16.000]  在新約聖經記載
[00:01:16.000 --> 00:01:20.000]  馬可福音特別詳盡
[00:01:20.000 --> 00:01:24.000]  講到關於耶穌趕鬼或被鬼附
[00:01:24.000 --> 00:01:27.000]  馬可福音第一章說到
[00:01:27.000 --> 00:01:30.000]  當耶穌去到會堂的時候
[00:01:30.000 --> 00:01:33.000]  這是加伯隆裡面的一個會堂
[00:01:33.000 --> 00:01:36.000]  是當日耶穌在這個地方
[00:01:36.000 --> 00:01:39.000]  曾經去趕鬼
[00:01:39.000 --> 00:01:43.000]  當他去到會堂的時候
[00:01:43.000 --> 00:01:46.000]  有一個人被鬼附著
[00:01:46.000 --> 00:01:48.000]  那個人就喊叫
[00:01:48.000 --> 00:01:52.000]  這裡為何我刻意去藍色字
[00:01:52.000 --> 00:01:54.000]  為何被鬼附著呢?
[00:01:54.000 --> 00:01:56.000]  原來當直譯的時候
[00:01:56.000 --> 00:02:01.000]  可以譯作有一個人在污鬼裡的人
[00:02:01.000 --> 00:02:02.000]  什麼意思呢?
[00:02:02.000 --> 00:02:03.000]  這麼難聽
[00:02:03.000 --> 00:02:05.000]  你會發覺意思有點不同
[00:02:05.000 --> 00:02:08.000]  有一個人被污鬼附著
[00:02:08.000 --> 00:02:10.000]  如果我們一般的理解
[00:02:10.000 --> 00:02:14.000]  就是鬼進入了那個人那裡
[00:02:14.000 --> 00:02:19.000]  但如果原文有解經學家解釋這個意思
[00:02:19.000 --> 00:02:21.000]  好像是相反的
[00:02:21.000 --> 00:02:23.000]  一個人在污鬼裡
[00:02:23.000 --> 00:02:26.000]  即是說那個人
[00:02:26.000 --> 00:02:29.000]  其實外面是一個污鬼
[00:02:29.000 --> 00:02:31.000]  而裡面是一個人
[00:02:31.000 --> 00:02:32.000]  其實是什麼意思呢?
