
[00:00:00.000 --> 00:00:09.380]  而這個獸就有形象,是用炮,紅的腳,是獅子
[00:00:09.380 --> 00:00:13.620]  代表了這些動物的特色,那種能力
[00:00:13.620 --> 00:00:19.540]  獅子就是嚎叫,紅就是很穩重,那種能力
[00:00:19.540 --> 00:00:23.300]  炮就是很鋒猛
[00:00:23.300 --> 00:00:31.560]  這個也是約翰所見的東西,他就用獸的特色來描述
[00:00:31.560 --> 00:00:35.060]  那種凶惡、凶殘
[00:00:35.060 --> 00:00:38.980]  所以國代表什麼呢?就是能力了
[00:00:38.980 --> 00:00:42.360]  國上的大致觀面就代表了權並
[00:00:42.360 --> 00:00:47.320]  這些都不難解的,在聖經裏面都經常有
[00:00:47.320 --> 00:00:53.060]  所以這個獸是代表了在約翰所見到的將來
[00:00:53.060 --> 00:00:57.440]  是有權並的,不是普通的人
[00:00:57.440 --> 00:01:00.580]  無論在政治、在經濟、在社會上面
[00:01:00.580 --> 00:01:05.820]  觀面是代表了大家肯定他那種地位
[00:01:05.820 --> 00:01:11.400]  而他有能力,但是他是敵黨上帝的
[00:01:11.400 --> 00:01:13.400]  那我們可以思想了
[00:01:13.400 --> 00:01:19.780]  紅龍、海獸、綠獸是三樣東西
[00:01:19.780 --> 00:01:21.540]  是三而一
[00:01:21.540 --> 00:01:25.040]  因為很多時候他要學上帝
[00:01:25.040 --> 00:01:31.240]  所以他出的數字,凡是這種能力都是三而一的
[00:01:31.240 --> 00:01:34.940]  褻瀆的名號自稱為神
[00:01:34.940 --> 00:01:39.080]  這種褻瀆就是要將上帝打壓下來
[00:01:39.080 --> 00:01:41.080]  要自己做上帝
[00:01:41.080 --> 00:01:44.480]  所以這個獸不單是敵黨上帝
[00:01:44.480 --> 00:01:46.240]  他還要取代上帝
[00:01:46.240 --> 00:01:49.460]  向世人宣告你們不要上帝
[00:01:49.460 --> 00:01:51.460]  他是代表了上帝
[00:01:51.460 --> 00:01:59.740]  第三節,獸的七頭有一個似乎受了死傷
[00:01:59.740 --> 00:02:01.740]  死傷治好了
[00:02:01.740 --> 00:02:04.280]  全地的人都稀奇,跟從獸
[00:02:04.280 --> 00:02:07.080]  這個在當時就有人
[00:02:07.080 --> 00:02:13.040]  很可能是尼祿,因為尼祿在戰爭裏受傷而康復
[00:02:13.040 --> 00:02:15.040]  這也是推測而已
[00:02:15.040 --> 00:02:21.720]  其他就是龍,就是他將權並給了獸
[00:02:21.720 --> 00:02:24.440]  又給人說誇大褻瀆的說話
[00:02:24.440 --> 00:02:26.440]  任意而行,四十二個月
[00:02:26.440 --> 00:02:29.480]  四十二就是三乘十二
[00:02:29.480 --> 00:02:32.440]  意思就是說,那個時間不太長
[00:02:32.440 --> 00:02:37.200]  三乘十二,十二個月乘三,即是三年
[00:02:37.200 --> 00:02:41.400]  在數字上面,它不會有一個很長的時間
[00:02:41.400 --> 00:02:47.600]  但是,也是一段我們難以忍受的那段時間
[00:02:47.600 --> 00:02:51.960]  獸就開口說褻瀆的說話
[00:02:51.960 --> 00:02:54.440]  獸是什麼呢?
[00:02:54.440 --> 00:02:56.440]  很明顯
[00:02:56.440 --> 00:03:01.000]  如果按照我們所理解,以按所講
[00:03:01.000 --> 00:03:04.600]  這個獸就是敵基督
[00:03:04.600 --> 00:03:07.880]  這個七頭十角的獸
[00:03:07.880 --> 00:03:11.960]  就是敵黨基督那種能力,世界的能力
[00:03:11.960 --> 00:03:14.520]  背後就是魔鬼
[00:03:14.520 --> 00:03:19.280]  因為魔鬼要透過獸去打擊上帝
[00:03:19.280 --> 00:03:20.480]  褻瀆上帝
[00:03:20.480 --> 00:03:22.960]  在末世的時候,我們會發現
[00:03:22.960 --> 00:03:25.240]  很多東西是敵黨上帝的
[00:03:25.240 --> 00:03:27.240]  是不要神的
[00:03:27.240 --> 00:03:32.440]  甚至是褻瀆基督教
[00:03:32.440 --> 00:03:34.440]  好了
[00:03:34.440 --> 00:03:39.440]  它不單止去褻瀆上帝
[00:03:39.440 --> 00:03:42.440]  它還逼迫聖徒
[00:03:42.440 --> 00:03:45.440]  又與高揚爭戰
[00:03:45.440 --> 00:03:49.440]  也就是與教會來爭戰
[00:03:49.440 --> 00:03:55.040]  剛才所寫的十角
[00:03:55.040 --> 00:03:57.640]  在舊約裏面
[00:03:57.640 --> 00:04:01.040]  曾經預言過十王
[00:04:01.040 --> 00:04:03.840]  在《達爾利書》裏面,舊約裏面
[00:04:03.840 --> 00:04:05.240]  預言過十王
[00:04:05.240 --> 00:04:12.640]  所以這個獸有可能只是模仿代替基督的王
[00:04:12.640 --> 00:04:16.240]  它現在還沒來到,在約翰的時候
[00:04:16.240 --> 00:04:17.240]  還沒來到
[00:04:17.240 --> 00:04:19.040]  約翰見到是將來的
[00:04:19.040 --> 00:04:21.240]  在將來,什麼時候來到呢?
[00:04:21.240 --> 00:04:22.640]  約翰沒有說
[00:04:22.640 --> 00:04:24.040]  我們都不知道
[00:04:24.040 --> 00:04:28.040]  總之是在約翰之後會來到
[00:04:28.040 --> 00:04:29.040]  好了
[00:04:29.040 --> 00:04:31.040]  從馬丁路德開始
[00:04:31.040 --> 00:04:35.040]  很多人研究,這個敵基督是誰呢?
[00:04:35.040 --> 00:04:37.040]  馬丁路德開始是中亞改革
[00:04:37.040 --> 00:04:41.040]  當時基督教與天主教打仗,打得很厲害
[00:04:41.040 --> 00:04:43.040]  三十年戰爭裏面
[00:04:43.040 --> 00:04:47.040]  天主教當時是去殺害基督徒
[00:04:47.040 --> 00:04:52.040]  正是在德國裏面,是殺害了九百萬人
[00:04:52.040 --> 00:04:54.040]  九百萬,不是九十萬
[00:04:54.040 --> 00:04:59.040]  德國是一千五百萬人打仗之後
[00:04:59.040 --> 00:05:01.040]  是剩下六百萬
[00:05:01.040 --> 00:05:02.040]  很慘烈
[00:05:02.040 --> 00:05:03.040]  三十年戰爭
[00:05:03.040 --> 00:05:05.040]  我剛剛講完教育歷史
[00:05:05.040 --> 00:05:08.040]  所以當時耶穌會和天主教
[00:05:08.040 --> 00:05:10.040]  對基督教有很大的逼迫
[00:05:10.040 --> 00:05:11.040]  在歐洲裏面
[00:05:11.040 --> 00:05:13.040]  死了很多人
[00:05:13.040 --> 00:05:14.040]  不可以迷惑那些基督徒
[00:05:14.040 --> 00:05:18.040]  所以在中亞改革之後
[00:05:18.040 --> 00:05:24.040]  很多人,包括威爾利夫、胡斯、路德、基文、洛克斯
[00:05:24.040 --> 00:05:25.040]  以後那些人
[00:05:25.040 --> 00:05:26.040]  他們都認定
[00:05:26.040 --> 00:05:33.040]  這個敵基督應該是逼迫基督徒的教宗
[00:05:33.040 --> 00:05:35.040]  可能就是天主教這樣
[00:05:35.040 --> 00:05:37.040]  先聽著
[00:05:37.040 --> 00:05:39.040]  到了第二次世界大戰
[00:05:39.040 --> 00:05:42.040]  希特拉出來
[00:05:42.040 --> 00:05:45.040]  後來他帶領了希特拉
