
[00:00:00.000 --> 00:00:02.000]  都是盼望明天會更好
[00:00:02.000 --> 00:00:03.800]  在1984年的時候
[00:00:03.800 --> 00:00:07.000]  埃塞俄比亞發生了一個很大的饑荒
[00:00:07.000 --> 00:00:09.360]  在那一年有人寫了一首歌
[00:00:09.360 --> 00:00:11.360]  叫做《We Are The World》
[00:00:11.360 --> 00:00:12.360]  大家有沒有人知道
[00:00:12.360 --> 00:00:16.800]  1985年是台灣紀念40週年光復
[00:00:16.800 --> 00:00:19.360]  脫離日本的殖民統治
[00:00:19.360 --> 00:00:21.360]  眾歌手寫了一首歌
[00:00:21.360 --> 00:00:23.360]  叫什麼名字?
[00:00:23.360 --> 00:00:25.360]  聰明的人說吧
[00:00:25.360 --> 00:00:27.360]  有沒有聰明人?
[00:00:27.360 --> 00:00:30.360]  再想想叫什麼名字?
[00:00:30.360 --> 00:00:33.360]  叫做《明天會更好》
[00:00:33.360 --> 00:00:34.360]  真是聰明
[00:00:34.360 --> 00:00:36.360]  其實寫這首歌的目的
[00:00:36.360 --> 00:00:38.360]  是其他人懶得回答
[00:00:38.360 --> 00:00:40.360]  寫這首歌的目的就是希望
[00:00:40.360 --> 00:00:43.360]  真的希望國家人民
[00:00:43.360 --> 00:00:46.360]  能夠有一個更好的明天
[00:00:46.360 --> 00:00:48.360]  不需要再受苦
[00:00:48.360 --> 00:00:51.360]  不需要再受到戰禍的摧殘
[00:00:51.360 --> 00:00:52.360]  其實我不知道大家知不知道
[00:00:52.360 --> 00:00:55.360]  其實戰爭真的很殘酷
[00:00:55.360 --> 00:00:58.360]  饑荒也是很痛苦
[00:00:58.360 --> 00:01:01.360]  有時候我很怕看這樣的新聞
[00:01:01.360 --> 00:01:02.360]  當你看到的時候
[00:01:02.360 --> 00:01:03.360]  有時候覺得很難過
[00:01:03.360 --> 00:01:05.360]  為什麼人生會這樣
[00:01:05.360 --> 00:01:07.360]  有時候盼望明天會更好
[00:01:07.360 --> 00:01:10.360]  不表示明天可以更好
[00:01:10.360 --> 00:01:11.360]  人都想明天更好
[00:01:11.360 --> 00:01:14.360]  但是不表示事實就會更好
[00:01:14.360 --> 00:01:15.360]  有一次我媽媽跟我說
[00:01:15.360 --> 00:01:17.360]  她那時候身體不舒服
