
[00:00:00.000 --> 00:00:06.400]  各位講福堂的弟兄姊妹大家好
[00:00:06.400 --> 00:00:10.240]  我本來今天很期待可以現場見到大家
[00:00:10.240 --> 00:00:13.040]  不過疫情真是反覆
[00:00:13.040 --> 00:00:17.920]  我們今天能夠在螢幕上和大家一起見面
[00:00:17.920 --> 00:00:23.040]  我都用主耶穌基督的名去問候大家
[00:00:23.040 --> 00:00:26.880]  祝福大家 神願大家同在 保守大家平安
[00:00:26.880 --> 00:00:30.720]  我自己在建道神學院教書
[00:00:30.720 --> 00:00:33.760]  自從葛亦文牧師退休之後
[00:00:33.760 --> 00:00:36.480]  我就要接替他一份工作
[00:00:36.480 --> 00:00:39.680]  那份工作叫做「以道自見」的主編
[00:00:39.680 --> 00:00:43.520]  我有機會接觸到這個士工的時候
[00:00:43.520 --> 00:00:46.880]  我就發現上帝的作為真是很大
[00:00:46.880 --> 00:00:48.160]  令我很敬畏
[00:00:48.160 --> 00:00:50.720]  我不知道大家是否認同
[00:00:50.720 --> 00:00:53.920]  在2020年的一年
[00:00:53.920 --> 00:00:57.760]  實在我們每一個人都戴著口罩過活
[00:00:57.760 --> 00:01:01.600]  我們每一個人都很想去到更加親近上帝
[00:01:01.600 --> 00:01:06.080]  我講一點點的數字讓大家看到上帝的作為是怎樣
[00:01:06.080 --> 00:01:11.600]  上年的社會運動「以道自見」的active user
[00:01:11.600 --> 00:01:19.760]  即是每天都去到下載零收的user大概是9萬8千人
[00:01:19.760 --> 00:01:23.600]  但在2020年疫症期間
[00:01:23.600 --> 00:01:27.440]  active user就去到21萬
[00:01:27.440 --> 00:01:31.040]  我們是沒有做過推廣的
[00:01:31.040 --> 00:01:34.160]  疫情期間我們神學院都很忙碌
[00:01:34.160 --> 00:01:35.440]  應付很多事情
[00:01:35.440 --> 00:01:38.160]  根本沒有辦法去到有空間去推廣
[00:01:38.160 --> 00:01:41.280]  但我想在這段日子期間上帝的作為
[00:01:41.280 --> 00:01:45.360]  就令更多人很想認識上帝的話語
[00:01:45.360 --> 00:01:47.920]  很想去瞭解上帝更多
[00:01:47.920 --> 00:01:53.040]  我想大家真的看到上帝的同在和祂的奇妙
[00:01:53.040 --> 00:01:56.880]  接下來我們都很想透過「以道自見」
[00:01:56.880 --> 00:02:00.240]  在2021年的章林期期間
[00:02:00.240 --> 00:02:02.000]  和各大教會一起合作
[00:02:02.000 --> 00:02:07.120]  有章林期的零收和一些茶經小組的推廣
[00:02:07.120 --> 00:02:10.640]  讓我們能夠透過這些活動
[00:02:10.640 --> 00:02:13.760]  可以紀念耶穌基督將來的時間
[00:02:13.760 --> 00:02:16.800]  所以賣廣告的時間就到這裡
[00:02:16.800 --> 00:02:18.080]  這是我的職責
[00:02:18.080 --> 00:02:21.920]  但在聽到之前我們一起有個祈禱
[00:02:22.880 --> 00:02:25.440]  慈悲人外的天父 多謝你
[00:02:25.440 --> 00:02:29.040]  祈求主給我們有個敬畏的心
[00:02:29.040 --> 00:02:32.160]  讓我們能夠透過今天的經文
[00:02:32.160 --> 00:02:34.240]  特別是《馬學福音》第十章
[00:02:34.240 --> 00:02:38.720]  讓我們學習你的服事和你的社稷
[00:02:38.720 --> 00:02:42.160]  也幫助孩子宣講你的話語清楚
[00:02:42.160 --> 00:02:45.440]  我們同心謙卑去領受
[00:02:45.440 --> 00:02:48.160]  禱告是奉耶穌基督命求
[00:02:48.160 --> 00:02:48.960]  阿們
[00:02:48.960 --> 00:02:53.040]  今天的講道我是教舊約的
[00:02:53.040 --> 00:02:55.040]  但不知為何我帶了新約來
[00:02:55.040 --> 00:02:59.040]  就是《馬學福音》第十章35到45節
[00:02:59.040 --> 00:03:01.920]  是《馬學福音》最重要的經文之一
[00:03:01.920 --> 00:03:04.320]  因為這段經文有個總結句
[00:03:04.320 --> 00:03:05.520]  就是45節
[00:03:05.520 --> 00:03:07.280]  「因為人子來
[00:03:07.280 --> 00:03:09.440]  並不是要受人的服事
[00:03:09.440 --> 00:03:11.040]  乃是要服侍人
[00:03:11.040 --> 00:03:13.920]  並且要捨命作多人的屬價」
[00:03:13.920 --> 00:03:18.560]  其實這一節正正就是《馬學福音》的約節
[00:03:18.560 --> 00:03:22.400]  說明瞭很多中小學的校訓那句話
[00:03:22.400 --> 00:03:25.200]  就是「非以逆人乃逆於人」
[00:03:25.200 --> 00:03:27.280]  但我們比較熟悉45節
[00:03:27.280 --> 00:03:31.360]  但我們卻對上下文的理解往往不太熟悉
[00:03:31.360 --> 00:03:34.000]  為何討論雅各和約翰
[00:03:34.000 --> 00:03:36.160]  向耶穌基督請求的時候
[00:03:36.160 --> 00:03:39.280]  耶穌的回應卻涉及到服人的問題呢?
[00:03:39.280 --> 00:03:43.520]  為何雅各和約翰明明期望上位
[00:03:43.520 --> 00:03:47.840]  卻最終有一段關於服事的經文作為作結呢?
[00:03:47.840 --> 00:03:51.440]  所以我們今天講到很想回應這些問題
[00:03:51.440 --> 00:03:53.600]  若然大家不太熟悉
[00:03:53.600 --> 00:03:56.080]  那段經文的上下文是說什麼
[00:03:56.080 --> 00:03:57.280]  我可以在這裡
[00:03:57.280 --> 00:04:00.480]  跟大家讀一次那段經文
[00:04:00.480 --> 00:04:02.240]  這段經文是這樣說的
[00:04:02.240 --> 00:04:06.800]  它說西比太的兒子雅各和約翰就進前來
[00:04:06.800 --> 00:04:08.240]  對耶穌說
[00:04:08.240 --> 00:04:11.040]  「夫子,我們無論求什麼
[00:04:11.040 --> 00:04:12.800]  願禰給我們做」
[00:04:12.800 --> 00:04:13.920]  耶穌說
