
[00:00:00.000 --> 00:00:04.000]  各位頂尖的會早晨
[00:00:04.000 --> 00:00:07.680]  代表我所服侍的一個小的神學院
[00:00:07.680 --> 00:00:09.680]  波盜神學院的文安帶給大家
[00:00:09.680 --> 00:00:12.880]  多謝陳牧師和教會給我機會
[00:00:12.880 --> 00:00:15.200]  今天和大家在這裡分享神的說話
[00:00:15.200 --> 00:00:20.800]  很開心今天原來是三間教會所辦的幼稚園的
[00:00:20.800 --> 00:00:23.040]  一個聯合崇拜的時間
[00:00:23.040 --> 00:00:26.960]  我相信老師在他們自己的教會以外
[00:00:26.960 --> 00:00:31.360]  要抽時間參加一年一度的聖會都不容易
[00:00:31.360 --> 00:00:33.760]  要合在一起練習都不容易
[00:00:33.760 --> 00:00:35.520]  在你們繁重的工作之外
[00:00:35.520 --> 00:00:39.520]  很感謝你透過師哥對我們有幫助
[00:00:39.520 --> 00:00:41.600]  我選了這個題目
[00:00:41.600 --> 00:00:45.840]  因為我聽見教會今年是成長年
[00:00:45.840 --> 00:00:49.360]  所以我想和大家分享一個作成長的紀錄圖
[00:00:49.360 --> 00:00:52.880]  我就用這段聖經路加芬第十四章
[00:00:52.880 --> 00:00:57.600]  25到35節就是剛才主席帶我們讀出的這段聖經
[00:00:57.600 --> 00:00:59.280]  如果方便的話請你翻開聖經
[00:00:59.280 --> 00:01:00.800]  我在這裡看著聖經的時間
[00:01:00.800 --> 00:01:04.720]  可能更加容易一些去吸收今天所說的內容
[00:01:04.720 --> 00:01:09.120]  但這經文我們很自然地把它分成三個段落
[00:01:09.120 --> 00:01:13.360]  第一個段落就是25節到27節
[00:01:13.360 --> 00:01:16.720]  要跟從耶穌做成長的紀錄圖是什麼意思呢
[00:01:16.720 --> 00:01:18.560]  有什麼要求呢
[00:01:18.560 --> 00:01:21.600]  25到27節
[00:01:21.600 --> 00:01:24.800]  接著我們看28到33節
[00:01:24.800 --> 00:01:28.320]  就是做成長的紀錄圖要付上的代價
[00:01:28.320 --> 00:01:30.080]  28到33節
[00:01:30.080 --> 00:01:33.040]  最後兩節34到35節
[00:01:33.040 --> 00:01:35.360]  去到那裡才和大家再詳細的
[00:01:35.360 --> 00:01:37.200]  要討論的內容是什麼
[00:01:37.200 --> 00:01:41.920]  但這經文是耶穌說完一個比喻之後
[00:01:41.920 --> 00:01:46.400]  接著聖經接著說有極多的人和耶穌同人
[00:01:46.400 --> 00:01:48.880]  就是說如果你理解這經文的背景
[00:01:48.880 --> 00:01:50.080]  我們先看看上文
[00:01:50.080 --> 00:01:54.640]  上文原來說到耶穌被人請到去參加一個儼席
[00:01:54.640 --> 00:01:57.280]  在儼席裡面耶穌就說了一個比喻
[00:01:57.280 --> 00:02:01.760]  他說天國進去神的國就好像吃大餐那樣
[00:02:01.760 --> 00:02:03.840]  勉強那些本來不配的
[00:02:03.840 --> 00:02:05.120]  沒有資格來的
[00:02:05.120 --> 00:02:10.880]  要填滿了這個大主人的這個的煙會
[00:02:10.880 --> 00:02:14.560]  接著聖經就說有極多的人和耶穌同行
[00:02:14.560 --> 00:02:17.280]  就是說如果信耶穌
[00:02:17.280 --> 00:02:20.320]  如果進入神的國等於吃大餐
