
[00:00:00.000 --> 00:00:07.200]  我們在針研的系列已經講到第四講
[00:00:07.200 --> 00:00:11.400]  記得我們第一講的時候是講針研的介紹
[00:00:11.400 --> 00:00:13.400]  是針研的智慧
[00:00:13.400 --> 00:00:16.900]  第二講是講到聖潔的智慧
[00:00:16.900 --> 00:00:22.600]  第三講是在父親節是說父母的智慧
[00:00:22.600 --> 00:00:25.800]  今天要和大家講人生的智慧
[00:00:25.800 --> 00:00:29.000]  究竟人生有什麼智慧呢
[00:00:29.000 --> 00:00:31.800]  我們先看看人類的智慧
[00:00:31.800 --> 00:00:35.400]  人類真的非常非常聰明
[00:00:35.400 --> 00:00:41.600]  人類可以發射飛船去到太空
[00:00:41.600 --> 00:00:45.200]  金木水土火不同的星球
[00:00:45.200 --> 00:00:49.800]  人類還可以聰明到做很多核子的武器
[00:00:49.800 --> 00:00:55.800]  甚至這些核子的武器是可以使全人類都被毀滅
[00:00:55.800 --> 00:01:02.000]  人類還可以將所有的電腦連在一起
[00:01:02.000 --> 00:01:04.600]  成為一個電腦的網絡
[00:01:04.600 --> 00:01:07.800]  資訊是非常非常發達
[00:01:07.800 --> 00:01:10.600]  不單止資訊發達
[00:01:10.600 --> 00:01:13.000]  交通也發達
[00:01:13.000 --> 00:01:18.600]  在新冠病毒的疫情當中
[00:01:18.600 --> 00:01:21.600]  你就能夠看到交通有多發達
[00:01:21.600 --> 00:01:27.600]  這個疫情由一個人在一個城市在一個國家裏面
[00:01:27.600 --> 00:01:33.400]  可以短短幾個月到全世界的人都感染了這個病
[00:01:33.400 --> 00:01:36.400]  你就知道交通有多發達
[00:01:36.400 --> 00:01:41.600]  我也知道甚至在中國大陸
[00:01:41.600 --> 00:01:45.000]  他們還推出了健康碼
[00:01:45.000 --> 00:01:46.800]  因為這個新冠病毒
[00:01:46.800 --> 00:01:48.400]  這個健康碼很有趣
[00:01:48.400 --> 00:01:51.200]  當你的人健康的時候
[00:01:51.200 --> 00:01:56.800]  綠色的代表知道你沒有接觸過任何有病的人
[00:01:56.800 --> 00:02:00.600]  他甚至可以追蹤到你去過什麼地方
[00:02:00.600 --> 00:02:02.800]  所以如果你是綠色的話
[00:02:02.800 --> 00:02:03.800]  你通行無阻
[00:02:03.800 --> 00:02:06.200]  但如果你是黃色的話
[00:02:06.200 --> 00:02:10.000]  表示你可能在你的行程當中
[00:02:10.000 --> 00:02:13.000]  有接觸過一些不健康的人
[00:02:13.000 --> 00:02:14.400]  有新冠病毒的人
[00:02:14.400 --> 00:02:16.200]  你要隔離七天
[00:02:16.200 --> 00:02:19.400]  如果你是紅色就大件事了
[00:02:19.400 --> 00:02:22.200]  可能你已經有了新冠病毒
[00:02:22.200 --> 00:02:26.000]  你要隔離起碼14天
[00:02:26.000 --> 00:02:30.000]  有人說不妥
