
[00:00:00.000 --> 00:00:05.280]  各位體驗節目各位朋友你們好
[00:00:05.280 --> 00:00:09.760]  歡迎大家參加我們三藩市播道會網上的五堂崇拜
[00:00:09.760 --> 00:00:12.800]  我們今天繼續思想希伯羅書的信息
[00:00:12.800 --> 00:00:17.280]  是希伯羅書第二章第五節至到第九節
[00:00:17.280 --> 00:00:20.480]  題目叫做人算什麼
[00:00:20.480 --> 00:00:22.880]  未開始思想這段聖經之前
[00:00:22.880 --> 00:00:24.800]  請你同心低頭和同肚告
[00:00:24.800 --> 00:00:27.920]  慈悲仰天父我們滿心多謝你
[00:00:27.920 --> 00:00:31.520]  我們雖然渺小軟弱
[00:00:31.520 --> 00:00:33.840]  你仍然看顧我們
[00:00:33.840 --> 00:00:37.520]  就好像聖經裡面說人算什麼
[00:00:37.520 --> 00:00:39.840]  你竟眷顧他
[00:00:39.840 --> 00:00:42.640]  多謝你你眷顧我們
[00:00:42.640 --> 00:00:45.680]  甚至差遣主耶穌為我們釘死在十字架
[00:00:45.680 --> 00:00:47.280]  完成這個教育
[00:00:47.280 --> 00:00:49.360]  給我們有永生的盼望
[00:00:49.360 --> 00:00:53.200]  求你藉著我們今天言讀你的話語
[00:00:53.200 --> 00:00:55.600]  聖靈在我們心裏面動工
[00:00:55.600 --> 00:00:57.040]  講要所講的說話
[00:00:57.040 --> 00:00:59.840]  無論是提醒的勸勉的教導的
[00:00:59.840 --> 00:01:01.120]  安慰的篤砸的
[00:01:01.120 --> 00:01:03.200]  都讓我們容得下你的話語
[00:01:03.200 --> 00:01:05.360]  在我們生命裏面又去改變我們
[00:01:05.360 --> 00:01:06.800]  我們今天討個
[00:01:06.800 --> 00:01:08.560]  那是奉耶穌基督名求
[00:01:08.560 --> 00:01:09.520]  阿門
[00:01:09.520 --> 00:01:12.880]  從來沒有一個西方記者
[00:01:12.880 --> 00:01:14.720]  或者任何人士
[00:01:14.720 --> 00:01:17.760]  訪問過蘇聯西伯利亞的集中營
[00:01:17.760 --> 00:01:20.720]  但差不多每一個蘇聯人都知道
[00:01:20.720 --> 00:01:23.600]  你一旦被送到他那裏囚禁
[00:01:23.600 --> 00:01:26.240]  能夠重見天日的機會
[00:01:26.240 --> 00:01:28.560]  所謂微乎其微
[00:01:28.560 --> 00:01:31.360]  成千上萬的政治犯
[00:01:31.360 --> 00:01:33.920]  尤其是在史太林的時代
[00:01:33.920 --> 00:01:35.840]  所謂恐怖時代
[00:01:35.840 --> 00:01:38.720]  都在獄中被虐待而死
[00:01:38.720 --> 00:01:42.480]  但是有些時候
[00:01:42.480 --> 00:01:49.120]  給那些能夠有機會離開集中營的人士口裏面
[00:01:49.120 --> 00:01:51.600]  我們略知道一些動人的故事
[00:01:51.600 --> 00:01:53.760]  今天我就想和大家講一個
[00:01:53.760 --> 00:01:56.960]  叫Boris Confield醫生的故事
[00:01:56.960 --> 00:01:59.120]  Confield醫生是一個猶太人
[00:01:59.120 --> 00:02:01.760]  但自從他祖父被沙皇所害
[00:02:01.760 --> 00:02:05.280]  他對任何宗教信仰都非常反感
[00:02:05.280 --> 00:02:07.200]  他就好像他父親一樣
[00:02:07.200 --> 00:02:11.520]  是一個徹頭徹尾的馬克思主義分子
[00:02:11.520 --> 00:02:13.600]  不知為何可能他講了一兩句
[00:02:13.600 --> 00:02:15.520]  批評政府的說話
[00:02:15.520 --> 00:02:19.680]  就被送到西伯利亞集中營那裏過活
[00:02:19.680 --> 00:02:21.920]  過著一些非人的生活
[00:02:21.920 --> 00:02:23.840]  雖然他是一位醫生
[00:02:23.840 --> 00:02:26.480]  在冰天雪地的集中營當中
[00:02:26.480 --> 00:02:27.840]  醫生稀少
[00:02:27.840 --> 00:02:29.840]  所以在諸囚犯當中
[00:02:29.840 --> 00:02:34.880]  他有一個比較受到憂口對待的一位
[00:02:34.880 --> 00:02:37.760]  再加上獄卒很多時候都會有病
[00:02:37.760 --> 00:02:39.200]  要看醫生治理的
[00:02:39.200 --> 00:02:42.160]  當然對他就會比較寬容
[00:02:42.160 --> 00:02:44.720]  但是他是一個有思想
[00:02:44.720 --> 00:02:48.800]  是有理想的一個人
[00:02:48.800 --> 00:02:52.160]  當他看到周圍的囚犯被剝削
[00:02:52.160 --> 00:02:53.360]  被踐踏
