
[00:00:00.000 --> 00:00:12.000]  早晨,聽得到嗎?剛才那段經文讀完之後,我想大家都一頭霧水的
[00:00:12.000 --> 00:00:18.000]  因為剛才那段經文相當象徵性的
[00:00:18.000 --> 00:00:28.000]  在我們講啟示錄的時候,我們會不會遇到一些我們沒辦法用我們現在的言語去明白
[00:00:28.000 --> 00:00:36.000]  象徵不是表示它沒有東西,而是它不想你一看就明白
[00:00:36.000 --> 00:00:43.000]  或者當時它想將意思的真實隱藏下來
[00:00:43.000 --> 00:00:50.000]  事實上在中國的文學上都有很多象徵的文學
[00:00:50.000 --> 00:00:55.000]  這個經文我們讀過了,我們不再讀了
[00:00:55.000 --> 00:01:06.000]  就是一些很抽象的東西,我們用一些很抽象的東西去表達一些不直接講的東西
[00:01:06.000 --> 00:01:12.000]  很出名的詩歌,就有李商隱的《無題》
[00:01:12.000 --> 00:01:18.000]  大家很熟的,或者不可以說大家很熟,有些會很熟的
[00:01:18.000 --> 00:01:29.000]  相見是難,亦別亦難,東風無力,百花殘,春蠶到死思方盡,納具成灰,淚似乾
[00:01:29.000 --> 00:01:41.000]  曉鏡但愁雲笨改,夜淫英國月剛寒,鳳來此去無多路,青鳥因勤為嘆寒
[00:01:41.000 --> 00:01:49.000]  歷代的人要解釋詩很多的說法,又說政治上牛里黨爭
[00:01:49.000 --> 00:01:54.000]  又說李商隱有個妾侍,很多很多
[00:01:54.000 --> 00:02:01.000]  李商隱寫這個詩,《無題》詩有很多首,再加上他的詩
[00:02:01.000 --> 00:02:05.000]  事實上在歷代以來,我們知道李商隱在講一些東西
[00:02:05.000 --> 00:02:12.000]  不過,沒有人知道他想講什麼,直到近代
[00:02:12.000 --> 00:02:16.000]  有一個叫蘇雪林,不知道大家有沒有聽過
[00:02:16.000 --> 00:02:25.000]  他花了很長的時間,他將李商隱的時代,將他所寫過的詩歌順澤
[00:02:25.000 --> 00:02:35.000]  和人來往的所有文字,最後他就嘗試揭開出來
[00:02:35.000 --> 00:02:43.000]  他發現李商隱的詩經常是用一些道教的東西,那些時文
[00:02:43.000 --> 00:02:49.000]  還有很明顯,這些是戀愛詩,不是政治詩
[00:02:49.000 --> 00:02:57.000]  那些人說政治愛皇帝,戀愛皇帝,簡直是一塌糊塗
[00:02:57.000 --> 00:03:02.000]  從來沒有神子戀愛皇帝,叛君如叛婦
