
[00:00:00.000 --> 00:00:05.000]  各位全福堂的弟兄姊妹平安
[00:00:05.000 --> 00:00:08.000]  很快的聖誕快到了
[00:00:08.000 --> 00:00:10.000]  過往聖誕節來之前
[00:00:10.000 --> 00:00:12.000]  我相信很多人都很期待
[00:00:12.000 --> 00:00:14.000]  因為有三樣東西會發生
[00:00:14.000 --> 00:00:16.000]  第一樣東西就是人可以放假
[00:00:16.000 --> 00:00:18.000]  第二 人會去度假
[00:00:18.000 --> 00:00:21.000]  第三 一定會有減價
[00:00:21.000 --> 00:00:24.000]  為了放假 度假 減價
[00:00:24.000 --> 00:00:26.000]  我們非常期待聖誕的來臨
[00:00:26.000 --> 00:00:28.000]  但是我們都知道
[00:00:28.000 --> 00:00:30.000]  今年的聖誕跟往年不同
[00:00:30.000 --> 00:00:33.000]  今年每天都過著不一樣的聖誕
[00:00:33.000 --> 00:00:35.000]  人不想放假
[00:00:35.000 --> 00:00:37.000]  人不能度假
[00:00:37.000 --> 00:00:40.000]  人被迫要減價
[00:00:40.000 --> 00:00:42.000]  去年我在香港
[00:00:42.000 --> 00:00:44.000]  和家人吃聖誕大餐
[00:00:44.000 --> 00:00:46.000]  今年我在多倫多
[00:00:46.000 --> 00:00:50.000]  和家人在家裡一天三餐
[00:00:50.000 --> 00:00:52.000]  我相信目前很多人
[00:00:52.000 --> 00:00:55.000]  很想要的一件事就是平安
[00:00:55.000 --> 00:00:58.000]  很需要的一件事就是心安
[00:00:58.000 --> 00:01:00.000]  我相信接下來的新年
[00:01:00.000 --> 00:01:02.000]  如果賣灰春的人
[00:01:02.000 --> 00:01:04.000]  有兩個灰春一定要有
[00:01:04.000 --> 00:01:06.000]  第一個就是出入平安
[00:01:06.000 --> 00:01:09.000]  第二個就是身體健康
[00:01:09.000 --> 00:01:11.000]  其實平安有很多種
[00:01:11.000 --> 00:01:12.000]  平安有很多種
[00:01:12.000 --> 00:01:15.000]  正如徐小鳳有一首歌叫做叉燒包
[00:01:15.000 --> 00:01:18.000]  裡面提到有叉燒包 蓮蓉包 豬肉包 豆沙包
[00:01:18.000 --> 00:01:20.000]  很多包 包有很多種
[00:01:20.000 --> 00:01:22.000]  平安也有很多種
[00:01:22.000 --> 00:01:24.000]  買保險為平安
[00:01:24.000 --> 00:01:26.000]  所以保險也有很多種
[00:01:26.000 --> 00:01:29.000]  有汽車保險 旅遊保險 房屋保險 人壽保險
[00:01:29.000 --> 00:01:33.000]  有水險 有風險 有火險
[00:01:33.000 --> 00:01:35.000]  專業職業踢球的
[00:01:35.000 --> 00:01:37.000]  為雙腳買保險
[00:01:37.000 --> 00:01:39.000]  鋼琴演奏的
[00:01:39.000 --> 00:01:41.000]  為雙手買保險
[00:01:41.000 --> 00:01:43.000]  唱歌的
[00:01:43.000 --> 00:01:45.000]  為聲音買保險
[00:01:45.000 --> 00:01:47.000]  有不同的包 有不同的保險
[00:01:47.000 --> 00:01:49.000]  有不同的平安
[00:01:49.000 --> 00:01:52.000]  但是有些平安是我們不可以沒有的
[00:01:52.000 --> 00:01:54.000]  是不可以失去的
[00:01:54.000 --> 00:01:56.000]  是不應該失去的
[00:01:56.000 --> 00:01:59.000]  有些人為了平安
[00:01:59.000 --> 00:02:01.000]  為了一份安全感
[00:02:01.000 --> 00:02:03.000]  我們會想盡辦法
[00:02:03.000 --> 00:02:05.000]  我們會竭盡所能
[00:02:05.000 --> 00:02:06.000]  好像在疫情當中
[00:02:06.000 --> 00:02:08.000]  我發現有些人的家裡
[00:02:08.000 --> 00:02:10.000]  真的防疫措施做到
[00:02:10.000 --> 00:02:12.000]  入門前入門後
[00:02:12.000 --> 00:02:14.000]  都有一定的手續
[00:02:14.000 --> 00:02:16.000]  一定的程序
[00:02:16.000 --> 00:02:18.000]  有些人為了求平安
[00:02:18.000 --> 00:02:20.000]  求心安
[00:02:20.000 --> 00:02:22.000]  資源儲備足
[00:02:22.000 --> 00:02:24.000]  我記得有一次跟太太說
[00:02:24.000 --> 00:02:26.000]  那個人所有的
[00:02:26.000 --> 00:02:28.000]  我們看到的
[00:02:28.000 --> 00:02:30.000]  很簡單算一算
[00:02:30.000 --> 00:02:32.000]  我想兩三年都用不完
[00:02:32.000 --> 00:02:34.000]  我看沒辦法
[00:02:34.000 --> 00:02:36.000]  為求心安 萬無一失
[00:02:36.000 --> 00:02:38.000]  人會想盡辦法
[00:02:38.000 --> 00:02:40.000]  竭盡所能
[00:02:40.000 --> 00:02:42.000]  我二月份回到多倫多的時候
[00:02:42.000 --> 00:02:44.000]  坐飛機
[00:02:44.000 --> 00:02:46.000]  相機看到有人坐在那裡
[00:02:46.000 --> 00:02:48.000]  其實我那時候看就看到一件東西
[00:02:48.000 --> 00:02:50.000]  我看不到那個人
[00:02:50.000 --> 00:02:52.000]  眼耳口鼻手手腳腳都看不到
[00:02:52.000 --> 00:02:54.000]  包得很緊的坐在那裡
[00:02:54.000 --> 00:02:56.000]  非常非常安全
[00:02:56.000 --> 00:02:58.000]  我想他可能
[00:02:58.000 --> 00:03:00.000]  都是為了一份安全
[00:03:00.000 --> 00:03:02.000]  為了一份平安
[00:03:02.000 --> 00:03:04.000]  一份心安
[00:03:04.000 --> 00:03:06.000]  我見到他其實就不是很平安
[00:03:06.000 --> 00:03:08.000]  不是因為他不平安
[00:03:08.000 --> 00:03:10.000]  是我自己不平安
[00:03:10.000 --> 00:03:12.000]  因為我沒有他那麼齊全的裝備
[00:03:12.000 --> 00:03:14.000]  其實今天我們人有平安
[00:03:14.000 --> 00:03:16.000]  是應該的
[00:03:16.000 --> 00:03:18.000]  是自然的
[00:03:18.000 --> 00:03:20.000]  但有些平安我們是不可以沒有
[00:03:20.000 --> 00:03:22.000]  是不可以忘記的
[00:03:22.000 --> 00:03:24.000]  今天和大家分享的
[00:03:24.000 --> 00:03:26.000]  叫做不一樣的聖誕
[00:03:26.000 --> 00:03:28.000]  不一樣的平安
[00:03:28.000 --> 00:03:30.000]  我們先看一看聖誕
[00:03:30.000 --> 00:03:32.000]  路加福音第二章十四節
[00:03:32.000 --> 00:03:34.000]  是記載了第一個的聖誕
[00:03:34.000 --> 00:03:36.000]  在當日
[00:03:36.000 --> 00:03:38.000]  天事報述
[00:03:38.000 --> 00:03:40.000]  路加福音第二章十四節說
[00:03:40.000 --> 00:03:42.000]  在至高之處
[00:03:42.000 --> 00:03:44.000]  榮耀歸於神
[00:03:44.000 --> 00:03:48.000]  至上平安歸於他所喜悅的人
