
[00:00:00.000 --> 00:00:05.000]  我以為只有他一個聽
[00:00:05.000 --> 00:00:08.000]  好 多謝你 今天繼續吃 不要吃了旁邊那盒
[00:00:08.000 --> 00:00:12.000]  今天我不知道原來今年最後一次
[00:00:12.000 --> 00:00:16.000]  很榮幸做了一個壓軸嘉賓
[00:00:16.000 --> 00:00:21.000]  今天其實我不知道大家互相認不認識
[00:00:21.000 --> 00:00:24.000]  我看大家的樣子都很久沒老
[00:00:24.000 --> 00:00:31.000]  不過有人解釋說陪一個人到老
[00:00:31.000 --> 00:00:34.000]  對人生來說是最大的享受
[00:00:34.000 --> 00:00:38.000]  有些人說最怕寂寞
[00:00:38.000 --> 00:00:41.000]  現在為何人們玩遊戲機呢
[00:00:41.000 --> 00:00:46.000]  玩遊戲機其實不是玩遊戲機好玩
[00:00:46.000 --> 00:00:49.000]  就算沒有發明遊戲機
[00:00:49.000 --> 00:00:53.000]  人們都是玩別的 因為寂寞
[00:00:53.000 --> 00:00:58.000]  那些父母為何天天罵子女玩遊戲機呢
[00:00:58.000 --> 00:01:00.000]  為何沒有空罵他們呢
[00:01:00.000 --> 00:01:03.000]  因為父母都很寂寞
[00:01:03.000 --> 00:01:05.000]  所以要找人罵
[00:01:05.000 --> 00:01:09.000]  為何他們寂寞呢 因為兩夫妻沒有話題
[00:01:09.000 --> 00:01:13.000]  所以大家覺得只好向子女握手
[00:01:13.000 --> 00:01:16.000]  問題是他們的婚姻都很寂寞
[00:01:16.000 --> 00:01:20.000]  所以有些社會學家說人類的危機
[00:01:20.000 --> 00:01:22.000]  就是消滅貧窮
[00:01:22.000 --> 00:01:26.000]  現在陸續很多地方都沒有人餓死
[00:01:26.000 --> 00:01:28.000]  但反而人有第二個危機
[00:01:28.000 --> 00:01:32.000]  在這個世界很多人都覺得很寂寞
[00:01:32.000 --> 00:01:35.000]  寂寞是激鬱症的來源
[00:01:35.000 --> 00:01:38.000]  很多人都感到遭遇到一些事
[00:01:38.000 --> 00:01:41.000]  突然間發覺到為何只有我是這樣的
[00:01:41.000 --> 00:01:43.000]  有種寂寞的感覺
[00:01:43.000 --> 00:01:45.000]  所以你會說我們這裡坐這麼多人
[00:01:45.000 --> 00:01:49.000]  但我想你不輕易跟幾個人說你的心事
[00:01:49.000 --> 00:01:51.000]  你只會覺得自己的事
[00:01:51.000 --> 00:01:53.000]  自己知道的
[00:01:53.000 --> 00:01:55.000]  說出來我怕你笑我
[00:01:55.000 --> 00:01:57.000]  或者看不起我更糟糕
[00:01:57.000 --> 00:01:59.000]  所以不如不要說
[00:01:59.000 --> 00:02:01.000]  所以當你說不出話題
[00:02:01.000 --> 00:02:03.000]  又沒有那麼多人圍著你
[00:02:03.000 --> 00:02:05.000]  寂寞感覺更大
[00:02:05.000 --> 00:02:07.000]  你在沙漠反而沒有寂寞感覺
[00:02:07.000 --> 00:02:09.000]  你預料到沒有人
[00:02:09.000 --> 00:02:11.000]  最慘你圍著那麼多人都說不出話題
[00:02:11.000 --> 00:02:13.000]  感覺更難受
[00:02:13.000 --> 00:02:15.000]  所以有些人說親戚好像很多
[00:02:15.000 --> 00:02:17.000]  同事很多 朋友很多
[00:02:17.000 --> 00:02:19.000]  突然間沒有人聊天
[00:02:19.000 --> 00:02:22.000]  所以當我做一些激鬱症輔導的時候
[00:02:22.000 --> 00:02:24.000]  我發覺為何他三不四七
[00:02:24.000 --> 00:02:26.000]  跟我說那麼多話
[00:02:26.000 --> 00:02:28.000]  原來他身邊的人是不能說的
[00:02:28.000 --> 00:02:31.000]  我自己也有經驗過這件事
[00:02:31.000 --> 00:02:33.000]  我在八年半前
[00:02:33.000 --> 00:02:35.000]  我太太去世
[00:02:35.000 --> 00:02:37.000]  她患癌症的時候
[00:02:37.000 --> 00:02:39.000]  她很聰明
[00:02:39.000 --> 00:02:41.000]  她約定五個人
[00:02:41.000 --> 00:02:43.000]  跟我住
[00:02:43.000 --> 00:02:45.000]  那些人本身是跟我們住的
[00:02:45.000 --> 00:02:47.000]  不是我們親戚
[00:02:47.000 --> 00:02:51.000]  叫他們陪我五年
[00:02:51.000 --> 00:02:53.000]  之後搬走
[00:02:53.000 --> 00:02:55.000]  很聰明的太太
[00:02:55.000 --> 00:02:57.000]  怕她老公很寂寞
