
[00:00:00.000 --> 00:00:05.000]  教會一間在香港的北方堂
[00:00:05.000 --> 00:00:07.000]  一間在三藩市的博導會
[00:00:07.000 --> 00:00:09.000]  另一間就在這裡
[00:00:09.000 --> 00:00:13.000]  每次返到自己家裏面的教會講道的時候
[00:00:13.000 --> 00:00:16.000]  是特別舒服的
[00:00:16.000 --> 00:00:18.000]  又不需要怎樣做作
[00:00:18.000 --> 00:00:20.000]  知道我的好處和壞處
[00:00:20.000 --> 00:00:22.000]  大家都知道
[00:00:22.000 --> 00:00:26.000]  不過我們好像平日有讀講道經文
[00:00:26.000 --> 00:00:28.000]  還是已經改了
[00:00:28.000 --> 00:00:30.000]  現在不讀了
[00:00:30.000 --> 00:00:32.000]  我還是有點老
[00:00:32.000 --> 00:00:36.000]  你們在程序表裏面有經文
[00:00:36.000 --> 00:00:38.000]  我想宣講神的話的時候
[00:00:38.000 --> 00:00:41.000]  我們都應該讀讀神的話
[00:00:41.000 --> 00:00:42.000]  如果你找到的時候
[00:00:42.000 --> 00:00:45.000]  你跟我一起讀完這11節經文
[00:00:45.000 --> 00:00:47.000]  不是很長
[00:00:47.000 --> 00:00:50.000]  找到了
[00:00:50.000 --> 00:00:54.000]  耶穌基督的僕人
[00:00:54.000 --> 00:00:58.000]  對不起,這是羅馬書第一章
[00:00:58.000 --> 00:01:01.000]  我們保留聖經吧
[00:01:01.000 --> 00:01:06.000]  不是,我應該預先查一下他們就OK了
[00:01:06.000 --> 00:01:08.000]  因為我最近很忙,沒機會
[00:01:08.000 --> 00:01:11.000]  第五章第一至十一節
[00:01:11.000 --> 00:01:13.000]  有沒有聖經?
[00:01:13.000 --> 00:01:15.000]  不過現在沒什麼人有藉口沒有聖經
[00:01:15.000 --> 00:01:17.000]  每個人都有手機
[00:01:17.000 --> 00:01:21.000]  你不要看WhatsApp就好了
[00:01:22.000 --> 00:01:25.000]  我們既因信清義
[00:01:25.000 --> 00:01:28.000]  就藉著我們的主耶穌基督
[00:01:28.000 --> 00:01:30.000]  得與上帝相和
[00:01:30.000 --> 00:01:32.000]  我們又藉著他
[00:01:32.000 --> 00:01:36.000]  因信得進入現在所站的這恩典中
[00:01:36.000 --> 00:01:40.000]  並且歡歡喜喜盼望上帝的榮耀
[00:01:40.000 --> 00:01:42.000]  不但如此
[00:01:42.000 --> 00:01:46.000]  就是在患難中也是歡歡喜喜的
[00:01:46.000 --> 00:01:49.000]  因為知道患難生忍耐
[00:01:49.000 --> 00:01:51.000]  忍耐生老練
[00:01:51.000 --> 00:01:53.000]  早練生盼望
[00:01:53.000 --> 00:01:55.000]  盼望不至於羞恥
[00:01:55.000 --> 00:01:58.000]  因為所賜給我們的聖靈
[00:01:58.000 --> 00:02:02.000]  將上帝的愛囂貫在我們心裡
[00:02:02.000 --> 00:02:05.000]  因我們還軟弱的時候
[00:02:05.000 --> 00:02:09.000]  基督就按所定的日期為罪人死
[00:02:09.000 --> 00:02:11.000]  為人死是少有的
[00:02:11.000 --> 00:02:14.000]  為人人死或者有感作的
[00:02:14.000 --> 00:02:18.000]  唯有基督在我們還作罪人的時候
[00:02:18.000 --> 00:02:20.000]  為我們死
[00:02:20.000 --> 00:02:24.000]  上帝的愛就在此向我們顯明了
[00:02:24.000 --> 00:02:28.000]  現在我們既靠著他的血清儀
[00:02:28.000 --> 00:02:32.000]  就更要藉著他免去上帝的憤怒
[00:02:32.000 --> 00:02:35.000]  因為我們作仇敵的時候
[00:02:35.000 --> 00:02:38.000]  且藉著上帝兒子的死
[00:02:38.000 --> 00:02:40.000]  得與上帝和好
[00:02:40.000 --> 00:02:42.000]  既已和好
[00:02:42.000 --> 00:02:45.000]  就更要因他的生得救了
[00:02:45.000 --> 00:02:47.000]  不但如此
[00:02:47.000 --> 00:02:52.000]  也藉著我主耶穌基督得與上帝和好
