
[00:00:00.000 --> 00:00:06.080]  今天是新的一年第一個主日
[00:00:06.080 --> 00:00:10.960]  相信我們今天的信息是非常非常之合時
[00:00:10.960 --> 00:00:12.160]  很有意思
[00:00:12.160 --> 00:00:16.480]  就是叫做行出蒙召雙清的因
[00:00:16.480 --> 00:00:21.680]  我們基督徒都要行出與蒙召雙清的因
[00:00:21.680 --> 00:00:24.480]  今天的經文剛才讀過了
[00:00:24.480 --> 00:00:26.880]  在這裡已忽所書的第四章
[00:00:26.880 --> 00:00:37.280]  我們說保羅用了三章的經文來教我們有很多的神學
[00:00:37.280 --> 00:00:40.560]  然後在第四章告訴我們
[00:00:40.560 --> 00:00:42.240]  現在是時候了
[00:00:42.240 --> 00:00:44.800]  你們要將你們所學到的
[00:00:44.800 --> 00:00:47.360]  將你們的知識走出來
[00:00:47.360 --> 00:00:50.240]  你們要與蒙召的因雙清
[00:00:50.240 --> 00:00:53.920]  其實我們基督徒都很幸福的
[00:00:53.920 --> 00:00:59.040]  我們有齊新舊約在我們的手上
[00:00:59.040 --> 00:01:01.360]  一部聖經包括新舊約
[00:01:01.360 --> 00:01:03.520]  但是早期的教會呢
[00:01:03.520 --> 00:01:07.360]  那些弟兄姊妹沒有那麼幸福
[00:01:07.360 --> 00:01:10.560]  他們手上就有聖經
[00:01:10.560 --> 00:01:13.760]  他們在教會在聖殿
[00:01:13.760 --> 00:01:16.560]  可以讀一些流傳的書信
[00:01:16.560 --> 00:01:18.480]  好像保羅的書信
[00:01:18.480 --> 00:01:21.760]  但他們怎樣也好沒有自己一部的聖經
[00:01:21.760 --> 00:01:23.200]  有齊新舊約
[00:01:23.200 --> 00:01:25.200]  我們真的很幸福
[00:01:25.200 --> 00:01:31.520]  我們還可以在網上聽很多很多出名的港獨的人
[00:01:31.520 --> 00:01:32.960]  來到港獨
[00:01:32.960 --> 00:01:36.000]  我們有很多很多頭腦上的知識
[00:01:36.000 --> 00:01:39.600]  有那麼多的知識要來做什麼呢
[00:01:39.600 --> 00:01:41.760]  有沒有想過
[00:01:41.760 --> 00:01:44.960]  我們真的很想得到很多知識
[00:01:44.960 --> 00:01:47.920]  是不是快要進入天堂的時候
[00:01:47.920 --> 00:01:50.080]  有一個進入天堂的考試
[00:01:50.080 --> 00:01:53.040]  要考試才准我們進入天堂
[00:01:53.040 --> 00:01:56.400]  不是的 沒有這樣的試
[00:01:56.400 --> 00:01:59.920]  我們在香港就習慣有升中試
[00:01:59.920 --> 00:02:02.000]  有什麼大學的入學試
[00:02:02.000 --> 00:02:04.800]  但是進入天堂是沒有這些試的
[00:02:04.800 --> 00:02:08.880]  我們學了那麼多的這些知識要來做什麼
[00:02:08.880 --> 00:02:11.040]  保羅告訴我們
[00:02:11.040 --> 00:02:13.760]  我們要在生命當中活出來
[00:02:13.760 --> 00:02:16.240]  我們做美國的公民
[00:02:16.240 --> 00:02:19.520]  我們都要遵守美國的律法
[00:02:19.520 --> 00:02:23.360]  我們上學都有校規
[00:02:23.360 --> 00:02:25.680]  我們做基督徒都是一樣
[00:02:25.680 --> 00:02:28.800]  我們要與蒙召的恩相稱
[00:02:28.800 --> 00:02:35.200]  保羅在葉弗所書的第一章
[00:02:35.200 --> 00:02:37.200]  告訴我們在個人立場
[00:02:37.200 --> 00:02:39.200]  我們是很幸福
[00:02:39.200 --> 00:02:42.720]  神揀選我們在宇宙之先已經揀選我們
[00:02:42.720 --> 00:02:44.160]  給我們很多的福氣
