
[00:00:00.000 --> 00:00:03.000]  改革500周年
[00:00:03.000 --> 00:00:07.000]  基督教我們都說是源於道德的改革
[00:00:07.000 --> 00:00:14.000]  它是15世紀末,即是1483年出生
[00:00:14.000 --> 00:00:19.000]  我用1517就是指它的改革之前
[00:00:19.000 --> 00:00:23.000]  所以改革運動前的生命,就是講它前面
[00:00:23.000 --> 00:00:27.000]  前面這個日子就不算很長
[00:00:27.000 --> 00:00:30.000]  它是30歲左右
[00:00:30.000 --> 00:00:33.000]  它是什麼人呢?它是德國人
[00:00:33.000 --> 00:00:36.000]  當時德國還沒有統一,德國有很多個諸侯
[00:00:36.000 --> 00:00:40.000]  我們有些背景就是當時統治德國
[00:00:40.000 --> 00:00:45.000]  就是一個叫做神聖羅馬帝國的皇帝
[00:00:45.000 --> 00:00:51.000]  他就統治了德國各個諸侯國和奧地利等等
[00:00:51.000 --> 00:00:57.000]  出奇的地方就是這個皇帝管理很大,差不多一半的歐洲
[00:00:57.000 --> 00:01:00.000]  但是就沒有什麼實權
[00:01:00.000 --> 00:01:04.000]  真正實權就在諸侯國裏面
[00:01:04.000 --> 00:01:07.000]  路德就在一個很大的諸侯國
[00:01:07.000 --> 00:01:13.000]  就是薩克森一個很大的諸侯國裏面出生
[00:01:13.000 --> 00:01:19.000]  他的家人後來就搬到另一個地方
[00:01:19.000 --> 00:01:22.000]  不需要理他了
[00:01:22.000 --> 00:01:27.000]  他父親是做什麼的呢?他父親是做礦工的
[00:01:27.000 --> 00:01:34.000]  路德的性格基本上有相當部分是來自他父親
[00:01:34.000 --> 00:01:41.000]  他父親是一個很剛烈,我用正直來說是固執
[00:01:41.000 --> 00:01:45.000]  他媽媽就是很敬虔
[00:01:45.000 --> 00:01:51.000]  但是對於路德來說,父親的影響是遠遠超過他媽媽的
[00:01:51.000 --> 00:01:55.000]  因為他父親對他管教非常嚴格
[00:01:55.000 --> 00:02:00.000]  有些心理學家就去研究路德將來的性格如何塑造
[00:02:00.000 --> 00:02:04.000]  現在說原生家庭等等的東西
[00:02:04.000 --> 00:02:14.000]  當他小的時候,有一次路德偷吃一個很小的果仁
[00:02:14.000 --> 00:02:20.000]  很小的,他爸爸知道,抓住他
[00:02:20.000 --> 00:02:25.000]  你為什麼不讓我許可,就吃那片果仁
[00:02:25.000 --> 00:02:30.000]  就是那些核桃,打到他死
[00:02:30.000 --> 00:02:34.000]  所以路德看到他父親很害怕
[00:02:34.000 --> 00:02:37.000]  因為他父親那種嚴苛
[00:02:37.000 --> 00:02:42.000]  所以路德後來有一段時間不和爸爸聊天
[00:02:42.000 --> 00:02:46.000]  特別是他要去修院的時候,一段很長時間
[00:02:46.000 --> 00:02:51.000]  他爸爸不和他聊天,他也和他爸爸沒有溝通
[00:02:51.000 --> 00:02:58.000]  路德對父親的形象直接影響他對上帝的形象
[00:02:58.000 --> 00:03:04.000]  當他一說「我們是天上的父」,他就震驚了
[00:03:04.000 --> 00:03:08.000]  「天上的父」一說「父親」,他就很驚慌
[00:03:08.000 --> 00:03:16.000]  所以對於他來說,「父親」這兩個字不是一個很好的經驗
[00:03:16.000 --> 00:03:25.000]  他父親也不算很窮,因為他有自己的煉鋼爐
[00:03:25.000 --> 00:03:30.000]  所以他有些錢去掙,當時很多農民來說
[00:03:30.000 --> 00:03:33.000]  他們的家庭就叫做小康之家
[00:03:33.000 --> 00:03:38.000]  所以他就能夠供養路德去讀大學
[00:03:38.000 --> 00:03:43.000]  就在他城裡面,叫做爾忽德大學
[00:03:43.000 --> 00:03:47.000]  而他父親就想著將來要做律師
[00:03:47.000 --> 00:03:54.000]  所以他一心要栽培他,認為做律師將來他就可以有錢、有地位
[00:03:54.000 --> 00:04:00.000]  他就很聽話,父親讀什麼就讀什麼
[00:04:00.000 --> 00:04:06.000]  當他入了大學之後,他就讀文法、修辭學,他就很勤力讀書
[00:04:06.000 --> 00:04:11.000]  在大學期間,他和過去所經歷的事情有一個很大的不同
[00:04:11.000 --> 00:04:16.000]  路德和他父親的媽媽其實是至少有回教會的
[00:04:16.000 --> 00:04:22.000]  他媽媽很敬虔,但是她的敬虔就是集染了很多當時的迷信
