
[00:00:00.000 --> 00:00:11.000]  今天跟大家分享的經文是出自於《馬太福音》第五章第十七節至第二十節
[00:00:11.000 --> 00:00:16.500]  今天的講題是「講得出,做得到的天國主人」
[00:00:16.500 --> 00:00:21.000]  我相信大家弟兄姊妹在你平日的生活中
[00:00:21.000 --> 00:00:27.000]  都會見到一些凡事都跟你唱反調的人
[00:00:27.000 --> 00:00:33.000]  我們在英語世界中會稱這種人為contrarian
[00:00:33.000 --> 00:00:38.000]  這種人有一種特色,他不管任何情況
[00:00:38.000 --> 00:00:43.000]  只要你說任何意見,他都會反對
[00:00:43.000 --> 00:00:49.000]  但至於你問他有什麼可行的行動或建議
[00:00:49.000 --> 00:00:54.000]  通常他都很少建議,他只會反對你
[00:00:54.000 --> 00:00:58.000]  這種人為什麼要這樣做呢?
[00:00:58.000 --> 00:01:05.000]  因為他要故意在眾人面前將自己塑造成與別不同的人
[00:01:05.000 --> 00:01:09.000]  這樣他才覺得自己更加特別
[00:01:09.000 --> 00:01:14.000]  也能夠吸引一些跟他同類性情的人
[00:01:14.000 --> 00:01:20.000]  或者喜歡反對人的人成為他的跟隨者
[00:01:20.000 --> 00:01:24.000]  事實上這種人在我們平日生活中
[00:01:24.000 --> 00:01:29.000]  細心去看真的不少,甚至非常多
[00:01:29.000 --> 00:01:34.000]  好像香港的便利店一樣,一定有一間在你附近
[00:01:34.000 --> 00:01:39.000]  我們就去問一下,為什麼有這麼多人
[00:01:39.000 --> 00:01:43.000]  都喜歡做一個凡事都可以反對的人呢?
[00:01:43.000 --> 00:01:48.000]  反對是很容易的,總之別人說什麼你都反對
[00:01:48.000 --> 00:01:52.000]  但為什麼這類人是這麼普遍呢?
[00:01:52.000 --> 00:01:56.000]  如果我們身為基督徒,究其原因的話
[00:01:56.000 --> 00:01:59.000]  我們其實很容易就可以解答這個問題
[00:01:59.000 --> 00:02:03.000]  其實這個就是出自於人犯罪的結果
[00:02:03.000 --> 00:02:10.000]  當人在依煉完犯罪之後,人就開始認賊作父
[00:02:10.000 --> 00:02:13.000]  認了別人做他的父親,那是誰呢?
[00:02:13.000 --> 00:02:21.000]  那個就是撒旦的蛇,用新約的說法,這個就是魔鬼
[00:02:21.000 --> 00:02:27.000]  如果我們查考魔鬼或者撒旦這個名稱
[00:02:27.000 --> 00:02:33.000]  本身的意義的話,這個字本身是說到一個說方者
[00:02:33.000 --> 00:02:39.000]  或者可以這麼說,他是一個反對者,英文叫adversaries
[00:02:39.000 --> 00:02:42.000]  所以他通常什麼都喜歡反的
[00:02:42.000 --> 00:02:46.000]  上帝說的話他更加尤其要反對
[00:02:46.000 --> 00:02:51.000]  而人自從犯了罪之後,這種性情也都久而久之
[00:02:51.000 --> 00:02:58.000]  是在人的生命裡面去落實,並且牢牢捆綁每一個世界上的人
[00:02:58.000 --> 00:03:03.000]  這種人的性情就是凡事都要反,反,反
[00:03:03.000 --> 00:03:08.000]  無論你說對的話他都要反,你說錯的話他都要反
[00:03:08.000 --> 00:03:12.000]  因為他覺得這樣才顯得出自己與別不同
[00:03:12.000 --> 00:03:19.000]  而事實上在今天我們所遇見的在這個社會上不同的異端邪教
[00:03:19.000 --> 00:03:25.000]  其實他們的出現,他們的成立,以至於他們的壯大
[00:03:25.000 --> 00:03:32.000]  其實都同樣是用這種手段,以反對,以一種與別不同的態度
[00:03:32.000 --> 00:03:37.000]  去營造出自己一個被人超脫的感覺
[00:03:37.000 --> 00:03:40.000]  但是至於是真是假,是對與錯
[00:03:40.000 --> 00:03:44.000]  這個已經變成了很多人不理會的事情
[00:03:44.000 --> 00:03:47.000]  今天我們來看這段聖經
[00:03:47.000 --> 00:03:52.000]  我們知道耶穌基督開始出來傳道的日子
[00:03:52.000 --> 00:04:00.000]  在他的傳道的過程當中,耶穌是不是也都要耍兩道這種類似的伎倆
[00:04:00.000 --> 00:04:09.000]  去鞏固他的群眾,去鞏固他的跟隨者的維繫,對他的信賴之心呢?
[00:04:09.000 --> 00:04:15.000]  今天我們開始去看登山補訓,其實就是一個很重要的訊息
[00:04:15.000 --> 00:04:19.000]  在這裡一開始我們要首先弄個明白
[00:04:19.000 --> 00:04:22.000]  也都藉著耶穌基督這番的講道
[00:04:22.000 --> 00:04:31.000]  讓我們首先明白如何理解整個耶穌基督的侍奉,他的過程是怎樣
[00:04:31.000 --> 00:04:35.000]  他的動機又是怎樣,而這一篇登山補訓
[00:04:35.000 --> 00:04:42.000]  也都帶著一個什麼樣的心態,我們準確地去了解耶穌基督的教導呢?
[00:04:42.000 --> 00:04:47.000]  所以今天我們去看這段經文,馬太福音第五章17至20節
[00:04:47.000 --> 00:04:51.000]  我相信也都給我們有不少的亮光
[00:04:51.000 --> 00:04:57.000]  讓我們再一次打開這段聖經,我們一起去讀一下這段經文
[00:04:57.000 --> 00:05:00.000]  我們會先以和合本的版本去讀一次
[00:05:00.000 --> 00:05:04.000]  讓我們先去了解經文當中的內容
[00:05:04.000 --> 00:05:07.000]  這一段也是我們非常熟悉的經文
[00:05:07.000 --> 00:05:12.000]  我們一起打開馬太福音第五章17至20節
[00:05:12.000 --> 00:05:20.000]  莫想我來要廢掉律法和先知,我來不是要廢掉,乃是要成全
[00:05:20.000 --> 00:05:30.000]  我實在告訴你們,就是道天地都廢去了,律法的一點一卦也不能廢去,都要成全
[00:05:30.000 --> 00:05:41.000]  所以無論何人廢掉這誡命中最小的一條,又教訓人這樣做,他在天國要稱為最小的
[00:05:41.000 --> 00:05:49.000]  但無論何人遵行這誡命,又教訓人遵行,他在天國要稱為大的
[00:05:49.000 --> 00:06:00.000]  我告訴你們,你們的義若不勝於民,是和法利塞人的義,斷不能進天國
[00:06:00.000 --> 00:06:09.000]  其實在這段經文中,我們已經在前文看到耶穌很明白跟隨著他的人
[00:06:09.000 --> 00:06:13.000]  他們的心路歷程或者他們的心態是怎樣
