
[00:00:00.000 --> 00:00:04.000]  第一次會議 早晨
[00:00:04.000 --> 00:00:16.600]  依稀印象有三幾年時間沒有跟大家一起去敬拜上帝
[00:00:16.600 --> 00:00:24.160]  而這三幾年也正是香港社會最大變化的三幾年
[00:00:24.160 --> 00:00:31.200]  現象就是流離 對教會的衝擊很大
[00:00:31.200 --> 00:00:37.760]  地理上的流離 大量的中產信徒養民
[00:00:37.760 --> 00:00:42.000]  心靈上的流離就是很多人已經不回教會
[00:00:42.000 --> 00:00:47.040]  還有網上崇拜的孫子 特別是年青人更甚
[00:00:47.040 --> 00:00:53.280]  香港如是 世界更多變化
[00:00:53.280 --> 00:01:00.240]  我們的世界是越來越亂 只會更亂
[00:01:00.240 --> 00:01:08.480]  環境越來越差 包括生態環境 機制環境只會更差
[00:01:08.480 --> 00:01:17.760]  人心是越來越困頓 這是我們所存的現實
[00:01:17.760 --> 00:01:24.560]  所以在內外交接下信仰受到衝擊
[00:01:24.560 --> 00:01:30.080]  所以這幾年我在不同的場合也被人問到一個問題
[00:01:30.080 --> 00:01:38.960]  如果世界上有上帝 為什麼上帝容許世界上這麼多苦難的發生
[00:01:38.960 --> 00:01:48.720]  連綿的戰火 頻密的天災 很多無辜孩子一夜喪命
[00:01:48.720 --> 00:01:56.800]  你看看 二巴衝突 烏蘭的戰爭 更多的戰亂
[00:01:56.800 --> 00:02:03.120]  更多的天然災難 如果有上帝 上帝何以不出手制止
[00:02:03.120 --> 00:02:08.720]  何以上帝似乎缺席 何以上帝不做事
[00:02:08.720 --> 00:02:11.520]  很多的年輕信徒也問這個問題
[00:02:11.520 --> 00:02:17.440]  為什麼上帝不聽我禱告 為什麼世界不像我預期
[00:02:17.440 --> 00:02:22.720]  如果大家都懂這個問題 其實是一件好事
[00:02:22.720 --> 00:02:29.280]  聖經沒有標準簡單答案 關於人類苦難的問題
[00:02:29.280 --> 00:02:35.440]  任何宗教哲學都無法迴避 也不可能有一個簡單的答案
[00:02:35.440 --> 00:02:40.400]  如果和這些提問者我們真情對話的時候
[00:02:40.400 --> 00:02:50.640]  我都會跟他說 這個問題我都在我青壯年二十多歲開始去尋問
[00:02:50.640 --> 00:02:55.600]  世間有這麼多苦難 上帝何以容許這個苦難的發生
[00:02:55.600 --> 00:03:02.880]  為什麼好人沒有好報呢 但上帝給我的答案就是
[00:03:02.880 --> 00:03:08.480]  你問錯了問題 問錯了問題沒有答案的
[00:03:08.480 --> 00:03:12.960]  你不能挑戰我 你不能質疑我 你不能點我做事
[00:03:12.960 --> 00:03:19.440]  你只能問上帝 在這個時代 這樣的環境當中
[00:03:19.440 --> 00:03:28.560]  我能為你做些什麼 不是喂 而是孝
[00:03:28.560 --> 00:03:36.240]  於是這個好特別的轉念 令我在過去幾十年的人生路上
[00:03:36.240 --> 00:03:42.640]  其實路是越來越難行的 客觀環境越來越差
[00:03:42.640 --> 00:03:49.360]  但我的信心我仍然繼續前行
[00:03:49.360 --> 00:03:53.600]  今天和大家分享薩姆爾的故事
[00:03:53.600 --> 00:03:58.720]  我們讀聖經特別是舊約一定要了解那個時代的背景
[00:03:58.720 --> 00:04:04.320]  舊約很難讀的 因為太多歷史背景 太多舊約的集中
[00:04:04.320 --> 00:04:10.960]  我的讀經方法 我就會很用心去挑選 精讀若干理經卷
[00:04:10.960 --> 00:04:15.520]  精讀的人物 在舊約當中有哪些人物是最重要的呢
[00:04:15.520 --> 00:04:19.120]  是誰說的呢 客觀條件
[00:04:19.120 --> 00:04:26.240]  如果一個人的整個人生故事從他出生到死亡
[00:04:26.240 --> 00:04:38.400]  聖經記載的人物一定是重要的 有誰呢 摩西 亞國 薩姆爾
[00:04:38.400 --> 00:04:43.520]  如果我們去細讀薩姆爾的故事 必須從他母親說起
[00:04:43.520 --> 00:04:47.600]  因為薩姆爾的母親是很重要的
[00:04:47.600 --> 00:04:50.480]  那個時代的背景就是薩姆爾一個很特別的身份
[00:04:50.480 --> 00:04:55.200]  這個身份是空前絕後 前無古人後無來者的
[00:04:55.200 --> 00:05:01.200]  因為他是處於一個時代的翻頁轉變
[00:05:01.200 --> 00:05:04.960]  薩姆爾出生的背景是一個後士詩時代
[00:05:04.960 --> 00:05:08.000]  甚麼是後士詩時代呢 你讀路德記就知道了
[00:05:08.000 --> 00:05:10.880]  路德記第一章第一節怎麼說的呢
[00:05:10.880 --> 00:05:19.360]  士詩秉承的時代 一個亂世 難得亂世見真情
[00:05:19.360 --> 00:05:24.960]  霍亞斯和路德在這樣的處境下結合
[00:05:24.960 --> 00:05:27.200]  神期盼安排在亂世當中
[00:05:27.200 --> 00:05:35.120]  原來尼塞亞就從這個家族的血脈出來
[00:05:35.120 --> 00:05:37.360]  這是上帝的報告
[00:05:37.360 --> 00:05:41.680]  在亂世當中 神同樣興起了一個重要人物
[00:05:41.680 --> 00:05:46.560]  去扭轉這個時代 去翻向時代的新頁
[00:05:46.560 --> 00:05:49.680]  薩姆爾特別之處是他最後一個士詩
[00:05:49.680 --> 00:05:52.480]  The Last One 大家才知道
[00:05:52.480 --> 00:05:55.600]  The First One 本身具備祭司身份
[00:05:55.600 --> 00:06:00.400]  不可能再出現的了 因為時代已經改變了
[00:06:00.400 --> 00:06:06.160]  所以這個獨特的身份就必須從他母親的土文說起
[00:06:06.160 --> 00:06:10.000]  薩姆爾的母親叫做哈娜
[00:06:10.000 --> 00:06:12.880]  哈娜有一個很獨特的遭遇
[00:06:12.880 --> 00:06:14.240]  這個遭遇很奇怪的
[00:06:14.240 --> 00:06:17.600]  我讀舊約就知道有幾個很重要的女性
[00:06:17.600 --> 00:06:22.000]  都面對同一個遭遇 不容
[00:06:22.000 --> 00:06:24.960]  在舊約上母子生是很痛苦的
[00:06:24.960 --> 00:06:30.800]  你受了丈夫的寵愛 受了很多承繼家業
[00:06:30.800 --> 00:06:33.360]  在小上很多壓力
[00:06:33.360 --> 00:06:36.240]  哈娜丈夫很寵愛她
[00:06:36.240 --> 00:06:43.200]  但她母子生 委全宗接代丈夫都要儲個田房
[00:06:43.200 --> 00:06:48.240]  有一次哈娜上殿去祈禱
[00:06:48.240 --> 00:06:52.000]  在祭司面前是歇斯底里地去香神
[00:06:52.000 --> 00:06:57.600]  傾訴她的苦情 都叫做苦情的土文
[00:06:57.600 --> 00:07:00.160]  祭司說 哈娜為什麼喝醉酒
[00:07:00.160 --> 00:07:02.400]  喝了酒就不要來祈禱了
[00:07:02.400 --> 00:07:05.920]  她說不是喝醉酒 我是向神傾心圖言
[00:07:05.920 --> 00:07:09.440]  很多苦水 很多苦水是無處傾訴的
[00:07:09.440 --> 00:07:12.160]  相當於代代都很多苦水
[00:07:12.160 --> 00:07:16.000]  回到教會我只能夠說好話
[00:07:16.000 --> 00:07:18.560]  很多苦情就是有苦自己知
[00:07:18.560 --> 00:07:21.920]  哈娜就在神面前傾心圖言
[00:07:21.920 --> 00:07:27.680]  向神許願 神啊 賜我一個兒子
[00:07:27.680 --> 00:07:30.240]  我願意終生將他奉建為拿西爾人
[00:07:30.240 --> 00:07:33.120]  不剃他的頭
[00:07:33.120 --> 00:07:35.360]  上帝聽哈娜祈禱
[00:07:35.360 --> 00:07:37.280]  不是悲憫一個苦情女人
[00:07:37.280 --> 00:07:42.800]  而是神的計劃透著這個家族去改變
[00:07:42.800 --> 00:07:47.040]  於是哈娜就生了撒姆爾
[00:07:47.040 --> 00:07:48.880]  一如向神許願
[00:07:48.880 --> 00:07:53.200]  將撒姆爾從小送到祭司那裡
[00:07:53.200 --> 00:07:58.160]  做了一個小小的學徒
[00:07:58.160 --> 00:08:02.160]  可惜在祭司那裡又學不到什麼
[00:08:02.160 --> 00:08:03.760]  這個祭司是一個以尼
[00:08:03.760 --> 00:08:05.600]  以尼是一個昏魯無能的師父
[00:08:05.600 --> 00:08:09.600]  你跟著這麼師父真的沒什麼學到
[00:08:09.600 --> 00:08:12.720]  那個時代撒姆爾寄上
[00:08:12.720 --> 00:08:14.800]  路德記都是撒姆爾寫的
[00:08:14.800 --> 00:08:16.400]  所以他對這個時代很掌握
[00:08:16.400 --> 00:08:18.800]  這個時代用兩句話可以形容到
[00:08:18.800 --> 00:08:22.160]  然後說他的語言稀少
[00:08:22.160 --> 00:08:27.440]  The sound of silence 無聲
[00:08:27.440 --> 00:08:29.680]  不常的默示
[00:08:29.680 --> 00:08:31.120]  和本節叫做不常的默示
[00:08:31.120 --> 00:08:33.600]  其實在聖經可以看到
[00:08:33.600 --> 00:08:36.480]  其實是神沒有默示
[00:08:36.480 --> 00:08:40.160]  沒有異象民就放肆
[00:08:40.160 --> 00:08:42.320]  一個亂世
[00:08:42.320 --> 00:08:43.680]  為什麼是亂世呢?
[00:08:43.680 --> 00:08:46.000]  為什麼神不出手?你看看
[00:08:46.000 --> 00:08:47.200]  這個祭司還有什麼呢?
[00:08:47.200 --> 00:08:48.800]  就有三節
[00:08:48.800 --> 00:08:50.640]  神說:我曾告訴他
[00:08:50.640 --> 00:08:52.560]  我必永遠懲罰他家族
[00:08:52.560 --> 00:08:55.840]  指的是對以尼的忠告
[00:08:55.840 --> 00:08:58.720]  因為他知道自己的兒子作惡竊毒神
[00:08:58.720 --> 00:09:01.760]  卻不禁止他們
[00:09:01.760 --> 00:09:03.840]  老以尼老眼昏花
[00:09:03.840 --> 00:09:06.960]  眼又盲心又盲
[00:09:06.960 --> 00:09:09.360]  嬉戲著做
[00:09:09.360 --> 00:09:14.720]  兒子憑藉著宗教的特殊地位作威作福
[00:09:14.720 --> 00:09:16.960]  斂財傲物
[00:09:16.960 --> 00:09:19.920]  老祭司不禁止他
[00:09:19.920 --> 00:09:21.440]  這樣的宗教領袖
[00:09:21.440 --> 00:09:23.360]  神的代言人
[00:09:23.360 --> 00:09:26.160]  神可以給他什麼異象呢?
[00:09:26.160 --> 00:09:27.360]  神是沒有異象
[00:09:27.360 --> 00:09:28.160]  沒有聲音
[00:09:28.160 --> 00:09:31.600]  是沒有人為他所用
[00:09:31.600 --> 00:09:35.600]  以尼是一個失職的祭司
[00:09:35.600 --> 00:09:40.240]  所以神直接向撒姆爾
[00:09:40.240 --> 00:09:43.680]  發出呼召
[00:09:43.680 --> 00:09:46.080]  在一個晚上
[00:09:46.080 --> 00:09:48.400]  撒姆爾睡了一覺
[00:09:48.400 --> 00:09:49.680]  神答了沉默
[00:09:49.680 --> 00:09:54.640]  留意三章第三節
[00:09:54.640 --> 00:09:55.920]  我們看到一個紅色
[00:09:55.920 --> 00:09:57.760]  讀聖經很特別
[00:09:57.760 --> 00:09:58.960]  這本經文我讀過很多次
[00:09:58.960 --> 00:10:03.920]  但我近年才看到一個隱藏在
[00:10:03.920 --> 00:10:07.040]  智慧行間的天使
[00:10:07.040 --> 00:10:09.200]  魔鬼藏在天世節
[00:10:09.200 --> 00:10:11.600]  聖經也藏在世節
[00:10:11.600 --> 00:10:13.120]  記著一句話
[00:10:13.120 --> 00:10:15.280]  聖經沒有一句廢話
[00:10:15.280 --> 00:10:17.360]  聖經每一句說話
[00:10:17.360 --> 00:10:18.240]  每一個佈局
[00:10:18.240 --> 00:10:21.840]  每一個枝節都有意思
[00:10:21.840 --> 00:10:28.080]  神的燈沒有聲音
[00:10:28.080 --> 00:10:30.240]  撒姆爾當時睡在神的殿中
[00:10:30.240 --> 00:10:31.200]  又說是殿中
[00:10:31.200 --> 00:10:32.640]  當時不是聖殿
[00:10:32.640 --> 00:10:35.680]  聖殿是所羅門興建的
[00:10:35.680 --> 00:10:37.680]  撒姆爾還先知
[00:10:37.680 --> 00:10:39.040]  他古立的王叫什麼
[00:10:39.040 --> 00:10:40.240]  索羅
[00:10:40.240 --> 00:10:41.840]  接著是大衛
[00:10:41.840 --> 00:10:43.520]  接著才到所羅門
[00:10:43.520 --> 00:10:45.920]  當時是會幕
[00:10:45.920 --> 00:10:51.360]  而約瑰就放在會幕的聖寺聖所裏面
[00:10:51.360 --> 00:10:54.080]  有些禮崩樂壞
[00:10:54.080 --> 00:10:56.160]  童子撒姆爾睡在哪裏
[00:10:56.160 --> 00:10:57.840]  就睡在約瑰旁邊
[00:10:57.840 --> 00:11:00.960]  那裏不是我們睡覺的
[00:11:00.960 --> 00:11:03.040]  但那個佈局是什麼呢
[00:11:03.040 --> 00:11:06.640]  神的燈環的聲音
[00:11:06.640 --> 00:11:09.680]  在一個無聲的時代
[00:11:09.680 --> 00:11:11.520]  世代
[00:11:11.520 --> 00:11:13.520]  黑暗的世代
[00:11:13.520 --> 00:11:16.480]  神的燈仍亮著
[00:11:16.480 --> 00:11:19.200]  無論香港變成怎樣
[00:11:19.200 --> 00:11:22.800]  教會的燈仍要亮著
[00:11:22.800 --> 00:11:26.480]  記不記得我們每一盞小燈仍要亮著
[00:11:26.480 --> 00:11:28.480]  我們不可以熄滅
[00:11:28.480 --> 00:11:30.960]  童子撒姆爾當時一個最重要的工作
[00:11:30.960 --> 00:11:31.920]  他沒有什麼要做的
[00:11:31.920 --> 00:11:33.920]  師父這樣每天教他
[00:11:33.920 --> 00:11:37.360]  我覺得他們的工作就是為燈添油
[00:11:37.360 --> 00:11:39.520]  以前沒有電燈
[00:11:39.520 --> 00:11:40.400]  燈需要油
[00:11:40.400 --> 00:11:41.760]  求主長賜下
[00:11:41.760 --> 00:11:44.400]  記不記得一首古老聖詩
