
[00:00:00.000 --> 00:00:03.640]  各位電子妹早安
[00:00:03.640 --> 00:00:06.840]  介紹一下靈修組會是什麼來的
[00:00:06.840 --> 00:00:12.000]  這個組會應該就是這一年的第一次靈修組會
[00:00:12.000 --> 00:00:15.000]  大概兩個星期會有一次
[00:00:15.000 --> 00:00:17.560]  大概有時是三個星期
[00:00:17.560 --> 00:00:23.000]  就會在星期五的早上有一段靈修密上聽訊息的時間
[00:00:23.000 --> 00:00:28.560]  通常組會都是一個老師講了全場去到尾
[00:00:28.560 --> 00:00:32.600]  靈修組會的特色就是一開始的講道不會太長
[00:00:32.600 --> 00:00:34.600]  大概是二十分鐘之內
[00:00:34.600 --> 00:00:39.400]  接著就會有大約十五分鐘給大家個人密上靈修
[00:00:39.400 --> 00:00:43.840]  還有最後也會有十幾分鐘給大家彼此分享
[00:00:43.840 --> 00:00:45.600]  大概的安排
[00:00:45.600 --> 00:00:49.440]  每個老師可能有時間的偏差不同的安排
[00:00:49.440 --> 00:00:52.760]  但是我都已經給了一些指引給老師
[00:00:52.760 --> 00:00:54.760]  希望他們跟到
[00:00:54.760 --> 00:01:00.960]  但是如果大家等一下我們也會進行一個這樣的模式
[00:01:00.960 --> 00:01:05.240]  就是等一下也會有二十分鐘我們訊息的時間
[00:01:05.240 --> 00:01:08.040]  接著大約十五分鐘等一下的安靜
[00:01:08.040 --> 00:01:11.240]  我就會比較freestyle一點
[00:01:11.240 --> 00:01:15.960]  其實今早比較非常開心的一個早上
[00:01:15.960 --> 00:01:19.160]  其實你可以去不同的地方
[00:01:19.160 --> 00:01:21.760]  就是十五分鐘你可以去不同的地方
[00:01:21.760 --> 00:01:24.960]  去到密上看著天看著太陽
[00:01:24.960 --> 00:01:26.960]  不過記住帶太陽眼鏡
[00:01:26.960 --> 00:01:33.160]  甚至你覺得你有信心去到藍氹上來的話
[00:01:33.160 --> 00:01:35.360]  這樣也可以的沒問題
[00:01:35.360 --> 00:01:40.360]  接著我們最後十五分鐘之後就回來這裡
[00:01:40.360 --> 00:01:45.560]  問你隔壁那兩三個分享一下你今天靈修的體會和得著
[00:01:45.560 --> 00:01:47.560]  最後就會有報告的時間
[00:01:47.560 --> 00:01:49.560]  大概是這樣的安排
[00:01:49.560 --> 00:01:54.360]  還有我偏靈修組會我都會定了不同的主題
[00:01:54.360 --> 00:01:59.960]  上年的主題就會是比較多密相開荒的字
[00:01:59.960 --> 00:02:05.760]  吃苦的字火熱的字之類有幾個生命的質素在裡面
[00:02:05.760 --> 00:02:10.960]  今年的密上就會集中在聖靈的九個果子
[00:02:10.960 --> 00:02:16.160]  還有最後有三個就是堅忍、恩勤和哭泣
[00:02:16.160 --> 00:02:20.160]  類似這樣的密上主題老師就要頭痛一點
[00:02:20.160 --> 00:02:22.760]  還要主題去分享
[00:02:22.760 --> 00:02:25.760]  通常靈修組會都是我是第一個
[00:02:25.760 --> 00:02:30.760]  所以我就很開心自己選給自己一個題目
[00:02:30.760 --> 00:02:36.360]  但是聖靈九個果子的第一個質素是什麼
[00:02:36.360 --> 00:02:38.160]  就是仁愛
[00:02:38.160 --> 00:02:40.160]  我今天選了仁愛
[00:02:40.160 --> 00:02:44.960]  多謝Ben剛才帶的三首詩歌都有個愛字
[00:02:44.960 --> 00:02:47.760]  無論是耶穌愛你或者我們一生愛祂
[00:02:47.760 --> 00:02:49.160]  總之有個愛字
[00:02:49.160 --> 00:02:50.560]  大概是這樣
[00:02:50.560 --> 00:02:53.760]  這個就是大概靈修組會的安排
[00:02:53.760 --> 00:02:57.760]  我們再看真一點這段的經文
[00:02:57.760 --> 00:02:59.360]  這段的經文就是
[00:02:59.360 --> 00:03:01.960]  他們吃鯰鳥早飯
[00:03:01.960 --> 00:03:04.960]  耶穌對西門避得說
[00:03:04.960 --> 00:03:07.360]  若看的兒子西門
[00:03:07.360 --> 00:03:12.160]  你愛我比這些更深啊
[00:03:12.160 --> 00:03:15.760]  愛字大家讀完希臘文
[00:03:15.760 --> 00:03:19.760]  就是A-GA-PAS這字
