
[00:00:00.000 --> 00:00:09.000]  今天跟大家分享的經文是在約爾書的第一章
[00:00:09.000 --> 00:00:12.000]  從第十三節至第十四節
[00:00:12.000 --> 00:00:17.000]  今天我們所講的講題是哀悼者的榜樣
[00:00:17.000 --> 00:00:20.000]  幸好我們在看這段經文的時候
[00:00:20.000 --> 00:00:23.000]  再次一起同心打開這段聖經
[00:00:23.000 --> 00:00:27.000]  我們先讀一次熟悉這段經文的內容
[00:00:27.000 --> 00:00:32.000]  我們會一起讀和合本的版本
[00:00:32.000 --> 00:00:37.000]  請弟兄姊妹也一起打開聖經約爾書的第一章
[00:00:37.000 --> 00:00:39.000]  第十三節至第十四節
[00:00:39.000 --> 00:01:05.000]  (念中)
[00:01:05.000 --> 00:01:23.000]  (念中)
[00:01:23.000 --> 00:01:26.000]  我家中總共有三兄弟姊妹
[00:01:26.000 --> 00:01:29.000]  我有一個弟弟和一個妹妹
[00:01:29.000 --> 00:01:31.000]  所以在從小到大的時候
[00:01:31.000 --> 00:01:35.000]  我的父母經常和我說
[00:01:35.000 --> 00:01:40.000]  他說做大一定要做小的榜樣
[00:01:40.000 --> 00:01:43.000]  因為不大就會嫁壞小的
[00:01:43.000 --> 00:01:48.000]  這句話經常存留在我自己的腦海裡
[00:01:48.000 --> 00:01:52.000]  所以作為一家當中的大哥
[00:01:52.000 --> 00:01:58.000]  通常我都經常希望做到一個榜樣給我弟妹妹
[00:01:58.000 --> 00:02:02.000]  到了我後來開始去侍奉主的時候
[00:02:02.000 --> 00:02:06.000]  我也明白作為一個木者
[00:02:06.000 --> 00:02:10.000]  神的一個侍奉者
[00:02:10.000 --> 00:02:15.000]  我們是需要真的自己做好自己的本分
[00:02:15.000 --> 00:02:19.000]  如果連木者也其身不正的話
[00:02:19.000 --> 00:02:22.000]  上良不正,下良歪
[00:02:22.000 --> 00:02:27.000]  這個原則其實在聖經裡面說得很明白
[00:02:27.000 --> 00:02:29.000]  是透過一句說話
[00:02:29.000 --> 00:02:49.000]  (念中)
[00:02:49.000 --> 00:02:52.000]  這句說話不偏離左右
[00:02:52.000 --> 00:02:57.000]  可以說是把這個做好一個好的榜樣
[00:02:57.000 --> 00:03:01.000]  能夠充分表露無遺地陳述出來
[00:03:01.000 --> 00:03:03.000]  作為神的子民
[00:03:03.000 --> 00:03:06.000]  作為侍奉神的一員
